E_model_oracle,E_model_raw,E_norm,E_norm_Bcc1,E_norm_Bcc2,E_norm_Bcc3,E_norm_press,E_norm_rho,E_norm_vel1,E_norm_vel2,E_norm_vel3,E_oracle_raw,above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,model_only_saturation_mean,prediction_global_norm,rho_press_positive,step
13.357603992566785,13.406323713172863,0.22156488760115134,0.2440282859636863,0.21784630400722876,0.17442284732858843,0.2622225622729855,0.28799629288238077,0.1901960710761219,0.3234327745734568,0.07237396270476203,0.09194683452019373,True,True,8,0.0,True,0.005201816558837891,41913.88671875,True,1
492.09724971886783,492.10748211330923,0.4883077504142066,0.4414716470489031,0.46083851268898907,0.521990072304095,0.4509203590347496,0.49573196715843265,0.48344703945521605,0.7648096978938547,0.2872527077294124,0.09724115512915822,True,True,8,0.0,True,0.011182308197021484,43193.984375,True,2
12906.298207099906,12906.261438408737,0.7314275676509765,0.6005891187815134,1.0803468460220287,0.6453798958568032,0.5745858269507316,0.6521927893064532,0.6413734791549751,1.3443749549566486,0.31257763017865736,0.059678981315656056,True,True,10,0.0,True,0.01822805404663086,44547.7734375,True,3
3181932533298.041,3181935654016.3325,0.8596945226253465,0.7561265325613139,1.3492269910013854,0.712627069874894,0.7247706144957615,0.790766989822648,0.6084894613425886,1.5338389574697262,0.40170956443445366,0.049830056639289654,True,True,10,0.0,True,0.027022838592529297,45976.3203125,True,4
3.033802933265642e+19,3.0338016463741276e+19,0.9479147758122753,0.9217901106934463,1.3547771869097336,0.7382210549630357,0.8926084491874909,0.9490827238074597,0.7706219282676975,1.553510511054926,0.40270624161441243,0.0490549470150524,True,True,12,0.0,True,0.03312349319458008,47487.13671875,True,5
4.801730252402775e+19,4.801728425068254e+19,1.0465733121240448,1.0906164846402921,1.4975953389925523,0.7640908521006143,1.0700387175245507,1.1148916026165314,0.8905802025260656,1.5309831160442333,0.4137901825475191,0.04654691026268399,True,True,11,0.0,True,0.04088115692138672,49086.2109375,True,6
7.829113057212847e+19,7.829110350437717e+19,1.148734088174424,1.2641747025651495,1.5769014876882033,0.789321109438867,1.2536444807751648,1.286523142333189,0.9941775174200974,1.595380535720457,0.4297497294542635,0.04495179003036866,True,True,11,0.0,True,0.05256462097167969,50776.19140625,True,7
1.2716976794537627e+20,1.2716972691239444e+20,1.2530608525561915,1.44674523397559,1.671118686942622,0.8157384050631049,1.4349476553402742,1.4580532529109285,1.0922202537796675,1.6631703335769379,0.4424929988604063,0.044749559018449,True,True,10,0.0,True,0.06722402572631836,52561.3046875,True,8
1.9015602241996613e+20,1.901559641690682e+20,1.3588730703808973,1.6322384832451553,1.7850053479978447,0.8438914534029399,1.612095389745724,1.6307466159655495,1.1884368638484903,1.7318039578255946,0.44676645101588,0.04417382388534469,True,True,12,0.0,True,0.0848388671875,54451.54296875,True,9
2.782304705552969e+20,2.782303936591764e+20,1.4631188767847452,1.8163212336811085,1.9048388423669576,0.8745288150016651,1.7712746390658676,1.8050897763587184,1.2811773072775496,1.7945903194163435,0.45713008110975095,0.04385290060254403,True,True,11,0.0,True,0.10521125793457031,56454.2578125,True,10
3.290042561782494e+20,3.2900417206638694e+20,1.5656403335371554,1.9916291662114218,2.0282450904541203,0.9083090580429883,1.918361185533346,1.985318609349191,1.3712141056027782,1.8569475959503652,0.46509785715303315,0.04364611375958618,True,True,11,0.0,True,0.12576770782470703,58585.8046875,True,11
3.823040571190999e+20,3.8230396020094553e+20,1.6668398191967313,2.1616457006554977,2.1542822569775457,0.9455293880583484,2.0480004300400707,2.164038635999645,1.4581929877719557,1.9192470673879147,0.4837820866828727,0.04313861730611267,True,True,11,0.0,True,0.14883089065551758,60856.875,True,12
4.239069042953749e+20,4.239068052969772e+20,1.7663073205300293,2.33004492634366,2.2843315686621746,0.9860370539435822,2.1858532740453938,2.3362702522020298,1.5398686150941054,1.9740263544621408,0.4940265194871489,0.04303785732065222,True,True,12,0.0,True,0.17277145385742188,63278.21484375,True,13
4.7053473385639176e+20,4.705346332032528e+20,1.8657817596417905,2.502155130193906,2.4215739397077796,1.0315861672027677,2.31511561508678,2.498732533877076,1.6131058713374904,2.025004156297001,0.5189806634315249,0.04264615283831009,True,True,12,0.0,True,0.19653749465942383,65878.34375,True,14
5.2784047601935706e+20,5.2784036110265935e+20,1.9615854955743468,2.665786463220387,2.5642361764858874,1.0793645725663819,2.445290598688184,2.6473838642579497,1.6817524896083471,2.065953529825567,0.5429162699420712,0.04256838149337483,True,True,12,0.0,True,0.22314739227294922,68674.609375,True,15
