above_rin,above_rout,artifact_count,finite,model_to_oracle_average,model_to_raw_average,normalized_average,oracle_floor_average,prediction_global_norm,rho_press_positive,step
True,True,5,True,4.044054539840612e+20,4.044053149507704e+20,0.8957384593711643,0.09194683452019373,41245.9453125,True,1
True,True,5,True,2.4155929769632603e+20,2.4155916896214073e+20,0.9933693205630829,0.09724115512915822,41153.7421875,True,2
True,True,8,True,1.4291495391588608e+20,1.4291487264918084e+20,0.992983419306915,0.059678981315656056,41356.71875,True,3
True,True,10,True,2.7411696574184987e+20,2.7411683344021714e+20,1.0997371585226423,0.049830056639289654,42250.96875,True,4
True,True,11,True,3.8844647622083445e+20,3.8844631144784953e+20,1.2702028109671128,0.0490549470150524,44585.0625,True,5
True,True,11,True,4.598787670515743e+20,4.598785920411093e+20,1.4856651507655128,0.04654691026268399,48195.203125,True,6
True,True,12,True,5.444378983048856e+20,5.444377100751281e+20,1.7849129883338877,0.04495179003036866,53416.72265625,True,7
True,True,11,True,6.431089322291436e+20,6.431087247215619e+20,2.1908553638296686,0.044749559018449,61191.421875,True,8
True,True,10,True,7.432771980471648e+20,7.432769703573861e+20,2.6972992639350606,0.04417382388534469,72211.15625,True,9
True,True,11,True,8.329946616283934e+20,8.329944314088834e+20,3.3142536939983693,0.04385290060254403,87119.4609375,True,10
True,True,11,True,9.137942321645266e+20,9.137939985476043e+20,4.132022504273417,0.04364611375958618,107219.21875,True,11
True,True,11,True,9.972939802024508e+20,9.972937273776911e+20,5.180480002224134,0.04313861730611267,133856.875,True,12
True,True,10,True,1.0702106547520251e+21,1.0702104048170077e+21,6.548911657284878,0.04303785732065222,168156.296875,True,13
True,True,10,True,1.1298787532749404e+21,1.1298785115799548e+21,8.297229937486811,0.04264615283831009,212389.703125,True,14
True,True,10,True,1.162359585809936e+21,1.1623593327513365e+21,10.5487238421187,0.04256838149337483,269603.65625,True,15
True,True,10,True,1.1862055679257587e+21,1.1862053393685246e+21,13.402229264650888,0.04198389142849229,343689.21875,True,16
True,True,10,True,3.7267288043668085e+25,3.726728601601173e+25,17.140407537775932,0.04122318458728722,439170.09375,True,17
True,True,10,True,1.2284306563608184e+34,1.228430592464595e+34,21.851624062153405,0.042453006716104705,561607.5625,True,18
True,True,10,True,8.77381856926272e+35,8.773818178818496e+35,28.002526683484117,0.04287175487576231,721888.625,True,19
