channel,floor_ratio_p3_over_canonical,stage_k_canonical_floor,stage_k_model_to_own_oracle,stage_k_model_to_raw,stage_o_model_norm,stage_o_model_over_persistence,stage_o_model_to_own_oracle,stage_o_model_to_raw,stage_o_p3_floor,stage_o_p3_persistence_norm
Bcc1,0.7738081373592524,9.09742990194711e-07,1.0534236349681116,1.0534236898382603,1.2351180252581522,17.85154568398684,1.5703293679218278e+21,1.5703289603519978e+21,7.039665287182059e-07,0.06918829591132131
Bcc2,3.338493509627357e-07,0.9187001429962726,1.0655905305966262,0.9708999695639765,0.6551658168563063,2.0702799069002364,0.8083771592811451,0.8083771535382812,3.0670744646867807e-07,0.316462433254866
Bcc3,2.9926897563323865e-07,0.9993537835756451,0.5743578440019531,0.9996914723386799,0.3470175955398667,1.9565958244402888,0.6252486403167822,0.625248653137228,2.990755831058846e-07,0.17735783303081304
rho,0.9576376505250522,1.4811659907546002e-06,0.9894892245172658,0.9894892162129161,1.5235901726802001,13.099534898117847,0.9847128124309628,0.9847128042416045,1.4184203194238466e-06,0.11630872275466138
press,0.711013379274855,1.5550826097238291e-06,0.9985333170658,0.9985333157761258,1.3847718934306164,10.693803790419683,0.9979493091782237,0.9979493099338541,1.1056845413913002e-06,0.12949292137482452
vel1,1.0000029163282258,0.0023018270526343624,0.7195041513981092,0.7195562981397747,0.9329977461394336,6.643515846960957,0.8230905218273815,0.8231016641547079,0.002301833765517567,0.14043734787901932
vel2,1.0000000712448602,0.5668102639892199,0.7163158870250266,0.8197907578622861,1.9961424737142912,5.402695663204154,1.6860458168014876,1.2532297841735711,0.5668103043715379,0.36947157458994223
vel3,7.303524960640005e-08,0.8511265950257523,0.4722304058579895,0.8972547757625434,0.3020848693151454,2.4478895680114054,0.30001012807303995,0.30001008712781335,6.216224331435119e-08,0.12340624890221268
