center_morphology_variance,channel,dynamic_span,ground_truth_available,magnetic_texture_high_k_energy,outer_shell_variance,outermost_two_shell_variance_mean,polar_morphology_variance,radial_profile_variance,source,standard_deviation,step,total_variation,view
3.8352841130750575e+42,Bcc1,9611648.675771492,True,1.5003959014585718e+47,31759936551.280876,31718554596.529854,1.5455776938792206e+42,1.8095459707288224e+40,stage_o_p3_localno,9.795508293029821e+20,1,4.3235105041061585e+19,spherical-coordinate adapted views
0.002104361411334201,Bcc2,0.0938287184946239,True,34.747430248029914,2.0375757026781704e-07,1.9573347554658986e-07,0.0011941920346320118,0.0001467223509154773,stage_o_p3_localno,0.023162880112864565,1,0.001840213235948824,spherical-coordinate adapted views
0.3892857011653413,Bcc3,2.2852952814102183,True,3309.1083556862864,3.6057772878803274e-07,3.5188728864174913e-07,0.1931673558042668,0.00016878065846257656,stage_o_p3_localno,0.3123560623369414,1,0.012961003403936097,spherical-coordinate adapted views
0.15507501589570374,rho,1.2092733681706704,True,5445.988659333971,0.2972128144565819,0.29691682703666994,0.09883775574071815,0.03562228870775136,stage_o_p3_localno,0.3923615751688645,1,0.047447969313663595,spherical-coordinate adapted views
7.654581955538937e-05,press,0.018926646707361883,True,1.7759066741653016,1.1229414208331308e-06,1.105069092821469e-06,5.2027013410122386e-05,1.4837415517110542e-05,stage_o_p3_localno,0.005902979406232119,1,0.0007877991739709645,spherical-coordinate adapted views
0.5660724922089106,vel1,2.94883839040996,True,11933.77479393841,0.04977436122372767,0.048977734301809746,0.094069098770605,0.06915607498472195,stage_o_p3_localno,0.49586211241180356,1,0.0857736716514975,spherical-coordinate adapted views
0.0003563838769583068,vel2,0.07146305963397026,True,2.7344684309757206,9.970523249876917e-06,9.818612235463645e-06,0.00014353892945954188,8.738739125810276e-06,stage_o_p3_localno,0.01098654393884237,1,0.0015500360902728466,spherical-coordinate adapted views
0.12871763281792503,vel3,1.3175688561517744,True,1226.3923570600723,0.0001626916071773372,0.00016250984765814753,0.10983548588894788,0.07306439854954454,stage_o_p3_localno,0.2910575417399338,1,0.013056288723779284,spherical-coordinate adapted views
0.1240102676338257,Bcc1,0.5605139695107938,True,3375.7503376330465,0.0001615939860479118,0.00015695012718541435,0.0911359169348727,0.0019380655876693373,stage_k_canonical_localno,0.184501187737027,1,0.014694065532723581,spherical-coordinate adapted views
0.0010843583465897323,Bcc2,0.08472747952677309,True,15.201602655295257,3.1201521611671714e-08,2.7999093252529137e-08,0.00034905081118555287,0.0002425128425825502,stage_k_canonical_localno,0.02386270273711057,1,0.0026589117991326823,spherical-coordinate adapted views
