geometry_changes_kernel,kernel_map_relative_l2,r,r_index,stage_ad_nonzero_points,stage_ae_active_basis_count,stage_ae_active_neighbor_count,stage_ae_nonzero_points,target,theta,theta_index
True,0.475365793333835,1.1456345721309733,0,215,5,83,165,inner_equator,1.5953400637954473,32
True,0.3975492528484279,15.447733251866454,32,215,5,150,299,middle_equator,1.5953400637954473,32
True,0.42201284712380815,192.03331509030292,63,215,5,90,179,outer_equator,1.5953400637954473,32
True,1.0745235969125677,1.1456345721309733,0,215,4,14,28,inner_near_pole,0.02454369328916073,0
True,1.0745236059787542,192.03331509030292,63,215,4,14,28,outer_near_pole,0.02454369328916073,0
