k,center,width,number_of_positive_stencil_points,raw_weight_sum,quadrature_weighted_Zk,min_positive_value,max_value
0,0.0,0.0234375,1,1.0,3.0517578125e-05,1.0,1.0
1,0.0234375,0.0234375,18,5.372583002030478,0.00016395822149751214,0.11438191683587318,0.6666666666666667
2,0.046875,0.0234375,56,20.59803310390823,0.0006286020844698556,0.018576030000280297,0.8856180831641268
3,0.0703125,0.0234375,74,50.39087812906055,0.0015378075600909593,0.22876383367174624,0.9814239699997197
4,0.09375,0.0234375,66,45.63850576500074,0.0013927766651916729,0.2659863237109038,1.0
