epoch,model,optimizer_updates,params,peak_allocated_mib,runtime_seconds
150,Stage-T differential LocalNO,6300,358296,562.81591796875,1675.6262465409964
150,Adapted 3D-DISCO LocalNO,6300,363480,648.0830078125,4435.5794650419975
