bootstrap_samples,bootstrap_seed,ci95_high,ci95_low,delta_definition,higher_is_better,mean_paired_delta,median_paired_delta,metric,win_fraction
10000,42,4.57506680763732e-05,-0.003869324054566384,DISCO3D_minus_StageT,False,-0.0018589812333427978,-0.00041502107074797845,state_l2,0.5476190476190477
10000,42,0.006722736366747528,-0.00441013853786624,DISCO3D_minus_StageT,False,0.0009661677575357504,-0.0010154631825168847,residual_l2,0.5238095238095238
10000,42,0.018790999881008102,0.008776397970289168,DISCO3D_minus_StageT,True,0.013753748492375524,0.014398831551124536,cosine,0.7380952380952381
10000,42,75.74492679766962,-133.22397893547742,DISCO3D_minus_StageT,True,-16.354972143151905,-1.5699011343280422,shell_skill,0.3333333333333333
10000,42,0.3376667621505356,-0.3525247830921405,DISCO3D_minus_StageT,True,-0.024827201824669323,-0.15829921585834383,radial_skill,0.3333333333333333
