channel,cosine,model,radial_skill,residual_l2,shell_skill,state_l2
Bcc1,0.6783863756991302,Stage-T differential LocalNO,-43.04849137787342,0.7375577711661483,-43.45410497769272,0.23847350201791295
Bcc1,0.7061752678953611,Adapted 3D-DISCO LocalNO,-70.73492928783276,0.722810550559835,-38.12521058842499,0.23370530420267402
Bcc1,0.0,Persistence,0.0,1.0,0.0,0.323328573506534
Bcc2,0.6522948835684826,Stage-T differential LocalNO,-0.4130954789394684,0.7961024433541122,-28.871422996963858,0.4468337654043549
Bcc2,0.6689385068165818,Adapted 3D-DISCO LocalNO,-2.299873357019538,0.8234663509852713,-66.45647792779044,0.46219248963090914
Bcc2,0.0,Persistence,0.0,1.0,0.0,0.5612767165103862
Bcc3,0.8013948279458492,Stage-T differential LocalNO,-0.0806609848789781,0.6023149365198377,-1.014442233300695,0.18548319032353788
Bcc3,0.8155389105654833,Adapted 3D-DISCO LocalNO,-0.03995401222809486,0.6199488342216526,-5.773039950346243,0.19091355805168903
Bcc3,0.0,Persistence,0.0,1.0,0.0,0.30795050740141605
rho,0.23102959698092718,Stage-T differential LocalNO,-17.40279288159977,1.002795447278758,-919.1569886907832,0.15533676287465467
rho,0.23241321693698072,Adapted 3D-DISCO LocalNO,-3.9817822623037107,1.016257252665433,-30.982496035765394,0.1574220468890613
rho,0.0,Persistence,0.0,1.0,0.0,0.15490373767862164
press,0.22465538837331503,Stage-T differential LocalNO,-194.41855729746771,0.994374519965799,-224762.81666878168,0.1438619328671123
press,0.27795413442638245,Adapted 3D-DISCO LocalNO,-919.3752035063804,0.9797291305029273,-4738851.392007338,0.14174309945432453
press,0.0,Persistence,0.0,1.0,0.0,0.14467580377795203
vel1,0.08526251691552328,Stage-T differential LocalNO,-0.505518423659016,1.0465187898837194,-3.639534985538486,0.10070492491378895
vel1,0.15189261145202504,Adapted 3D-DISCO LocalNO,-0.8269982744407715,1.0443198663401934,-2.4323468300330857,0.10049332572343775
vel1,0.0,Persistence,0.0,1.0,0.0,0.09622849176929547
vel2,0.5229637152703541,Stage-T differential LocalNO,-2.985985747596717,0.9598155942847565,-1.8503336439284084,0.7222800425095661
vel2,0.5427692643830161,Adapted 3D-DISCO LocalNO,-1.102446723843981,0.905928947538482,-1.0586262592907032,0.6817292849482027
vel2,0.0,Persistence,0.0,1.0,0.0,0.7525195952519917
vel3,0.34068573741514463,Stage-T differential LocalNO,-0.4867797844084871,0.9953319489772864,-0.5335711757997375,0.14071643218652077
vel3,0.4101854517170319,Adapted 3D-DISCO LocalNO,-0.32816589089922055,1.0206586730013718,-0.3064272571056126,0.14429703279817224
vel3,0.0,Persistence,0.0,1.0,0.0,0.1413763843103537
