cosine,first10x,local_integral,model,params,physical_l2,radial_skill,residual_l2,shell_skill,state_l2
0.0,stable,no,Persistence,0,,0.0,1.0,0.0,0.31028247627581884
0.7406020960063326,1,no,Stage-T differential LocalNO,358296,297.77736896854765,-0.3480888795195025,0.8918514314288021,-1.6794721761992293,0.26671131913718105
0.7574677153827317,1,yes,Adapted 3D-DISCO LocalNO,363480,2997251795739.784,-0.3903524219100264,0.8916399507268957,-4.354481183203323,0.26406201771230886
