disco_cosine,disco_physical_l2,disco_radial_skill,disco_residual_l2,disco_shell_skill,disco_state_l2,source_snapshot,stage_t_cosine,stage_t_physical_l2,stage_t_radial_skill,stage_t_residual_l2,stage_t_shell_skill,stage_t_state_l2
0.8784577728993889,3288448423.7354174,-0.21562492213042583,0.7810929422238121,-10.962315024346967,0.24898453528331857,169,0.8832225142390081,3.0667838770503297,0.05007755204727915,0.7724385579593739,-2.97187914600604,0.24164958038372725
0.9151468549656929,10.950638331331701,-1.5644257126467456,0.7354285855195131,-5.130904913573899,0.22573125297687802,170,0.9111936850566701,2.9883038060959586,-0.4386249125119239,0.737336594477999,-2.5615866939006118,0.22431121558210632
0.8717369221721609,8646.664093501233,-1.027902805387892,0.7851208961550455,-17.47027430565333,0.2453359351110039,171,0.8719609645117633,5.519838841910333,-1.0051351937363346,0.7858966726399574,-3.113311277374077,0.2416112041080718
0.8789548861270697,90.33477235189218,-0.6949115176289196,0.7712365495439332,-4.889284765720745,0.22473929346510504,172,0.8704706962960335,3.3536475088741895,-0.4262403863924058,0.7742267714651049,-1.3610214864003893,0.22435586122624274
0.8425112366466954,4211.212184229819,-0.6973093303050375,0.8057368371779926,-20.97625448042392,0.227531168112249,173,0.8259987496316737,6.408083461241125,-0.5368571711783188,0.8088845591047373,-3.0805217093451747,0.2268486389875748
0.8312160871389519,39.74131181638059,0.1731695860171475,0.8065906222567151,0.33133530023099966,0.21660778893878102,174,0.8169448429970048,5.651029684014531,-0.2962850540432016,0.8126974083024259,0.0724477010143264,0.21584267368847368
0.8353858966224156,7.848000661203154,-0.5441683253029967,0.8025760787116555,-2.30578915931955,0.20842961051843312,175,0.8208594776621136,2.5966941778607335,-0.005356318835725293,0.8038312285917774,-1.2615236577896778,0.2070492870947473
0.7605504280583614,2.167151903384109,-0.41290563318905726,0.8728758214233294,-13.010550441287812,0.20909160689155082,176,0.7376788148143054,3.2103300474291467,-0.3875660453670129,0.8564768959314868,-0.8612034914799507,0.20429232936510622
0.7751337956791526,58.51473313110771,-0.3402374099147516,0.8691127632325346,0.11210418755029494,0.1868066676024383,177,0.7574636355041506,3.050410574527259,-0.34494781773371486,0.8479511554641855,-0.06996586130794902,0.1818954768318511
0.6556217313509278,1.639083652975661,0.05292012203759244,1.0039105881425692,-0.5813614311544393,0.1689389871983085,178,0.6317987673201794,1.4973668532621423,-0.49553266068535784,0.9384714272371502,-0.27798831816385605,0.15920989706883218
0.692607260364075,0.5658166364754451,0.005019008273659087,0.9053016030637131,0.1663498547166784,0.13313169156660942,179,0.6513600829479834,0.4808617108057633,0.18830220867604597,0.9039587202647459,-0.06554020617028322,0.1341816094505409
0.7919428342348367,0.4490654107439723,-0.0873745078452659,0.8445110029859327,-0.07930206893331326,0.1549570517511928,180,0.7762973194686374,0.4862472914033317,0.06161494458415018,0.8715733471530058,0.015659469415561622,0.16078252272916557
0.7863164499858541,0.4965419954831476,0.03110039170415968,0.8542051381354698,0.009739209151559014,0.17491471831240651,181,0.7665798584392722,0.5169920116576756,-0.014507653866673742,0.8846161889235828,-0.008381404172594253,0.18141295520028386
0.7651758497550527,0.6590687463472839,-0.053091646477559484,0.8508819874997244,-0.07013160668692575,0.1883169973315351,182,0.7522012998868801,0.7631915017684843,0.17502190956369845,0.8801118737180261,0.10027648882323936,0.19558769091453668
0.7392585343782333,1.582520392609735,0.009275567607204716,0.8647471820997177,-0.04310810083633898,0.2025963363943137,183,0.7623974453422961,7.770955986346861,0.2747136935785547,0.87103766240783,0.11422769034805313,0.20377734588879082
0.6282969220607718,0.8411705990593343,-0.20923397911090102,0.9595614424262486,-0.2468277698715251,0.2211281378680159,184,0.640612606778744,5.14538000295754,0.12628935934383656,0.9464421215865818,-0.2225439228392967,0.21832700949230027
0.6379061534429491,28.332041085218147,-0.32926932166662515,0.9753260494860515,-5.887229403500582,0.23947458605691005,185,0.6474033979955002,13.41506175692593,0.03328650775248165,0.9449900276993617,-0.1172061550614596,0.23653009519270624
0.6391310626118343,10.136808311585646,-0.2099438815563619,0.9439542918036524,-4.433642917579805,0.25696685704703215,186,0.6554297152732116,10.389556335576911,0.1772307021918197,0.941594110267977,-0.7167391894412951,0.2566771229949051
0.6322203542597576,158.18356088488298,-0.08164465503560514,0.9747032528717532,-1.5032890443880826,0.27242927597054356,187,0.6358210774435582,8.359477852659037,0.29504572398320517,0.9717149240622736,-0.26942292053087713,0.2748985321008603
0.6726780598525101,14.353627408730539,-0.2223553624780874,0.9763775322543431,-102.79855357064058,0.2803473171602875,188,0.6730025302022166,114.62751759133198,-0.4085286597306579,0.9562372646122075,-29.25324281118362,0.2769814170765964
0.6043282060858471,189.48218789690995,-0.3677992106309955,1.0093142634777585,-3.4977289465185253,0.2860849285028578,189,0.6074801888622681,23.804375079760344,-0.30308632950840564,0.9775633412703113,-1.1526208813248044,0.2767201776048941
0.7145406714960171,6018.090562784822,-1.0270513596791613,0.9318826579865205,-33.536372718007776,0.2828011746844933,190,0.6937241183114565,31.802474192350477,-1.3155941759646983,0.9378067104647905,-2.314923424968582,0.28635472991099975
0.7886861416651425,6575374779749.416,-0.2689556144612859,0.8705521000686327,-16.05552195627227,0.28402240645882504,191,0.7663448128688323,178.68524020902538,-0.8113702982607163,0.884240141870726,-36.65314546613913,0.2917481683640609
