channel,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,radial_increment_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_resolution,reference_semantics,residual_cosine,residual_relative_difference,resolution,shell_increment_relative_l2,source_snapshot,target_snapshot,temporal_increment_loss_inner,temporal_increment_loss_middle,temporal_increment_loss_outer
Bcc1,0.010133563034920745,0.8883876582641048,0.11161234173589518,1.573979791726774,0.8782540952291841,0.12174590477081593,128,HIGHER_RES_SAMPLING_REFERENCE,0.4076432164278354,0.93390657577777,32,1.4830103138008683,0,1,0.0,0.5947661929128814,0.9348987942383532
Bcc1,0.08766427676229988,0.5546294284913991,0.44537057150860093,1.6511628858292369,0.4669651517290992,0.5330348482709009,128,HIGHER_RES_SAMPLING_REFERENCE,0.8765475515022496,0.54360637864589,64,1.8327433980772059,0,1,0.0,0.4844657736502832,0.5442408245534499
Bcc1,0.06164706206789056,0.3275352925786041,0.6724647074213959,1.8416938596463401,0.38918235464649464,0.6108176453535054,128,HIGHER_RES_SAMPLING_REFERENCE,0.6945173968738022,0.7257662533061658,96,1.9326545022709256,0,1,0.0,0.2789134348043816,0.7332428333044673
Bcc1,0.0,0.2396896810385413,0.7603103189614587,0.0,0.2396896810385413,0.7603103189614587,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999999,0.0,128,0.0,0,1,0.0,0.0,0.0
Bcc2,0.12631548196302056,0.5434280428756246,0.45657195712437537,0.9908272593588298,0.41711256091260407,0.5828874390873959,128,HIGHER_RES_SAMPLING_REFERENCE,0.28001288779198985,1.0640073128430383,32,0.5418745494342432,0,1,0.0,0.2781222853413427,1.2144521930745589
Bcc2,0.31126768531367066,0.23469003092021104,0.765309969079789,1.139639002007962,0.5459577162338817,0.4540422837661183,128,HIGHER_RES_SAMPLING_REFERENCE,-0.4169917386588095,1.1885768510543258,64,3.1034590778478885,0,1,0.0,0.347404942063289,1.2030041369905946
Bcc2,0.10825697408414392,0.5451882293962398,0.4548117706037602,0.35456844773534907,0.6534452034803837,0.3465547965196163,128,HIGHER_RES_SAMPLING_REFERENCE,0.8956989171067972,0.4547784239036606,96,0.9023963449538568,0,1,0.0,0.26219124631308705,0.461605472290001
Bcc2,0.0,0.6072202248743779,0.3927797751256221,0.0,0.6072202248743779,0.3927797751256221,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999999,0.0,128,0.0,0,1,0.0,0.0,0.0
Bcc3,0.0032807553344695317,0.3791980014857797,0.6208019985142204,2.3304490121132475,0.38247875682024923,0.6175212431797508,128,HIGHER_RES_SAMPLING_REFERENCE,0.8827108107225075,0.47513240799761797,32,3.5906689369994003,0,1,0.0,0.7937847398514373,0.4273145183428162
Bcc3,0.025039499185256303,0.05440463600014003,0.94559536399986,1.0083731617375018,0.07944413518539634,0.9205558648146037,128,HIGHER_RES_SAMPLING_REFERENCE,0.9355099000480679,0.3559182286586162,64,1.5996674530471062,0,1,0.0,0.4710400102325448,0.32970859025551913
Bcc3,0.005017292233742789,0.03449394624260969,0.9655060537573903,2.280616236817364,0.039511238476352475,0.9604887615236475,128,HIGHER_RES_SAMPLING_REFERENCE,0.9604685284988699,0.2795527404415227,96,8.057888273865558,0,1,0.0,0.2581095132415884,0.29310000766874955
Bcc3,0.0,0.0181961606508939,0.9818038393491061,0.0,0.0181961606508939,0.9818038393491061,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,0,1,0.0,0.0,0.0
rho,0.11475672727450537,0.8481006729298792,0.15189932707012077,2.5138845598338353,0.9628574002043846,0.037142599795615405,128,HIGHER_RES_SAMPLING_REFERENCE,0.3004347578218714,1.263324354497008,32,2.5624837319340834,0,1,0.1901874326276869,0.7686742226267982,1.2648090151332239
rho,0.0671185626005254,0.6276610882932298,0.37233891170677025,0.8979121730471402,0.6947796508937552,0.30522034910624485,128,HIGHER_RES_SAMPLING_REFERENCE,0.8247784571924787,0.5661023023431676,64,2.6047621867714157,0,1,0.16650865353597782,0.7236981043319269,0.5664369903539341
rho,0.00360509655604474,0.4714766694754609,0.5285233305245391,0.4641274961296923,0.47508176603150565,0.5249182339684944,128,HIGHER_RES_SAMPLING_REFERENCE,0.7644973373343386,0.6872127619026119,96,1.910777092215806,0,1,0.12811650543884678,0.5120451156792446,0.6876218053976707
rho,0.0,0.32219767477921973,0.6778023252207803,0.0,0.32219767477921973,0.6778023252207803,128,HIGHER_RES_SAMPLING_REFERENCE,1.0000000000000002,0.0,128,0.0,0,1,0.0,0.0,0.0
press,0.17934517717746118,0.5073729971352768,0.49262700286472316,0.3609059570235525,0.32802781995781566,0.6719721800421843,128,HIGHER_RES_SAMPLING_REFERENCE,0.9130094581756215,0.7905413553341153,32,0.22239092648938466,0,1,0.12034998735954758,0.16307249521875689,0.8205829555483913
press,0.154210488421136,0.28517060107115727,0.7148293989288428,0.45568220312271707,0.13096011265002128,0.8690398873499787,128,HIGHER_RES_SAMPLING_REFERENCE,0.7962050907667132,0.6696641771306489,64,0.08806936335811666,0,1,0.4224294093179408,0.21689580882387083,0.678833865173024
press,0.043193687041418447,0.06492340509664457,0.9350765949033555,0.18555226596360355,0.10811709213806302,0.891882907861937,128,HIGHER_RES_SAMPLING_REFERENCE,0.90021479761632,0.47496956220122744,96,0.061783102097545284,0,1,0.08290422349932644,0.15496454578723373,0.4831310710438502
press,0.0,0.05190029334498253,0.9480997066550174,0.0,0.05190029334498253,0.9480997066550174,128,HIGHER_RES_SAMPLING_REFERENCE,0.9999999999999999,0.0,128,0.0,0,1,0.0,0.0,0.0
vel1,0.016614547393024703,0.19820070583044225,0.8017992941695578,0.03712342220525257,0.18158615843741754,0.8184138415625825,128,HIGHER_RES_SAMPLING_REFERENCE,0.9874139572423701,0.15835907690082127,32,0.023246811712075495,0,1,0.013012202706479282,0.1707212001577976,0.2642687802903292
vel1,0.005035147055884932,0.04604523099959946,0.9539547690004005,0.055135572191330556,0.041010083943714526,0.9589899160562855,128,HIGHER_RES_SAMPLING_REFERENCE,0.9831035905756949,0.18400202256956283,64,0.015391707715212508,0,1,0.01361365277732617,0.2484985497716243,0.2037605613890995
vel1,0.0004582020600140055,0.015552933887487352,0.9844470661125126,0.04456364849567097,0.016011135947501358,0.9839888640524986,128,HIGHER_RES_SAMPLING_REFERENCE,0.9904970564828183,0.13866030002563895,96,0.004614379011565425,0,1,0.009018023247076842,0.16447058081235566,0.25365908585086044
vel1,0.0,0.0063365524020886285,0.9936634475979114,0.0,0.0063365524020886285,0.9936634475979114,128,HIGHER_RES_SAMPLING_REFERENCE,1.0,0.0,128,0.0,0,1,0.0,0.0,0.0
vel2,0.0013891277378656197,0.12908963698566178,0.8709103630143382,1.8371546604631195,0.12770050924779616,0.8722994907522038,128,HIGHER_RES_SAMPLING_REFERENCE,0.9962244488329404,0.09945322234675454,32,1.8381756727594634,0,1,0.08670500065745622,0.24528604769171208,0.41223185772730503
