channel,field_loss_inner,field_loss_middle,field_loss_outer,global_cosine,global_relative_l2,high_frequency_fraction_absolute_difference,index_grid_high_frequency_energy_fraction,index_grid_low_frequency_energy_fraction,maximum,minimum,q001,q999,radial_profile_relative_l2,reference_high_frequency_energy_fraction,reference_low_frequency_energy_fraction,reference_maximum,reference_minimum,reference_q001,reference_q999,reference_resolution,reference_semantics,resolution,shell_mean_relative_l2,shell_variance_relative_l2,snapshot
Bcc1,0.0,0.0,0.7115138740665817,0.708955391093469,0.7115138740665817,0.15683854251281137,0.2411846254535031,0.758815374546497,0.045628614723682404,-0.08042968809604645,-0.045628614723682404,0.04146964102983475,1.38151536929959,0.3980231679663145,0.6019768320336856,0.1506815403699875,-0.04784100502729416,-0.03544236347079277,0.04995345324277878,128,HIGHER_RES_SAMPLING_REFERENCE,32,1.3186976105239059,0.46819156656353345,0
Bcc1,0.0,0.0,0.30140855481841866,0.9582594058682972,0.3014085548184186,0.05056189190049895,0.17084677245596402,0.829153227544036,0.1506815403699875,-0.1506815403699875,-0.04784100502729416,0.04784100502729416,0.0,0.12028488055546507,0.879715119444535,0.10250136256217957,-0.10250136256217957,-0.053042151033878326,0.053042151033878326,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.0,0.21662808935962524,0
Bcc1,0.0,0.0,0.4734027177689588,0.8819265249868666,0.4734027177689588,0.048670532344483694,0.07818050350355328,0.9218194964964467,0.10250136256217957,-0.10250136256217957,-0.053042151033878326,0.045628614723682404,1.7155959462401527,0.12685103584803697,0.873148964151963,0.1506815403699875,-0.1506815403699875,-0.04784100502729416,0.053042151033878326,128,HIGHER_RES_SAMPLING_REFERENCE,96,1.7954672059643626,0.1977730577693298,0
Bcc1,0.0,0.0,0.0,1.0,0.0,0.0,0.0808401081567989,0.9191598918432011,0.1506815403699875,-0.1506815403699875,-0.04995345324277878,0.04995345324277878,0.0,0.0808401081567989,0.9191598918432011,0.1506815403699875,-0.1506815403699875,-0.04995345324277878,0.04995345324277878,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0
Bcc2,0.0,0.0,1.332731381163962,0.28233815351821334,1.332731381163962,0.1495389506364997,0.27031377726501016,0.7296862227349898,0.0,-0.0012766581494361162,-0.0006762192933820188,0.0,0.7936350699911568,0.41985272790150985,0.5801472720984902,0.000595604011323303,-0.0005928664468228817,-0.0005836826749145985,0.0002445439458824694,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.5118313014786933,0.6327239942223234,0
Bcc2,0.0,0.0,1.0221560833939625,0.09564952309284082,1.0221560833939627,0.2230428288387166,0.17851286338963604,0.821487136610364,0.000595604011323303,-0.000975965871475637,-0.0005928664468228817,0.0,0.8605597381668005,0.40155569222835263,0.5984443077716474,0.0,-0.0061173164285719395,-0.0012766581494361162,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.5324453595725789,0.9171816223813866,0
Bcc2,0.0,0.0,0.42255673922035414,0.9121972978278082,0.42255673922035414,0.15208391232595414,0.36635574609682026,0.6336442539031797,0.0,-0.0061173164285719395,-0.001114260288886726,0.0,0.2899880614217394,0.5184396584227744,0.4815603415772256,0.000595604011323303,-0.0061173164285719395,-0.0007338288123719394,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.13201007546547416,0.02958450582414645,0
Bcc2,0.0,0.0,0.0,1.0,0.0,0.0,0.4760934156586344,0.5239065843413656,0.000595604011323303,-0.0061173164285719395,-0.000975965871475637,0.0,0.0,0.4760934156586344,0.5239065843413656,0.000595604011323303,-0.0061173164285719395,-0.000975965871475637,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.0,0.0,0
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.0,0.0,0
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.0,0.0,0
Bcc3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0
rho,0.041844745706804416,0.035192071341603154,0.1215108578340855,0.9927597288074744,0.12150034635659984,0.0009438874797177569,0.004056703874394462,0.9959432961256055,0.9957894682884216,3.992986421508249e-06,3.992986421508249e-06,0.9791684746742249,0.050922577711400255,0.0031128163946767054,0.9968871836053232,0.9970715045928955,4.082122813997557e-06,4.082122813997557e-06,0.9791038632392883,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.031783018345025484,0.021912156698101048,0
rho,0.041645045399668984,0.03193984378294686,0.06985981434577018,0.997996753223433,0.06985533581000224,6.220179938808785e-05,0.0010798124741018395,0.9989201875258982,0.9970715045928955,3.7619026898028096e-06,3.7619026898028096e-06,0.9791038632392883,0.062189262999340814,0.0011420142734899273,0.9988579857265101,0.9957894682884216,3.845881110464688e-06,3.845881110464688e-06,0.9791684746742249,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.04956870081818852,0.05309431771016787,0
rho,0.028108570489828642,0.022019711507218792,0.07519622525958757,0.9972472734211826,0.07519004634535899,0.00022480386018170276,0.0017683704319257244,0.9982316295680743,0.9970715045928955,3.62331093128887e-06,3.678532721096417e-06,0.9791684746742249,0.03684020512454992,0.001993174292107427,0.9980068257078926,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791038632392883,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.015579345119893421,0.015558513017509172,0
rho,0.0,0.0,0.0,1.0,0.0,0.0,0.001298898332497768,0.9987011016675023,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791684746742249,0.0,0.001298898332497768,0.9987011016675023,0.9970715045928955,3.62331093128887e-06,3.6514254588837503e-06,0.9791684746742249,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0
press,0.06981391939103895,0.05709879094915122,0.1329885397676578,0.999539192729382,0.07104596206336969,0.0006967243709478793,0.11534687866967894,0.884653121330321,0.006300518289208412,2.1651917592180325e-08,2.1651917592180325e-08,0.006300518289208412,0.06580493001894795,0.11604360304062682,0.8839563969593732,0.006785444915294647,2.2463467530542403e-08,2.2463467530542403e-08,0.006785444915294647,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.06550535897871614,0.1275652747428403,0
press,0.06972717465362463,0.051088179981450564,0.07724793759783465,0.9996032243842388,0.0698284520354779,0.00047900249966684183,0.05512546241579955,0.9448745375842005,0.006958676967769861,1.9604057044375622e-08,1.9604057044375622e-08,0.006958676967769861,0.06575801474665212,0.05560446491546639,0.9443955350845337,0.007494259625673294,2.0338850603707215e-08,2.0338850603707215e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.06545180222576406,0.1276149744422394,0
press,0.04545939837017474,0.03354418150501112,0.08335742069971055,0.9990528729425274,0.04620329697819574,0.0011564143898465315,0.03811383617852441,0.9618861638214756,0.007494259625673294,1.84151804916155e-08,1.888531997451537e-08,0.007494259625673294,0.041956244558872945,0.03695742178867788,0.9630425782113221,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017057965645402937,0.028201009510235707,0
press,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.026982934710999308,0.9730170652890007,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,0.0,0.026982934710999308,0.9730170652890007,0.007494259625673294,1.84151804916155e-08,1.8653947719826647e-08,0.007494259625673294,128,HIGHER_RES_SAMPLING_REFERENCE,128,0.0,0.0,0
vel1,1.2742600834383282,1.4318765123953197,0.3342279448119636,0.9448709465953904,0.3342279448119636,0.0033009040340511026,0.0716158836541461,0.9283841163458539,0.046200819313526154,-3.079122523155808e-16,-2.9999559122296647e-16,0.0461864173412323,0.09260477193068091,0.0749167876881972,0.9250832123118028,0.04813704639673233,-3.278773482779567e-16,-2.4090638753404927e-16,0.04812963306903839,128,HIGHER_RES_SAMPLING_REFERENCE,32,0.04064677434767963,0.08018921244918571,0
vel1,1.2798645011527907,1.3463612425332128,0.3022484489848157,0.9551651696206477,0.30224844898481573,0.0003687282057702468,0.03447835421871193,0.9655216457812881,0.04813704639673233,-7.287624779830112e-16,-3.349639964916006e-16,0.04812585934996605,0.11172061967585757,0.03484708242448218,0.9651529175755178,0.046200819313526154,-4.842197780063992e-16,-4.0200392787947947e-16,0.04617510735988617,128,HIGHER_RES_SAMPLING_REFERENCE,64,0.06175311255358997,0.13002819648241332,0
vel1,1.1521470768869027,1.125224674643111,0.22515089625605295,0.974782046183598,0.22515089625605295,0.000516986013784939,0.02421856151958208,0.9757814384804179,0.046200819313526154,-4.680993645916106e-16,-3.7878289020741725e-16,0.04616730287671089,0.054954660632349724,0.024735547533367017,0.975264452466633,0.04813704639673233,-5.379485601583972e-16,-4.0200392787947947e-16,0.044341545552015305,128,HIGHER_RES_SAMPLING_REFERENCE,96,0.017511956258984857,0.03843909154868055,0
