mode,status,model_parameter_count,initial_state_hash,protocol_checksum,epochs,train_batches,runtime_seconds,total_wall_seconds,samples_per_second,device,peak_allocated_mib,peak_reserved_mib,validation_normalized_global_relative_l2,model_to_oracle_global_relative_l2,model_to_raw_global_relative_l2,oracle_floor_global_relative_l2,rollout3_finite,rollout3_rho_press_positive,rollout3_no_double_transform,best_checkpoint_reload,last_checkpoint_reload,clipping_fraction,h1_value_ratio_max,h1_gradient_ratio_max,enabled_loss_components,disabled_loss_components
full,passed_with_h1_warning,331832,00dde6be92d4037f4abfc671cdd2153cfe98901148442903006e745ff3b86b43,f6f3497717b577db25ff96f58daa5b98debe5300c329e30b543805d11d21b9d6,2,4,4.795029431999865,7.388119223000103,0.834197173703628,cpu,0.0,0.0,1.0183352276751305,0.9372144042255971,0.9551811966889182,0.5043941588408832,True,True,True,True,True,1.0,21.6084041595459,8.646244609551902,"[""base"", ""h1"", ""roi"", ""bounds"", ""envelope"", ""dissipation""]",[]
plain,passed,331832,00dde6be92d4037f4abfc671cdd2153cfe98901148442903006e745ff3b86b43,f6f3497717b577db25ff96f58daa5b98debe5300c329e30b543805d11d21b9d6,2,4,2.992628899999545,5.482059537000168,1.3366174469546184,cpu,0.0,0.0,1.0156894920263964,0.9371735405808291,0.9551236805699226,0.5043941588408832,True,True,True,True,True,1.0,,,"[""plain_l2""]","[""h1"", ""roi"", ""bounds_training_penalty"", ""radial_envelope"", ""dissipation""]"
