clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_max,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_min
0.9761904761904762,19.819767185999808,1,19.819767185999808,1049.00146484375,1202.0,1.0,0.9940637619722457,27.903873443603516,4.902736838374819,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,659.1566336080432,107.66116020571263,3.9356609992682934
0.9523809523809523,38.592295088001265,2,18.772527902001457,1049.00146484375,1202.0,1.0,0.9860205068474724,30.028278350830078,4.449011960199901,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,881.800850301981,107.57718656487053,1.3312618434429169
0.9523809523809523,57.51848608600267,3,18.926190998001402,1049.00146484375,1202.0,0.9999999403953552,0.9841754223619189,24.61818504333496,3.657690411522275,4e-05,2.6984126984126987e-05,504,168,0,126,42,650.2782984524965,107.44210833080467,1.4426109604537487
0.9285714285714286,76.25648173400259,4,18.737995647999924,1049.00146484375,1202.0,0.9999999403953552,0.980756585087095,24.102970123291016,3.5181807024138316,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,1034.138698451221,107.24141724274627,0.5453704260289669
0.9285714285714286,95.29661562600086,5,19.040133891998266,1049.00146484375,1202.0,0.9999999403953552,0.9906354134991056,23.09514617919922,4.435056345803397,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,740.3892778158188,106.9543465218019,1.5860416814684868
0.9761904761904762,114.1383673900018,6,18.841751764000946,1049.00146484375,1202.0,1.0,0.9974658077671414,37.90240478515625,6.472828965811503,8e-05,6.698412698412698e-05,1008,168,0,252,42,1235.5423954427242,106.51877396354186,1.7720454521477222
0.9285714285714286,133.06267367700275,7,18.924306287000945,1049.00146484375,1202.0,1.0,0.974043396966798,58.236793518066406,10.689971530011722,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,694.3423013687134,105.77165124503274,0.2992009110748768
0.9523809523809523,152.00735597900348,8,18.94468230200073,1049.00146484375,1202.0,1.0,0.9861613668146587,48.35511779785156,15.17042397601264,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,934.9497925527394,104.61328274845367,1.508534550666809
0.9285714285714286,170.76585061900187,9,18.75849463999839,1049.00146484375,1202.0,1.0,0.9759349212760017,85.2245864868164,22.177022337913513,0.00012,0.000106984126984127,1512,168,0,378,42,653.1772294789553,102.82673712637985,1.5124079436063766
1.0,189.83811271000377,10,19.072262091001903,1049.00146484375,1202.0,1.0,0.9999998722757611,158.58642578125,26.248885347729637,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,688.4720360301435,100.97621129949887,2.2017872259020805
0.9761904761904762,208.6952660230054,11,18.857153313001618,1049.00146484375,1202.0,1.0000001192092896,0.9992700290112269,169.07330322265625,31.57510114851452,0.00014666666666666666,0.00013365079365079365,1848,168,0,462,42,670.2445021867752,99.01164899145563,1.9482794255018234
1.0,227.64546506800616,12,18.950199045000772,1049.00146484375,1202.0,1.0,0.9999998836290269,112.51937866210938,34.28436341172173,0.00016,0.000146984126984127,2016,168,0,504,42,651.3019508123398,96.51740803312333,1.0256264377385378
1.0,246.54858987500847,13,18.903124807002314,1049.00146484375,1202.0,1.0,0.9999999091738746,194.27474975585938,39.01836695557549,0.00017333333333333334,0.00016031746031746033,2184,168,0,546,42,650.4675871580839,94.03995654448157,1.934448730200529
1.0,265.3749433070079,14,18.82635343199945,1049.00146484375,1202.0,1.0000001192092896,0.9999999276229313,135.52117919921875,55.42108998696009,0.00018666666666666666,0.00017365079365079368,2352,168,0,588,42,644.3960482105613,90.58604718434314,1.9033329263329506
1.0,284.30833801400513,15,18.933394706997206,1049.00146484375,1202.0,1.0,0.9999999120121911,300.44342041015625,51.47744944549742,0.0002,0.00018698412698412697,2520,168,0,630,42,644.9455797541887,86.86940472382342,0.8739755339920521
