channel,model,physical_l2,physical_q001,physical_q999,radial_absolute_error,radial_skill,residual_cosine,residual_l2,shell_absolute_error,shell_skill,state_l2
Bcc1,Persistence,0.5933067713646321,-4.235410213470459,4.235410213470459,0.019709540981225914,0.0,0.0,1.0,0.09851006335771124,0.0,0.323328573506534
Bcc2,Persistence,0.4454955265816976,-1.8067449443340302,2.8318811620473845,0.06610213778286224,0.0,0.0,1.0,0.020115938513436418,0.0,0.5612767165103862
Bcc3,Persistence,0.2145529529696003,-33.144514083862305,33.78278923034668,0.7239238028538837,0.0,0.0,1.0,5.240840171408865,0.0,0.30795050740141605
rho,Persistence,1.0826374162400625,7.70402135412951e-06,53.472732698439785,0.5538268220809137,0.0,0.0,1.0,12.292110475391826,0.0,0.15490373767862164
press,Persistence,1.1224135838966094,1.4299573241061126e-07,37.21937201118369,0.2036083884359349,0.0,0.0,1.0,1.2931518272584426,0.0,0.14467580377795203
vel1,Persistence,0.07156986988190439,-4.9574822469367064e-08,5.26064920425415,0.05779549535480499,0.0,0.0,1.0,0.013256519817119776,0.0,0.09622849176929547
vel2,Persistence,0.9055986545809814,-0.0451660230755806,0.0451660230755806,0.0018709359595346902,0.0,0.0,1.0,3.502768103289198e-05,0.0,0.7525195952519917
vel3,Persistence,0.1370951646881602,0.00025553462910465896,1.3448994418978633,0.027271421587364134,0.0,0.0,1.0,0.0030956612272376818,0.0,0.1413763843103537
Bcc1,FNO,0.652676279310432,-4.235410213470459,4.235410213470459,1.2928935189994342,-88.61968421644025,0.5671245058169383,0.8590230991416388,4.950460157083353,-49.76507601243512,0.2777467132394723
Bcc2,FNO,0.6759570109671394,-1.5879917085766793,3.0047535500526332,0.18868992935123352,-1.756180902499295,0.6078361150208831,0.8119158479241345,0.06644144813186995,-2.8883927987758904,0.4557094612205805
Bcc3,FNO,1.3757380810477202,-35.41692998504639,35.90892835426307,1.9915029625637928,-1.5781962566978793,0.6820602097992021,0.7831262082031096,31.984334977096314,-4.78817657083418,0.24116411313768144
rho,FNO,576953077.6065854,7.646439007203299e-06,1037.922914123405,2443.2923070650145,-4983.2826624229165,-0.07376505391645732,1.4400562404798019,485247268.11181104,-71499182.07404144,0.22307009411758344
press,FNO,22.568071095521816,1.4466489449205257e-07,40.37878241729355,2.262132763009509,-12.082455972863567,0.0527707068567565,1.113686874782404,259.19277261790137,-318.07944863552353,0.1611235437846874
vel1,FNO,0.08011593659485143,-0.003492599781136959,5.26064920425415,0.17283031864621423,-1.863462901597237,0.020623597843217784,1.111862504053975,0.03395645957302665,-1.4852979172474217,0.10699285186024893
vel2,FNO,0.8160014347616734,-0.0451660230755806,0.0451660230755806,0.004564581501197347,-1.7648434862459847,0.3828430628899539,0.9373419686594769,0.0001124717424641792,-1.7566857761815216,0.7053681988990049
vel3,FNO,0.15239911076278764,-0.02962318899761885,1.3540161574482916,0.04436515890093063,-0.5758569858232456,0.0363686541626413,1.1116300891272526,0.0032398603419414923,-0.016269928683274926,0.1571582427365052
Bcc1,3D CNN/U-Net,0.6367065483127721,-4.235410213470459,4.235410213470459,0.3968037351723711,-18.546279856460433,0.6882276524900269,0.734844973280286,4.048896371631734,-39.07986167281874,0.23759637692348698
Bcc2,3D CNN/U-Net,1.1100836171626993,-2.171822251200676,2.8933642337322114,0.09718696427927273,-0.5347875229729798,0.6934608232258723,0.746853175758489,0.385025002187642,-12.967338506505865,0.41919129819459583
Bcc3,3D CNN/U-Net,0.4815214351410932,-33.975963792800904,35.27116647148114,0.7264296888305376,-0.17880798340214554,0.8144538813325666,0.606355806177598,28.095342245854656,-4.434080152499513,0.18672757819463295
rho,3D CNN/U-Net,2.9465433978616082,7.794694999574859e-06,100.15139261245696,6.22664738118254,-10.762425347703438,0.2756002337999973,0.9612769745381399,819.2633928631741,-66.26283216246667,0.1489053962953269
press,3D CNN/U-Net,31005131.44951268,1.433267987351883e-07,125.37931206512309,2317.7286469341307,-8191.526958177852,0.26395116923979284,0.9733843145062895,1345208344.5192618,-823712813.1926244,0.14082515807823975
vel1,3D CNN/U-Net,0.07397858317317392,0.0018175412194104865,5.26064920425415,0.10996427775736918,-0.8468013602673534,0.19208581181601003,1.0026650750495014,0.11103169504862709,-7.316750879108755,0.09648494791184681
vel2,3D CNN/U-Net,0.7100043483368259,-0.0451660230755806,0.0451660230755806,0.00852289981579572,-2.846485189299629,0.6712601595713656,0.7636888664779856,0.00013761712914827707,-2.2560363969322967,0.5746908366949067
vel3,3D CNN/U-Net,0.13167466559266106,-0.020385956372134386,1.3618877323865874,0.03797810779900335,-0.3537179465330912,0.4395182792237919,0.960461773991949,0.004319144653574873,-0.27579757134080707,0.1357866128802692
Bcc1,Differential LocalNO,0.6271743033104239,-4.235410213470459,4.235410213470459,0.8841117254510775,-43.04849137787342,0.6783863756991302,0.7375577711661483,4.594462261169423,-43.45410497769272,0.23847350201791295
Bcc2,Differential LocalNO,1.8752269359195584,-2.4216300798654555,2.9678530977964295,0.11888738306625359,-0.4130954789394684,0.6522948835684826,0.7961024433541122,0.791986933033983,-28.871422996963858,0.4468337654043549
Bcc3,Differential LocalNO,2.521775931056251,-33.421520877838134,34.191520385742145,0.7506104221867256,-0.0806609848789781,0.8013948279458492,0.6023149365198377,15.50945046744317,-1.014442233300695,0.18548319032353788
rho,Differential LocalNO,13.97939120824721,7.807521662925864e-06,86.25632426452381,9.802928163549616,-17.40279288159977,0.23102959698092718,1.002795447278758,8417.097177866184,-919.1569886907832,0.15533676287465467
press,Differential LocalNO,2362.2280680027666,1.4467277681262657e-07,66.62615381239877,40.718419331677566,-194.41855729746771,0.22465538837331503,0.994374519965799,140987.03709749342,-224762.81666878168,0.1438619328671123
vel1,Differential LocalNO,0.07502681008911893,-0.003601235369103958,5.26064920425415,0.09682327051217537,-0.505518423659016,0.08526251691552328,1.0465187898837194,0.06205856706772167,-3.639534985538486,0.10070492491378895
vel2,Differential LocalNO,0.7758333592001933,-0.0451660230755806,0.0451660230755806,0.00747084080985219,-2.985985747596717,0.5229637152703541,0.9598155942847565,0.00010697829010184481,-1.8503336439284084,0.7222800425095661
vel3,Differential LocalNO,0.13645519779149196,-0.05656306540034711,1.355386155366891,0.04896161842020418,-0.4867797844084871,0.34068573741514463,0.9953319489772864,0.005171210675030135,-0.5335711757997375,0.14071643218652077
Bcc1,Index-space DISCO3D LocalNO,0.6392505085224113,-4.235410213470459,4.235410213470459,1.123779260335482,-70.73492928783276,0.7061752678953611,0.722810550559835,3.859972787181654,-38.12521058842499,0.23370530420267402
Bcc2,Index-space DISCO3D LocalNO,4.6732498200572685,-3.0435203498601915,3.2380139316320156,0.17382175344942585,-2.299873357019538,0.6689385068165818,0.8234663509852713,0.9396870890805022,-66.45647792779044,0.46219248963090914
Bcc3,Index-space DISCO3D LocalNO,0.9459543281281483,-34.41491454124451,36.11186568641658,0.7046621249772871,-0.03995401222809486,0.8155389105654833,0.6199488342216526,34.95455788056774,-5.773039950346243,0.19091355805168903
rho,Index-space DISCO3D LocalNO,3.356356810146616,7.784461822666343e-06,56.7488736457812,2.581932440301265,-3.9817822623037107,0.23241321693698072,1.016257252665433,317.62707835372726,-30.982496035765394,0.1574220468890613
press,Index-space DISCO3D LocalNO,23978014365907.695,1.4391411911418574e-07,46.33688804435522,89.97247428110511,-919.3752035063804,0.27795413442638245,0.9797291305029273,3058357.2818153906,-4738851.392007338,0.14174309945432453
vel1,Index-space DISCO3D LocalNO,0.07528806200136769,0.0008113944249344071,5.26064920425415,0.11534295162780417,-0.8269982744407715,0.15189261145202504,1.0443198663401934,0.045282087318137716,-2.4323468300330857,0.10049332572343775
vel2,Index-space DISCO3D LocalNO,0.7523494754706936,-0.0451660230755806,0.0451660230755806,0.004256433478702998,-1.102446723843981,0.5427692643830161,0.905928947538482,0.00010992982790222256,-1.0586262592907032,0.6817292849482027
vel3,Index-space DISCO3D LocalNO,0.13992736953936402,-0.0631342027708888,1.3639879952669136,0.04294266703135029,-0.32816589089922055,0.4101854517170319,1.0206586730013718,0.003760040492335379,-0.3064272571056126,0.14429703279817224
Bcc1,Anisotropic spherical DISCO3D LocalNO,0.6289169222137246,-4.235410213470459,4.235410213470459,2.3299065910434242,-117.64564806017573,0.6691218294374492,0.7462123627456806,3.8400329970549687,-35.72843170595759,0.24127177874648031
Bcc2,Anisotropic spherical DISCO3D LocalNO,5.545920018092368,-2.7644520626068116,3.0863204439878436,0.14754841337979835,-1.3402120396020438,0.6611558106378403,0.8067775286545149,0.5910336454611249,-33.78436162256247,0.45282544218586857
