absolute_residual_error,model,radial_absolute_error,radial_skill,residual_cosine,residual_l2,shell_absolute_error,shell_skill,source_snapshot,state_l2,target_snapshot
1.628740180401106,Persistence,0.11103640880145266,-3.983851766253821e-07,0.0,1.0,0.04345938911182228,-3.20133941578149e-09,169,0.3489602524410178,170
1.2611602720056974,FNO,0.19888732704576878,-0.7911932833666169,0.8769984300518546,0.8753316582334203,0.025781160823607267,0.4067758099451,169,0.2649262676269547,170
0.9310251731283314,3D CNN/U-Net,0.1380180437204772,-0.3048768259522918,0.8968581617136052,0.7119075849036753,0.5010996378871865,-0.38878483481843307,169,0.21538932657250554,170
1.0281252831952346,Differential LocalNO,0.0725164701848926,0.05007717361225705,0.8832225142390109,0.7724385579593744,0.938850758562466,-2.9718848991078204,169,0.24164958038372727,170
1.0590875615164828,Index-space DISCO3D LocalNO,0.29846153828141775,-0.21562540641737504,0.8784577728993905,0.7810929422238126,2.3604674945990842,-10.962110794835137,169,0.2489845352833186,170
1.017153934190054,Anisotropic spherical DISCO3D LocalNO,0.1484705334669875,0.06493731351243981,0.872542851973122,0.7964810332653647,0.5686940716736575,-1.1695748024763581,169,0.25371826609062276,170
1.641693588783421,Persistence,0.061771085377857596,-5.995598948427272e-07,0.0,1.0,0.0587558816546411,-2.7408827696362437e-07,170,0.3458325360580783,171
1.2373053483668857,FNO,0.17261833088166156,-1.9727260189490528,0.8700635570946176,0.8739819841355828,0.07131553654914935,-0.07604650377948641,170,0.26230276685961007,171
0.8277291223214596,3D CNN/U-Net,0.09717862205820559,-0.5732102064327322,0.9197170642787232,0.679524360227134,0.06990503662679311,-0.18975417980852272,170,0.1982321306145344,171
0.9166193027694094,Differential LocalNO,0.08886542229748697,-0.4386290564361486,0.9111936850566723,0.7373365944779996,1.6218384917817976,-2.5615932567085804,170,0.22431121558210634,171
0.8870586624934219,Index-space DISCO3D LocalNO,0.15840735964107544,-1.564433099412914,0.9151468549656946,0.7354285855195136,0.36022672353780566,-5.130906593983063,170,0.22573125297687807,171
0.8710977978258821,Anisotropic spherical DISCO3D LocalNO,0.10867815358858474,-0.7593744058175691,0.9120157031440039,0.7460858653009086,0.19061826414714822,-0.48285632192596184,170,0.22770570740492627,171
1.6896149979907342,Persistence,0.1243077913933616,-8.428841622443173e-07,0.0,1.0,0.048728680611328956,4.2776539777023004e-07,171,0.3438928895155128,172
1.31152225624407,FNO,0.13481854952429703,-1.1072910641556293,0.856441766451027,0.8972290326984917,0.05872603243790892,-0.2051630904057571,171,0.2667400198689345,172
0.9335359042342344,3D CNN/U-Net,0.1736031156301082,-0.3965610585312853,0.8757808388010379,0.7188897214421983,0.25005592561481627,-0.28478265409889114,171,0.21594301180982184,172
1.018622937885146,Differential LocalNO,0.08197129722803423,-1.0051330114210009,0.8719609645117655,0.7858966726399579,1.1687852454793934,-3.112960943469756,171,0.24161120410807185,172
0.9907828487500042,Index-space DISCO3D LocalNO,0.15604886825729947,-1.0279045146750487,0.8717369221721621,0.785120896155046,0.9000320974438168,-17.470266404709097,171,0.24533593511100393,172
0.9667401197335108,Anisotropic spherical DISCO3D LocalNO,0.1261683458044676,-0.10705950009896714,0.8662213724634903,0.8021148812861755,0.6149202301628414,-9.95123573413552,171,0.24742873179283453,172
1.4685889609204656,Persistence,0.027020685198723023,-5.4198533661065085e-08,0.0,1.0,0.05154872331625616,4.305213709088207e-06,172,0.3207309948016035,173
1.1624978290796202,FNO,0.150072961441831,-2.613850352325958,0.857554802059491,0.8917149492019969,0.06275966178584852,-0.5649662797701884,172,0.24933887089666473,173
0.8680731943862736,3D CNN/U-Net,0.09719530650033988,-0.3139591948924163,0.875903939106104,0.7360421736223993,0.28758064548057216,-1.879144203537134,172,0.20617339841073273,173
0.9067369808536583,Differential LocalNO,0.03680918538459144,-0.4262404636925434,0.8704706962960367,0.7742267714651054,0.12170764334618951,-1.3610229918056294,172,0.2243558612262428,173
0.8790633222541367,Index-space DISCO3D LocalNO,0.11305158057141673,-0.6949116094906387,0.8789548861270716,0.7712365495439337,0.30358511091878115,-4.889288520773461,172,0.22473929346510513,173
0.8528308335088677,Anisotropic spherical DISCO3D LocalNO,0.06082738135915692,-0.5254155675935082,0.873308260841676,0.790694391512379,0.18730593919103014,-0.9963609038221877,172,0.22770142162452064,173
1.2781004053791316,Persistence,0.05936099280952434,-6.622407215939319e-07,0.0,1.0,0.02390328921829313,1.5320778700145254e-06,173,0.30197888849679405,174
1.0312849130135557,FNO,0.13918081155224954,-1.344658150304734,0.8456744017900102,0.8928882568606519,0.07913672885991582,-2.310699498030663,173,0.23771288636108784,174
0.8923495608235077,3D CNN/U-Net,0.26153956457542515,-1.3678733083940275,0.8333483316498351,0.7748663754876106,1.7876297125968013,-5.262034440500442,173,0.21575957900205578,174
0.8811804484483499,Differential LocalNO,0.0646162936361752,-0.5368556313540329,0.8259987496316757,0.8088845591047378,0.24030140531404567,-3.0805321635525367,173,0.22684863898757482,174
0.8729259853292537,Index-space DISCO3D LocalNO,0.1614556515754434,-0.6973076297188177,0.8425112366466972,0.8057368371779932,0.5253047667803832,-20.976220811090762,173,0.227531168112249,174
0.8414122808132614,Anisotropic spherical DISCO3D LocalNO,0.1353223513168206,-0.575280447551197,0.8355787272412619,0.8251352721111131,0.4758184182545867,-14.379371635485331,173,0.2292157356921061,174
1.1592963639320695,Persistence,0.1408448170460872,-8.954676473660328e-07,0.0,1.0,0.02437749230278178,7.079418939959226e-07,174,0.2864114416008797,175
0.9751947810879431,FNO,0.03339230579697911,0.35570426372756947,0.8239722967487965,0.9008171236788691,0.01063043304119503,0.3450780799797851,174,0.22946124589014727,175
0.8424742859531383,3D CNN/U-Net,0.4021915040944992,-0.28818882998105466,0.8366526348383984,0.7964105746861949,3.1269910614793703,0.7783104777413112,174,0.20993102546297365,175
0.8314181862101773,Differential LocalNO,0.1949854014333049,-0.29628461541370243,0.8169448429970072,0.8126974083024263,0.6720289713939137,0.07245294689282344,174,0.2158426736884737,175
0.8246614796249843,Index-space DISCO3D LocalNO,0.16773188072099252,0.17316884561726187,0.8312160871389543,0.8065906222567155,0.23022455126337613,0.3313357736067536,174,0.21660778893878102,175
