metric,model,rank,ranking_is_not_scientific_significance,value
state_l2,3D CNN/U-Net,1,True,0.24252602564666315
state_l2,Index-space DISCO3D LocalNO,2,True,0.26406201771230886
state_l2,Differential LocalNO,3,True,0.26671131913718105
state_l2,Anisotropic spherical DISCO3D LocalNO,4,True,0.2722633512141349
state_l2,FNO,5,True,0.29104165237447055
