clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_max,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_min
1.0,12.900271667000197,1,12.900271667000197,715.93798828125,932.0,1.0000001192092896,0.9999999843892597,218303250432.0,31711184862.605656,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,6956213130.913513,1073216563.0008287,5094.910736978054
1.0,24.895324465000158,2,11.99505279799996,715.93798828125,932.0,1.0000001192092896,0.9999999872275761,185043386368.0,21279471327.780785,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,6047507458.636165,728045346.3804337,2049.5640573501587
1.0,36.92644422199919,3,12.031119756999033,715.93798828125,932.0,1.0000001192092896,0.9999999701976776,74890592256.0,9271711071.066685,4e-05,2.6984126984126987e-05,504,168,0,126,42,2318568270.949147,315061397.3065558,455.0022644996643
1.0,48.99432149199856,4,12.067877269999371,715.93798828125,932.0,1.0000001192092896,0.999999980131785,46660624384.0,3387248497.0006976,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,1350492357.0,112643732.25178671,207.08915585279465
1.0,61.06893336999747,5,12.074611877998905,715.93798828125,932.0,1.0000001192092896,0.9999999914850507,17962678272.0,1175591519.0632732,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,499881077.4160805,36373706.167683914,91.45848727226257
1.0,73.58393594799782,6,12.515002578000349,715.93798828125,932.0,1.0000001192092896,0.9999999744551522,7449492992.0,500400338.5991327,8e-05,6.698412698412698e-05,1008,168,0,252,42,142496242.1482734,12360201.922287056,174.29316890239716
1.0,86.08177646799777,7,12.497840519999954,715.93798828125,932.0,1.0000001192092896,0.9999999829701015,3379108864.0,214196290.9435619,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,48347040.170853615,4068534.761015267,4.405877381563187
1.0,98.28012654499798,8,12.198350077000214,715.93798828125,932.0,1.0000001192092896,0.9999999815509433,2384894208.0,120374317.25886972,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,23332456.363571003,1644652.1783287558,2.3024153411388397
1.0,110.36966114499774,9,12.089534599999752,715.93798828125,932.0,1.0000001192092896,0.999999980131785,1599660288.0,64992749.79603213,0.00012,0.000106984126984127,1512,168,0,378,42,13504034.194336891,682857.2208887929,4.7560573518276215
1.0,122.46766801799822,10,12.098006873000486,715.93798828125,932.0,1.0000001192092896,0.9999999758743104,755483776.0,29965607.30460067,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,5854403.961061031,265658.7372169044,14.00540018081665
