FIRST_10X_PHYSICAL_RANGE_STEP,FIRST_NEGATIVE_RADIAL_SKILL_STEP,FIRST_NEGATIVE_RESIDUAL_COSINE_STEP,FIRST_NEGATIVE_SHELL_SKILL_STEP,above_Rout,display_name,finite,formal_best_epoch,ground_truth_available,normalized_global_norm,normalized_state_error,physical_range_explosion,press_physical_q001,press_physical_q999,radial_skill,residual_cosine,residual_relative_l2,rho_physical_q001,rho_physical_q999,rho_press_positive,shell_skill,step,variant
1,2,4,1,False,Transport,True,80,True,54700.59596766942,0.5278467205991013,True,3.0464330123436413e-07,1000.5536856685133,-57245.799365032835,0.1777879296200676,1.666042309749198,8.487211560350261e-06,93866052.30399927,True,-4724316687.047983,3,transport
1,2,4,1,True,Transport,True,80,True,414455.05575600127,5.274623915186853,True,1.1754943508222875e-38,6.620955797775974e+16,-4.025780997909406,-0.639133990416087,3.9674302944193256,1.1754943508222875e-38,2.1504328797415057e+25,True,-21.08501939878006,5,transport
1,2,4,1,True,Transport,True,80,True,3527458.3732784586,53.208220893586805,True,1.1754943508222875e-38,6.620955797775974e+16,-0.13426513630909764,-0.48242823002304863,3.3162368868871397,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.29848887462071727,10,transport
1,2,4,1,True,Transport,True,80,True,5532614.73278831,93.18422602119742,True,1.1754943508222875e-38,6.620955797775974e+16,-0.06720088552849157,-0.492210547196914,2.7891017914217495,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.029761365598615974,19,transport
1,2,4,1,True,Transport,True,80,True,5997498.059933478,104.13644292648524,True,1.1754943508222875e-38,6.620955797775974e+16,-0.018026571655971102,-0.477619723379863,2.536040685842124,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.023066197528735177,25,transport
1,2,4,1,True,Transport,True,80,True,7536444.1977411,136.11499313763065,True,1.1754943508222875e-38,6.620955797775974e+16,0.004886935130062997,-0.4522987114870148,2.330347705689033,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.011446047582569951,42,transport
1,2,4,1,True,Transport,True,80,False,8304070.9524941305,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,50,transport
1,2,4,1,True,Transport,True,80,False,12112738.435754182,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,75,transport
1,2,4,1,True,Transport,True,80,False,20215475.52005797,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,100,transport
1,1,5,1,False,Direction+Transport,True,150,True,46622.13632818013,0.2513393767937901,True,3.0425998022565183e-07,396.2225733337302,-1.072465537126,0.8756923794826245,0.48363858858543546,8.253019404946827e-06,474.8259974670357,True,-4.269679951992821,1,direction_transport
1,1,5,1,False,Direction+Transport,True,150,True,46722.845051772274,0.28431973171229197,True,3.1141173485593754e-07,11385.23338574195,-8.294868326504472,0.7036724954733354,0.7254566126402536,8.461194652227278e-06,5580.029624511108,True,-405.8601842039721,2,direction_transport
1,1,5,1,False,Direction+Transport,True,150,True,50271.912954910564,0.5009994489413678,True,3.185087940948961e-07,6.620955797775974e+16,-1680307588.6766021,0.27884367129531523,1.4178142456725047,8.657193759063375e-06,29628081.263956808,True,-2.194624657075122e+19,3,direction_transport
1,1,5,1,True,Direction+Transport,True,150,True,267978.9018252149,6.203036443354156,True,1.1754943508222875e-38,6.620955797775974e+16,-9.228482302427844,-0.036860668073796975,3.660119037966439,1.1754943508222875e-38,2.1504328797415057e+25,True,-55.305748162851025,5,direction_transport
1,1,5,1,True,Direction+Transport,True,150,True,3947163.355012085,105.4970747030062,True,1.1754943508222875e-38,6.620955797775974e+16,-0.6520667437726544,-0.14906187164922674,3.1541510157347834,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.20537813920457748,10,direction_transport
1,1,5,1,True,Direction+Transport,True,150,True,5500795.268992753,147.44636084590132,True,1.1754943508222875e-38,6.620955797775974e+16,-0.038060618563530824,-0.38303547110579494,2.2522515599656927,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.019774531535569295,19,direction_transport
1,1,5,1,True,Direction+Transport,True,150,True,6057091.425265936,171.64705850455127,True,1.1754943508222875e-38,6.620955797775974e+16,0.0032402603327748025,-0.37682745235888404,2.017295117862358,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.01678468319254378,25,direction_transport
1,1,5,1,True,Direction+Transport,True,150,True,8483417.789152376,239.15101965932456,True,1.1754943508222875e-38,6.620955797775974e+16,-0.0035680818931496106,-0.2949168277203475,1.7400675693800032,1.1754943508222875e-38,2.1504328797415057e+25,True,-0.0064550028280576655,42,direction_transport
1,1,5,1,True,Direction+Transport,True,150,False,10326611.419626717,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,50,direction_transport
1,1,5,1,True,Direction+Transport,True,150,False,20250681.474042777,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,75,direction_transport
1,1,5,1,True,Direction+Transport,True,150,False,46242301.518292345,,True,1.1754943508222875e-38,6.620955797775974e+16,,,,1.1754943508222875e-38,2.1504328797415057e+25,True,,100,direction_transport
