display_name,formal_best_epoch,late_over_early_residual_relative_l2,late_over_early_state_relative_l2,pair_count,radial_skill,residual_global_cosine,residual_relative_l2,shell_skill,state_relative_l2,stratum,variant
Stage-T Plain,150,1.1478525009062182,1.545780087634221,14,-0.13667213330684447,0.821697915631262,0.8137046245669586,-0.21490403481373277,0.20291694869477453,early,stage_t_plain
Stage-T Plain,150,1.1478525009062182,1.545780087634221,14,-0.12067468362075773,0.7348475925598831,0.8928788947914273,-1.517526765048075,0.2673893514719955,middle,stage_t_plain
Stage-T Plain,150,1.1478525009062182,1.545780087634221,14,-0.8189445543384177,0.6969097026538006,0.9340128883081388,-24.536557180275985,0.3136649787358773,late,stage_t_plain
Direction,150,1.1793938216061823,1.5898388005350896,14,-0.22734120613109499,0.8266757263604466,0.8561035029539593,-0.4551293674996262,0.20636184246916645,early,direction
Direction,150,1.1793938216061823,1.5898388005350896,14,-0.0672596647019823,0.7310149066269959,0.9717037712484031,-4.2563050713870405,0.27790626956504233,middle,direction
Direction,150,1.1793938216061823,1.5898388005350896,14,-2.40181384613659,0.686930650228431,1.0096831820393097,-153.29431584464598,0.3280820641073907,late,direction
Transport,80,1.1544666672931745,1.5451437739929994,14,-0.17480652240798766,0.8343477342748093,0.8071523486089829,-0.823061785974626,0.19928944926881725,early,transport
Transport,80,1.1544666672931745,1.5451437739929994,14,-0.46660087255073623,0.7088449976076457,0.9010643257299275,-2.025940154729704,0.2691388100794211,middle,transport
Transport,80,1.1544666672931745,1.5451437739929994,14,-1.5992799445630022,0.6818855706489773,0.931830481896471,-45.11556145930706,0.3079308517602067,late,transport
Direction+Transport,150,1.1633481346916186,1.5433062117392664,14,-0.5583647818066795,0.8203443403476309,0.8286258873609154,-0.18284124831056048,0.2076508641190958,early,direction_transport
Direction+Transport,150,1.1633481346916186,1.5433062117392664,14,-0.36584968180971433,0.7227391685779294,0.9246324579559193,-3.3568807606448337,0.2730445571318627,middle,direction_transport
Direction+Transport,150,1.1633481346916186,1.5433062117392664,14,-2.2393645879723936,0.6901497891062817,0.9639803804185081,-65.06103669962341,0.3204688684680269,late,direction_transport
