O1_state_retention,O2_residual_below_one,O3_cosine_above_0_7,O4_shell_positive,O5_radial_positive,O7_nontrivial_not_persistence,delta_radial_skill_vs_stage_t,delta_shell_skill_vs_stage_t,display_name,finite,formal_best_epoch,persistence_ratio,persistence_state_relative_l2,physical_relative_l2,radial_skill,residual_global_cosine,residual_relative_l2,rho_press_positive,shell_skill,state_global_relative_l2,state_relative_l2,variant
True,True,True,False,False,True,0.0,0.0,Stage-T Plain,True,150,0.8595758366324685,0.31028247627581884,297.77736896854765,-0.3480888795195025,0.7406020960063326,0.8918514314288021,True,-1.6794721761992293,0.2461946962539585,0.26671131913718105,stage_t_plain
True,True,True,False,False,True,-0.2803761115702038,-1.6295312102371218,Direction,True,150,0.8921526500635403,0.31028247627581884,1.626545808000242e+21,-0.6284649910897063,0.7369467264158714,0.9599221144930403,True,-3.309003386436351,0.24935605976937808,0.27681933347774934,direction
True,True,True,False,False,True,-0.4713350025726437,-1.0431299459215324,Transport,True,80,0.8508103045991425,0.31028247627581884,20492779.39937485,-0.8194238820921462,0.7303959218784902,0.8920727152877006,True,-2.7226021221207617,0.2587461740127643,0.26399152815200566,transport
True,True,True,False,False,True,-0.5493167399807737,-1.7565073780416383,Direction+Transport,True,150,0.8780470476881139,0.31028247627581884,7420589132323.765,-0.8974056195002762,0.7331533799738513,0.9182760434490016,True,-3.4359795542408675,0.25037772287729854,0.27244261224334,direction_transport
