differential_output_norm,differential_parameter_gradient_norm,disco3d_output_norm,disco3d_parameter_gradient_norm,disco_parameter_update_norm,layer,spectral_output_norm,spectral_parameter_gradient_norm
20427.791015625,447.44024658203125,45951.00390625,965.299560546875,3.0608484745025635,0,14059.1748046875,175.52279663085938
24439.419921875,475.08416748046875,44504.3671875,957.7398071289062,2.8722281455993652,1,14448.9873046875,175.806884765625
34797.765625,420.3520812988281,60307.1953125,568.4156494140625,3.434441566467285,2,19248.529296875,126.87438201904297
37869.66015625,439.51776123046875,83210.9140625,629.505615234375,3.914369821548462,3,22209.953125,151.05738830566406
