source_snapshot,stage_ad_absolute_residual_error,stage_ad_radial_absolute_error,stage_ad_radial_skill,stage_ad_residual_cosine,stage_ad_residual_l2,stage_ad_shell_absolute_error,stage_ad_shell_skill,stage_ad_state_l2,stage_ag_absolute_residual_error,stage_ag_radial_absolute_error,stage_ag_radial_skill,stage_ag_residual_cosine,stage_ag_residual_l2,stage_ag_shell_absolute_error,stage_ag_shell_skill,stage_ag_state_l2,target_snapshot
169,1.0590875615164828,0.29846153828141775,-0.21562540641737504,0.8784577728993905,0.7810929422238126,2.3604674945990842,-10.962110794835137,0.2489845352833186,1.017153934190054,0.1484705334669875,0.06493731351243981,0.872542851973122,0.7964810332653647,0.5686940716736575,-1.1695748024763581,0.25371826609062276,170
170,0.8870586624934219,0.15840735964107544,-1.564433099412914,0.9151468549656946,0.7354285855195136,0.36022672353780566,-5.130906593983063,0.22573125297687807,0.8710977978258821,0.10867815358858474,-0.7593744058175691,0.9120157031440039,0.7460858653009086,0.19061826414714822,-0.48285632192596184,0.22770570740492627,171
171,0.9907828487500042,0.15604886825729947,-1.0279045146750487,0.8717369221721621,0.785120896155046,0.9000320974438168,-17.470266404709097,0.24533593511100393,0.9667401197335108,0.1261683458044676,-0.10705950009896714,0.8662213724634903,0.8021148812861755,0.6149202301628414,-9.95123573413552,0.24742873179283453,172
172,0.8790633222541367,0.11305158057141673,-0.6949116094906387,0.8789548861270716,0.7712365495439337,0.30358511091878115,-4.889288520773461,0.22473929346510513,0.8528308335088677,0.06082738135915692,-0.5254155675935082,0.873308260841676,0.790694391512379,0.18730593919103014,-0.9963609038221877,0.22770142162452064,173
173,0.8729259853292537,0.1614556515754434,-0.6973076297188177,0.8425112366466972,0.8057368371779932,0.5253047667803832,-20.976220811090762,0.227531168112249,0.8414122808132614,0.1353223513168206,-0.575280447551197,0.8355787272412619,0.8251352721111131,0.4758184182545867,-14.379371635485331,0.2292157356921061,174
174,0.8246614796249843,0.16773188072099252,0.17316884561726187,0.8312160871389543,0.8065906222567155,0.23022455126337613,0.3313357736067536,0.21660778893878102,0.7820494692967723,0.15463101079666006,0.2548719375014372,0.8316485363219072,0.8215502059559056,0.2090595889591786,0.255395128650831,0.21602707542793934,175
175,0.7964477228151551,0.13274568185412844,-0.544169093935869,0.8353858966224186,0.802576078711656,0.2350554046213922,-2.305690674350958,0.20842961051843317,0.7736395728924731,0.09611568363978865,-0.35798643011847875,0.8338787139606909,0.8219715536606149,0.16941029433070012,-0.45849905273476543,0.20875470921414424,176
176,0.8176601853239265,0.1368034315201388,-0.41290841494030217,0.7605504280583643,0.8728758214233301,0.417929621599157,-13.011209853169094,0.20909160689155082,0.7795775630620089,0.0918073609987372,0.13939575748074273,0.7608343216636954,0.8814949358548947,0.38643388043553284,-2.114068084338359,0.20525347000097538,177
177,0.6962127674064975,0.1279891742287991,-0.3402378819375005,0.7751337956791552,0.8691127632325352,0.23904917033264977,0.11210551761115362,0.18680666760243836,0.6612826480656175,0.06738585420617242,-0.21597776828410997,0.7761893617997652,0.8693583185055933,0.1604617479053042,0.15542012964019591,0.18302133513854196,178
178,0.6456593634064534,0.10456954678082044,0.05292130868621803,0.6556217313509288,1.0039105881425696,0.12623965565802195,-0.5813656817703536,0.16893898719830852,0.6035773244005815,0.07548564954281095,-0.22304457106160314,0.6649009752261376,0.9996762635854519,0.07095562394654786,-1.0995458921136927,0.16443345954866312,179
179,0.5113492043552643,0.06250842909222729,0.005019442453721323,0.6926072603640756,0.9053016030637137,0.023710023640415242,0.16635086840720226,0.1331316915666095,0.5039200066305387,0.04187472215836032,0.03522518244463224,0.6885285678631685,0.9206505229173375,0.01488376554799713,0.26435705738710336,0.13491630530535165,180
180,0.5553133203475953,0.09734174659294585,-0.08737432937844769,0.7919428342348375,0.8445110029859331,0.0627870829035444,-0.07930246107864858,0.15495705175119284,0.5406861071885687,0.09353647652452841,0.0007981634230115331,0.8128799280460589,0.8446726373324236,0.027313934118203577,-0.12097845447654643,0.15373897109226972,181
181,0.6143958024440326,0.1479934562824452,0.03110058046150288,0.7863164499858555,0.8542051381354703,0.07613256120777868,0.00974731727761824,0.1749147183124066,0.6032313703519183,0.14662629329260923,0.22569244496049867,0.8049470700646615,0.859057785488663,0.005012744848023541,0.1471865194831664,0.1745126844280309,182
182,0.6684689134190788,0.03562116327237911,-0.05309030454084529,0.7651758497550549,0.8508819874997249,0.05513832040468504,-0.07015531182027113,0.18831699733153517,0.6706344221618185,0.026836056465462697,-0.0034506758965233697,0.762065987323927,0.8691179340638774,0.002627079418191648,0.2657038524395101,0.19195906443964678,183
183,0.7494408082142645,0.11588920795751219,0.009277624754359115,0.7392585343782355,0.864747182099718,0.047940963968954135,-0.04310679390923933,0.20259633639431376,0.732152054034632,0.12165286996965038,0.027086136794521876,0.7576490543141171,0.8683549825383048,0.0018381379456839763,0.820466043693237,0.20025960478698784,184
184,0.9686163507951677,0.09516434572317445,-0.20923066502085352,0.628296922060774,0.9595614424262491,0.019190948085285632,-0.246827276537257,0.22112813786801602,0.9521050097081025,0.09464569215125465,-0.19849770980633674,0.6346653217187057,0.979040259667788,0.022181189819118364,-0.7126111828485429,0.2198526143236162,185
185,1.2297327035941126,0.11736713268066228,-0.3292686927940185,0.6379061534429497,0.9753260494860521,0.8687642346724643,-5.88739540870791,0.23947458605691013,1.1816812887307946,0.08501369885605704,0.1190700617509809,0.6657440879295757,0.9698568148883069,0.32285785156558244,-0.8154871733383477,0.2370850910538233,186
186,1.459727648180891,0.5639293592171497,-0.20994426623280638,0.6391310626118354,0.943954291803653,83.26996847703982,-4.433685443739104,0.25696685704703226,1.4444651513819817,0.198258631534863,-0.16754863830889888,0.6274537244760622,0.9750722612265033,0.4922210515390142,-4.55386116906859,0.26330173674634805,187
187,1.591780343726949,0.2872927866582098,-0.08164484956652274,0.6322203542597591,0.9747032528717537,1.7486172643415645,-1.5033054949670506,0.27242927597054367,1.5468964588302587,0.24794266476885937,-0.11455556368427455,0.6144258889211837,1.0053975082932678,0.5022712883212591,-1.302375969274817,0.27996019760766133,188
188,1.6019923773610008,0.43315455994089935,-0.2223548666188382,0.6726780598525107,0.9763775322543438,7.119205927428469,-102.78994828795071,0.28034731716028755,1.5779151668567593,0.30182081944955874,-0.012098722922142091,0.6509593954935408,1.0098621320828145,1.4295831525313725,-29.797915604932175,0.2925172216452593,189
189,1.6399786118091697,0.2607777918641153,-0.3677986801287958,0.6043282060858485,1.0093142634777592,2.2632752224030686,-3.4977761736467334,0.28608492850285794,1.5798881456899831,0.18805297897433215,-0.39234134355827566,0.5987956602345768,1.0212757299759996,0.5332437980006495,-2.373170661172477,0.2903217854550571,190
190,1.522812224180862,0.1799116261778592,-1.0270521125051943,0.7145406714960183,0.9318826579865211,1.2193631421903466,-33.53574959809737,0.28280117468449334,1.475120569934142,0.23804183023456504,-1.0763925963921852,0.7136336233016811,0.9499697359743602,3.652301671403835,-5.454284397417284,0.28768482550556157,191
191,1.4154280422975254,0.23556303151654656,-0.2689554126148188,0.7886861416651442,0.8705521000686332,1.4458327232356547,-16.056024263512384,0.28402240645882515,1.403757319566331,0.1945236023923017,-0.6950088083444546,0.7783591542115844,0.8967778082942612,16.400342728315508,-85.29740977414372,0.2901394300144744,192
192,1.3924303369710027,0.3193814505691606,-0.4360124895538591,0.8296268460944605,0.8180281968252476,21.40923682444375,-4.626982362947238,0.27424617245411365,1.3573242944875004,0.13638430727082032,-0.7573629483586459,0.8266147788419297,0.8353902203310131,2.4378793704752564,-3.979206834329789,0.276513102944243,193
193,1.141304662734486,0.13247485386428093,-1.1860227204275073,0.8462052830569904,0.8016935379222216,0.8570592421898523,-3.0679599403166593,0.25924089812826656,1.113476862032218,0.049384137293503716,-0.2960061466287569,0.8397928525132476,0.8155742994960249,0.49027369369469914,-0.8005798110157583,0.26270086149675476,194
194,1.1982874098103355,0.1291471579964921,-2.8499628627827014,0.825111343273694,0.8278835211055482,0.8160913964041093,-71.40518787401237,0.27496876272063675,1.1520042882627342,0.1004417167144045,-0.5208919784496691,0.8203929789838663,0.833633238833849,0.46632956419483623,-19.603252184738615,0.27407623531360537,195
195,1.4231566847573676,0.12449865356753745,-0.7051035294959302,0.7986004598815292,0.8658220676253916,0.5994497802746862,-5.658900868318149,0.2880519409759158,1.3716410279456468,0.1303538175449778,-0.5716514979761631,0.7906048437334378,0.881950245567418,0.7225060242059675,-1.487934973639463,0.2908002344804769,196
196,1.7278030572840009,0.13771290122183402,-0.617888393794306,0.742085378023463,0.917980088160427,2.377335380697533,-10.89235590115026,0.3028030871169264,1.670020523612829,0.16496560019248374,-0.2683527151630143,0.7281771986766775,0.9395838809093209,34.813895488235744,-13.780938629663119,0.3075029942338456,197
197,2.0368192698607035,0.3227420557052181,-1.197229990884709,0.6839095946718347,0.9759229481777294,9.430058346651128,-10.173006811842464,0.32217523639787937,1.9405338227531654,1.699408871449874,-2.029817751439315,0.6626433151337375,0.9944615160779962,199.03793196497338,-54.106260079046606,0.3299860764078821,198
198,2.171470904573572,1.1797585665830077,-2.317705325260257,0.6650548329491432,0.9836581546474763,416.9385852184929,-2036.1309686531288,0.32661637017625234,2.071994796420051,0.43615124042849956,-1.3307480676490506,0.6525864456477201,1.028214760066195,38.46554639866565,-814.1017642644492,0.34229257342374375,199
199,2.170129918996434,0.5715671289511295,-3.026523975176823,0.703333063003718,0.9539743319343202,12.339596104749962,-377.9246606392094,0.3357175362640191,2.1376853264505384,0.8161678364916627,-8.452263313236003,0.6922651556696071,1.0059511352597639,267.6767496190811,-8218.825077692216,0.3570502515828645,200
200,2.1852134753007006,0.5357728555578004,-1.4933000044066773,0.6393889195124378,0.9912652134160893,5.489004081768451,-21.477232336044292,0.3405275798866062,2.2132024244433777,0.8072790391372474,-1.5712508570629504,0.6020181862527229,1.0419382734477258,116.29379728851819,-140.78631106390455,0.3625887417021401,201
