channel,model,model_center_region_variance,model_center_region_variance_undefined,model_clamp_fraction,model_dynamic_span_q99_q01,model_dynamic_span_q99_q01_undefined,model_gradient_energy,model_gradient_energy_undefined,model_only_saturation,model_outer_shell_region_variance,model_outer_shell_region_variance_undefined,model_polar_region_variance,model_polar_region_variance_undefined,model_retention_center_region_variance,model_retention_dynamic_span_q99_q01,model_retention_gradient_energy,model_retention_outer_shell_region_variance,model_retention_polar_region_variance,model_retention_std,model_retention_total_variation,model_retention_variance,model_std,model_std_undefined,model_total_variation,model_total_variation_undefined,model_variance,model_variance_undefined,model_vs_oracle_cosine_similarity,model_vs_oracle_pearson_correlation,model_vs_oracle_relative_l2,model_vs_oracle_sign_agreement,model_vs_raw_cosine_similarity,model_vs_raw_pearson_correlation,model_vs_raw_relative_l2,model_vs_raw_sign_agreement,oracle_center_region_variance,oracle_dynamic_span_q99_q01,oracle_gradient_energy,oracle_outer_shell_region_variance,oracle_polar_region_variance,oracle_std,oracle_total_variation,oracle_variance,oracle_vs_raw_cosine,oracle_vs_raw_pearson,oracle_vs_raw_sign_agreement,preprocessing_center_region_variance_undefined,preprocessing_dynamic_span_q99_q01_undefined,preprocessing_gradient_energy_undefined,preprocessing_outer_shell_region_variance_undefined,preprocessing_polar_region_variance_undefined,preprocessing_retention_center_region_variance,preprocessing_retention_dynamic_span_q99_q01,preprocessing_retention_gradient_energy,preprocessing_retention_outer_shell_region_variance,preprocessing_retention_polar_region_variance,preprocessing_retention_std,preprocessing_retention_total_variation,preprocessing_retention_variance,preprocessing_std_undefined,preprocessing_total_variation_undefined,preprocessing_variance_undefined,raw_center_region_variance,raw_dynamic_span_q99_q01,raw_gradient_energy,raw_outer_shell_region_variance,raw_polar_region_variance,raw_std,raw_total_variation,raw_variance,step,target_clamp_fraction,target_only_saturation,target_snapshot,total_center_region_variance_undefined,total_dynamic_span_q99_q01_undefined,total_gradient_energy_undefined,total_outer_shell_region_variance_undefined,total_polar_region_variance_undefined,total_retention_center_region_variance,total_retention_dynamic_span_q99_q01,total_retention_gradient_energy,total_retention_outer_shell_region_variance,total_retention_polar_region_variance,total_retention_std,total_retention_total_variation,total_retention_variance,total_std_undefined,total_total_variation_undefined,total_variance_undefined
Bcc1,persistence,0.17862674855044855,False,0.0,1.3487608885765074,False,0.0017462129329681932,False,0.0,3.753092403478707e-05,False,0.08655857414820359,False,0.5476047356624458,0.7627450051173256,0.5471161936820094,0.9978600877167915,0.5903061621237247,0.7524225511201205,0.7819411095914557,0.5661396954341104,0.227839890546372,False,0.006931017809806672,False,0.051911015724182774,False,0.9945100777777142,0.9945099575771927,0.2637344890311967,0.994873046875,0.9945100775046248,0.9945099573040862,0.26373448823995693,0.994873046875,0.32619650071937567,1.768298552632332,0.0031916674248233154,3.7611409151218544e-05,0.14663335689533497,0.3028084288637948,0.008863861644808459,0.09169294459095986,0.9999999999999258,0.9999999999999243,1.0,False,False,False,False,False,1.0000000067761012,0.9999999801126684,1.0000000089630305,1.0000000226168413,1.0000000169667889,1.0000000022740765,1.0000000087314371,1.0000000045481534,False,False,False,0.32619649850903515,1.7682985877990725,0.0031916673962163033,3.7611408300567296e-05,0.1466333544074378,0.3028084281751852,0.008863861567414208,0.09169294417392629,1,0.0,0.0,92,False,False,False,False,False,0.5476047393730711,0.7627449899483627,0.5471161985858285,0.9978601102852346,0.5903061721393247,0.752422552831187,0.7819411164189254,0.5661396980090005,False,False,False
Bcc1,fno_plain,0.03930160767830123,False,0.0,0.7243348392844207,False,0.0027616254142870562,False,0.0,0.0003071346451015955,False,0.027736722940847593,False,0.12048445520300691,0.40962248043813543,0.8652610208721652,8.16599675557875,0.189156979885864,0.4134258263842753,1.1296917179041284,0.17092091392152092,0.12518882493913838,False,0.010013431088788181,False,0.01567224188964224,False,0.5934529352699182,0.6053706847347609,0.8228418882531652,0.9215927124023438,0.5934529354389345,0.6053706848903021,0.8228418879667581,0.9215927124023438,0.32619650071937567,1.768298552632332,0.0031916674248233154,3.7611409151218544e-05,0.14663335689533497,0.3028084288637948,0.008863861644808459,0.09169294459095986,0.9999999999999258,0.9999999999999243,1.0,False,False,False,False,False,1.0000000067761012,0.9999999801126684,1.0000000089630305,1.0000000226168413,1.0000000169667889,1.0000000022740765,1.0000000087314371,1.0000000045481534,False,False,False,0.32619649850903515,1.7682985877990725,0.0031916673962163033,3.7611408300567296e-05,0.1466333544074378,0.3028084281751852,0.008863861567414208,0.09169294417392629,1,0.0,0.0,92,False,False,False,False,False,0.12048445601942179,0.40962247229183735,0.8652610286275261,8.165996940267801,0.18915698309525053,0.4134258273244372,1.1296917277679608,0.17092091469889545,False,False,False
Bcc1,fno_full,0.017547164112732286,False,0.0,0.5197978019714355,False,0.0009303856450948554,False,0.0,3.673738657379984e-05,False,0.006838115478312426,False,0.053793232220562585,0.2939536432904115,0.29150457151605,0.9767617699750452,0.046634105793495445,0.22886257852372388,0.5225974375384479,0.05237807984852768,0.06930151782848569,False,0.004632231382272233,False,0.00480270037333192,False,0.724490891079771,0.7245489282368565,0.8489508967353682,0.8336639404296875,0.724490888140774,0.7245489252958668,0.8489508972239962,0.8336639404296875,0.32619650071937567,1.768298552632332,0.0031916674248233154,3.7611409151218544e-05,0.14663335689533497,0.3028084288637948,0.008863861644808459,0.09169294459095986,0.9999999999999258,0.9999999999999243,1.0,False,False,False,False,False,1.0000000067761012,0.9999999801126684,1.0000000089630305,1.0000000226168413,1.0000000169667889,1.0000000022740765,1.0000000087314371,1.0000000045481534,False,False,False,0.32619649850903515,1.7682985877990725,0.0031916673962163033,3.7611408300567296e-05,0.1466333544074378,0.3028084281751852,0.008863861567414208,0.09169294417392629,1,0.0,0.0,92,False,False,False,False,False,0.053793232585070974,0.29395363744445796,0.2915045741288144,0.976761792066311,0.04663410658472648,0.22886257904417492,0.5225974421014746,0.052378080086751225,False,False,False
Bcc1,localno_plain,0.1240102676338257,False,0.0,0.5605139695107938,False,0.03273620948838166,False,0.0,0.0001615939860479118,False,0.0911359169348727,False,0.38017044131479133,0.316979261605117,10.256773382393959,4.2964087146592975,0.6215224070736126,0.6093000397291347,1.6577498748900101,0.37124653841392513,0.184501187737027,False,0.014694065532723581,False,0.03404068827637369,False,0.40402622657460907,0.40479918272198556,0.9376693310874572,0.9334983825683594,0.40402622309864894,0.4047991792458527,0.9376693336538982,0.9334983825683594,0.32619650071937567,1.768298552632332,0.0031916674248233154,3.7611409151218544e-05,0.14663335689533497,0.3028084288637948,0.008863861644808459,0.09169294459095986,0.9999999999999258,0.9999999999999243,1.0,False,False,False,False,False,1.0000000067761012,0.9999999801126684,1.0000000089630305,1.0000000226168413,1.0000000169667889,1.0000000022740765,1.0000000087314371,1.0000000045481534,False,False,False,0.32619649850903515,1.7682985877990725,0.0031916673962163033,3.7611408300567296e-05,0.1466333544074378,0.3028084281751852,0.008863861567414208,0.09169294417392629,1,0.0,0.0,92,False,False,False,False,False,0.38017044389086474,0.3169792553012453,10.256773474325731,4.296408811830491,0.6215224176188521,0.6093000411147296,1.657749889364549,0.3712465401024113,False,False,False
Bcc2,persistence,0.0013578291839152887,False,0.108642578125,0.11968115497380497,False,3.73393155914227e-05,False,0.007568359375,1.00247888715929e-09,False,0.00017335219760385333,False,1.1327569740971528,1.1535544559490967,0.7843619281369377,1.0076607768440229,0.6746017751936274,0.9616265236794473,1.03942834036952,0.924725571043819,0.02702985448671925,False,0.000979207128337155,False,0.0007306130335732169,False,0.9629731458251418,0.9532457936522846,0.26983190749721486,0.9890861511230469,0.9085354462329972,0.8901363377338758,0.6301655846794234,0.9890861511230469,0.0011986941726821203,0.10374989612028006,4.7604701671476104e-05,9.948575058156352e-10,0.00025696967304021244,0.028108474362058565,0.0009420631421200656,0.0007900863309625036,0.9100597834481591,0.8925314302452022,1.0,False,False,False,False,False,0.1404883303349185,0.3525044605880378,0.32586099964957077,1.0000000348191018,0.8398088297357271,0.44213837125324446,0.41072666098749455,0.1954863393344718,False,False,False,0.008532339802348578,0.2943222220428288,0.0001460889818746949,9.948574711755917e-10,0.0003059859148195384,0.06357393112564487,0.002293649844534316,0.004041644718768238,1,0.13833999633789062,0.037265777587890625,92,False,False,False,False,False,0.15913913596614354,0.40663309125326375,0.25559296198976733,1.007660811929866,0.5665365273630043,0.4251719849335504,0.4269209315757459,0.18077121677233518,False,False,False
Bcc2,fno_plain,0.001079495664156951,False,0.09225082397460938,0.08075627292040735,False,0.0001996558563846858,False,0.027263641357421875,4.399350492049916e-09,False,0.00023839601453258159,False,0.9005596996784773,0.7783744942431983,4.194036500061003,4.422091069658366,0.927720425963556,0.8073374890964764,1.9125166983367676,0.6517938213006031,0.022693025113797043,False,0.001801711490192229,False,0.0005149733888154233,False,0.7800679935083591,0.7289222658386725,0.6257005644572926,0.859283447265625,0.7234999185058624,0.6688344867079429,0.7805314515647079,0.859283447265625,0.0011986941726821203,0.10374989612028006,4.7604701671476104e-05,9.948575058156352e-10,0.00025696967304021244,0.028108474362058565,0.0009420631421200656,0.0007900863309625036,0.9100597834481591,0.8925314302452022,1.0,False,False,False,False,False,0.1404883303349185,0.3525044605880378,0.32586099964957077,1.0000000348191018,0.8398088297357271,0.44213837125324446,0.41072666098749455,0.1954863393344718,False,False,False,0.008532339802348578,0.2943222220428288,0.0001460889818746949,9.948574711755917e-10,0.0003059859148195384,0.06357393112564487,0.002293649844534316,0.004041644718768238,1,0.13833999633789062,0.07335281372070312,92,False,False,False,False,False,0.1265181285747449,0.27438048122868536,1.3666729264766655,4.422091223631605,0.7791078052503841,0.3569548824808001,0.7855215975906878,0.12741678812688179,False,False,False
Bcc2,fno_full,0.00012628860635072845,False,0.007080078125,0.02781891467049718,False,1.7908826127558505e-05,False,0.00244140625,7.56226432779116e-09,False,5.945396334123784e-05,False,0.10535515165486561,0.26813438577563453,0.37619868413730984,7.601354247803787,0.23136568077406572,0.20288731438027954,0.32919481749768864,0.04116326233644239,0.005702852874645004,False,0.00031012230414151413,False,3.252253090984678e-05,False,0.46985243817978495,0.46471293908923417,0.9288688823369031,0.814910888671875,0.3567211112606688,0.3334294050080094,0.973493215284223,0.814910888671875,0.0011986941726821203,0.10374989612028006,4.7604701671476104e-05,9.948575058156352e-10,0.00025696967304021244,0.028108474362058565,0.0009420631421200656,0.0007900863309625036,0.9100597834481591,0.8925314302452022,1.0,False,False,False,False,False,0.1404883303349185,0.3525044605880378,0.32586099964957077,1.0000000348191018,0.8398088297357271,0.44213837125324446,0.41072666098749455,0.1954863393344718,False,False,False,0.008532339802348578,0.2943222220428288,0.0001460889818746949,9.948574711755917e-10,0.0003059859148195384,0.06357393112564487,0.002293649844534316,0.004041644718768238,1,0.13833999633789062,0.13370132446289062,92,False,False,False,False,False,0.014801169348174196,0.09451856702294488,0.12258847927983692,7.601354512476114,0.19430294161187797,0.08970426672804176,0.1352090882052133,0.008046855469215658,False,False,False
Bcc2,localno_plain,0.0010843583465897323,False,0.10645294189453125,0.08472747952677309,False,0.0003547338169696708,False,0.05982208251953125,3.1201521611671714e-08,False,0.00034905081118555287,False,0.9046163494425291,0.8166512227496231,7.451655078477701,31.362804652201028,1.3583346511513479,0.8489504777008093,2.8224348032011264,0.7207169135884324,0.02386270273711057,False,0.0026589117991326823,False,0.0005694285819197042,False,0.6399918577706892,0.5605445469251792,0.788220246432355,0.8226852416992188,0.5543114087498864,0.470813201635894,0.8515383781616589,0.8226852416992188,0.0011986941726821203,0.10374989612028006,4.7604701671476104e-05,9.948575058156352e-10,0.00025696967304021244,0.028108474362058565,0.0009420631421200656,0.0007900863309625036,0.9100597834481591,0.8925314302452022,1.0,False,False,False,False,False,0.1404883303349185,0.3525044605880378,0.32586099964957077,1.0000000348191018,0.8398088297357271,0.44213837125324446,0.41072666098749455,0.1954863393344718,False,False,False,0.008532339802348578,0.2943222220428288,0.0001460889818746949,9.948574711755917e-10,0.0003059859148195384,0.06357393112564487,0.002293649844534316,0.004041644718768238,1,0.13833999633789062,0.09170913696289062,92,False,False,False,False,False,0.1270880405268501,0.2878731987639174,2.4282037729165444,31.362805744225714,1.1407414337729005,0.3753535814852997,1.159249222573695,0.14089031113384146,False,False,False
Bcc3,persistence,2.8704769205897848e-05,False,0.40625,0.010797557421028614,False,3.0092367690261324e-06,False,0.010711669921875,5.465728247521463e-08,False,1.5886164142551995e-05,False,0.9966243336190099,1.0,0.9302159104390274,0.8944407788424854,0.9729850375245285,0.98439602203075,0.9754300453420958,0.9690355281899649,0.003615527313072465,False,0.00020281415560114793,False,1.3072037751572997e-05,False,0.9138253723629653,0.9138220401851422,0.41219287976137664,0.9539833068847656,0.49952823463308665,0.4995227106584172,0.9950123990014154,0.9539833068847656,2.880199513257231e-05,0.010797557421028614,3.2349874209374512e-06,6.110777121090986e-08,1.6327244027276743e-05,0.0036728381994208473,0.0002079228096054991,1.3489740439124973e-05,0.497195871780584,0.49719049976056845,1.0,False,False,False,False,False,5.5941528774844134e-05,0.004096027893214404,0.00035746612234876824,0.999999973030016,6.255190252352567e-05,0.010220373508712757,0.016105167000995145,0.00010445603465759754,False,False,False,0.5148589207938135,2.6361044657230375,0.009049773443373125,6.110777285898552e-08,0.26101914360056583,0.3593643809876217,0.012910316893494584,0.1291427583226165,1,0.421173095703125,0.025634765625,92,False,False,False,False,False,5.57526888368577e-05,0.004096027893214404,0.0003325206744517682,0.894440754719432,6.086206522408327e-05,0.010060895025645299,0.015709463778022716,0.0001012216087170543,False,False,False
Bcc3,fno_plain,2.0483462795471694e-05,False,0.270751953125,0.010797557421028614,False,1.4984752707766799e-06,False,0.01220703125,5.1177222155797516e-08,False,1.5156715519147287e-05,False,0.7111820796159656,1.0,0.4632089945940019,0.8374912247930358,0.928308261567357,0.860129414491732,0.9888677158443059,0.7398226096738898,0.0031591161699907207,False,0.0002056081538065204,False,9.980014975496842e-06,False,0.9138717283466263,0.9152261521430417,0.40933511880354806,0.8501510620117188,0.5309717272300154,0.531816197507661,0.9953514194787536,0.8501510620117188,2.880199513257231e-05,0.010797557421028614,3.2349874209374512e-06,6.110777121090986e-08,1.6327244027276743e-05,0.0036728381994208473,0.0002079228096054991,1.3489740439124973e-05,0.497195871780584,0.49719049976056845,1.0,False,False,False,False,False,5.5941528774844134e-05,0.004096027893214404,0.00035746612234876824,0.999999973030016,6.255190252352567e-05,0.010220373508712757,0.016105167000995145,0.00010445603465759754,False,False,False,0.5148589207938135,2.6361044657230375,0.009049773443373125,6.110777285898552e-08,0.26101914360056583,0.3593643809876217,0.012910316893494584,0.1291427583226165,1,0.421173095703125,0.162628173828125,92,False,False,False,False,False,3.978461277099003e-05,0.004096027893214404,0.0001655815231345894,0.8374912022059109,5.8067447889344893e-05,0.008790843881935913,0.015925879705565155,7.727893615657008e-05,False,False,False
