channel,decision,localno_frozen_no_gt_detector_trigger_steps,model_core_evidence,model_global_variance_severe_steps,model_high_k_severe_steps,model_severe_core_count,model_shell_radial_severe_steps,oracle_same_snapshot_detector_trigger_steps,preprocessing_core_evidence,preprocessing_global_variance_severe_steps,preprocessing_high_k_severe_steps,preprocessing_severe_core_count,preprocessing_shell_radial_severe_steps,reason,shell_radial_step_values
Bcc3,C. MIXED_PREPROCESSING_AND_MODEL,"[25,50,75,100]","{""global_variance"":true,""high_k_spectral_energy"":false,""shell_radial_variance"":true}","[3,5,10,19]",[],2,"[3,5,10,19]","[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19]","{""global_variance"":true,""high_k_spectral_energy"":true,""shell_radial_variance"":true}","[1,3,5,10,19]","[1,3,5,10,19]",3,"[1,3,5,10,19]",both preprocessing and LocalNO add material structural degradation,"{""1"":{""model_radial"":38.514743779657195,""model_shell_median"":0.6075939806909454,""preprocessing_radial"":0.00028984151135110614,""preprocessing_shell_median"":0.23092123772600343},""10"":{""model_radial"":100.56903944588316,""model_shell_median"":0.21223129945132702,""preprocessing_radial"":7.680412333048726e-07,""preprocessing_shell_median"":0.03681051050083226},""19"":{""model_radial"":58.721080555378684,""model_shell_median"":0.1164988611114716,""preprocessing_radial"":1.490545547556597e-06,""preprocessing_shell_median"":0.037596852411132864},""3"":{""model_radial"":197.96692544330293,""model_shell_median"":0.37152712467426735,""preprocessing_radial"":8.0739924845361e-06,""preprocessing_shell_median"":0.21380766676434687},""5"":{""model_radial"":132.06388166508773,""model_shell_median"":0.2615712432087388,""preprocessing_radial"":1.5067390260790648e-06,""preprocessing_shell_median"":0.17853620962820924}}"
vel3,C. MIXED_PREPROCESSING_AND_MODEL,"[75,100]","{""global_variance"":true,""high_k_spectral_energy"":false,""shell_radial_variance"":true}","[3,5,10,19]",[],2,"[3,5,10,19]",[],"{""global_variance"":true,""high_k_spectral_energy"":true,""shell_radial_variance"":true}","[1,3,5,10,19]","[1,3,5,10,19]",3,"[1,3,5,10,19]",both preprocessing and LocalNO add material structural degradation,"{""1"":{""model_radial"":0.555147662109768,""model_shell_median"":0.9320826553156919,""preprocessing_radial"":0.015343701061359056,""preprocessing_shell_median"":0.6087943938657131},""10"":{""model_radial"":0.021571690734020276,""model_shell_median"":0.31465863559495355,""preprocessing_radial"":0.019574968185725686,""preprocessing_shell_median"":0.3705385182282171},""19"":{""model_radial"":0.03295985358798206,""model_shell_median"":0.2720012760624603,""preprocessing_radial"":0.02085980849480749,""preprocessing_shell_median"":0.12212665801445541},""3"":{""model_radial"":0.09432744727764941,""model_shell_median"":0.8101814486455214,""preprocessing_radial"":0.027277156107651093,""preprocessing_shell_median"":0.5771846045891126},""5"":{""model_radial"":0.04918403529456752,""model_shell_median"":0.471216101902012,""preprocessing_radial"":0.018420148398105785,""preprocessing_shell_median"":0.5568484593468548}}"
