channel,detector_flag,detector_std_ratio_oracle_over_same_raw,inverse_clamp_occupancy,oracle_combined_demeaned_high_k_energy,oracle_combined_demeaned_low_k_energy,oracle_combined_demeaned_mid_k_energy,oracle_combined_demeaned_total_nonzero_mode_energy,oracle_dynamic_span_q99_q01,oracle_gradient_energy,oracle_near_zero_occupancy,oracle_std,oracle_total_variation,oracle_variance,preprocessing_combined_demeaned_high_k_energy_undefined,preprocessing_combined_demeaned_low_k_energy_undefined,preprocessing_combined_demeaned_mid_k_energy_undefined,preprocessing_combined_demeaned_total_nonzero_mode_energy_undefined,preprocessing_dynamic_span_q99_q01_undefined,preprocessing_gradient_energy_undefined,preprocessing_retention_combined_demeaned_high_k_energy,preprocessing_retention_combined_demeaned_low_k_energy,preprocessing_retention_combined_demeaned_mid_k_energy,preprocessing_retention_combined_demeaned_total_nonzero_mode_energy,preprocessing_retention_dynamic_span_q99_q01,preprocessing_retention_gradient_energy,preprocessing_retention_std,preprocessing_retention_total_variation,preprocessing_retention_variance,preprocessing_std_undefined,preprocessing_total_variation_undefined,preprocessing_variance_undefined,radial_profile_variance_retention,radial_profile_variance_undefined,raw_combined_demeaned_high_k_energy,raw_combined_demeaned_low_k_energy,raw_combined_demeaned_mid_k_energy,raw_combined_demeaned_total_nonzero_mode_energy,raw_dynamic_span_q99_q01,raw_gradient_energy,raw_near_zero_occupancy,raw_oracle_sign_agreement,raw_oracle_sign_change_fraction,raw_std,raw_to_oracle_relative_l2,raw_total_variation,raw_variance,shell_variance_retention,shell_variance_retention_median,step,target_snapshot,transform_clamp_occupancy
Bcc1,False,1.0,0.0,1079.9671033464326,21365.838607958794,1590.9495555473613,24036.755266852582,1.768298552632332,0.0031916674248233154,0.0,0.3028084288637948,0.008863861644808459,0.09169294459095986,False,False,False,False,False,False,1.0000000166635852,1.000000002456518,1.000000024413818,1.0000000045481534,0.9999999801126684,1.0000000089630305,1.0000000022740765,1.0000000087314371,1.0000000045481534,False,False,False,0.9999999324114085,False,1079.9670853503092,21365.838555473223,1590.9495167062094,24036.755157529733,1.7682985877990725,0.0031916673962163033,0.0,1.0,0.0,0.3028084281751852,3.889750732951523e-07,0.008863861567414208,0.09169294417392629,"[1.0000000115687444,0.999999994365907,0.999999985522257,0.999999993293988,0.9999999918982649,1.0000000003324807,1.0000000461116656,0.9999999498894127]",0.9999999938299475,1,92,0.0
Bcc2,False,0.4421383631214501,0.13833999633789062,2.937426231333986,197.9694867632923,6.20947814920825,207.11639114383453,0.10374989612028006,4.7604701671476104e-05,0.004146575927734375,0.028108474362058565,0.0009420631421200656,0.0007900863309625036,False,False,False,False,False,False,0.37226277842900546,0.1908570178295286,0.4331320059949909,0.1954863393344718,0.3525044605880378,0.32586099964957077,0.44213837125324446,0.41072666098749455,0.1954863393344718,False,False,False,0.24117987158456738,False,7.890733109902325,1037.2659544545356,14.336225592342998,1059.492913156781,0.2943222220428288,0.0001460889818746949,0.009235382080078125,1.0,0.0,0.06357393112564487,0.6126144219831309,0.002293649844534316,0.004041644718768238,"[0.16100353933094438,0.10398093504927058,0.9719066349891217,0.9999999236934489,1.0000000103563589,0.9999999940613005,1.0000000286049235,1.0000000943063307]",0.9999999588773747,1,92,0.13833999633789062
Bcc3,True,0.010220373216652343,0.421173095703125,0.15154251342255529,3.1544627556627924,0.23024924858863038,3.5362545176739784,0.010797557421028614,3.2349874209374512e-06,0.0,0.0036728381994208473,0.0002079228096054991,1.3489740439124973e-05,False,False,False,False,False,False,4.770327170115695e-05,0.00011901696699586436,5.5177091590586796e-05,0.00010445603465759758,0.004096027893214404,0.00035746612234876824,0.010220373508712757,0.016105167000995145,0.00010445603465759754,False,False,False,0.00028984151135110614,False,3176.7740035088605,26504.311404376527,4172.913829838593,33853.99923772398,2.6361044657230375,0.009049773443373125,0.00537109375,1.0,0.0,0.3593643809876217,0.994957900156263,0.012910316893494584,0.1291427583226165,"[2.9199050309425313e-05,0.00075256771135787,0.00776162873536802,0.07457361818037933,0.3872688572716275,0.9729279974113012,0.999999982681214,0.9999997758084684]",0.23092123772600343,1,92,0.421173095703125
rho,False,1.0,0.0,847.978091137235,68379.12299429673,9247.219642534066,78474.32072796804,2.4798940438349746,0.0929281322567441,0.0,0.5471341487265795,0.027266101532039743,0.2993557767027588,False,False,False,False,False,False,0.9999997468627853,1.000000050761857,1.0000001134433372,1.0000000548642123,1.000000604724937,1.0000000589259996,1.0000000274321055,1.0000000108215736,1.0000000548642116,False,False,False,1.0000000554084725,False,847.9783057921014,68379.11952324565,9247.21859349873,78474.31642253649,2.4798925441821122,0.09292812678086132,0.0,1.0,0.0,0.5471341337175383,6.368371543555833e-07,0.02726610123697762,0.29935576027884103,"[0.9999999907402607,0.999999983965384,1.0000000678176244,1.0000000315027164,1.0000001501141207,1.0000001805534435,0.9999998930144829,0.9999997997649147]",1.0000000111214886,1,92,0.0
press,False,1.0,0.0,3.901414038523647,53.1364331604085,10.826854674175003,67.86470187310715,0.07298213400935206,0.00011307631635553683,0.0,0.01608985061048727,0.000767677198675065,0.00025888329266779767,False,False,False,False,False,False,1.0000000242265454,0.9999999909214768,0.9999999859114195,0.9999999920368384,1.000000043897616,1.000000008608356,0.9999999960184193,0.9999999939528412,0.9999999920368386,False,False,False,0.999999987478626,False,3.9014139440058644,53.136433642808846,10.826854826710019,67.86470241352474,0.07298213080561052,0.00011307631538213565,0.0,1.0,0.0,0.01608985067455031,5.150649930758212e-07,0.000767677203317331,0.0002588832947293271,"[1.0000000023371582,1.000000017612003,0.999999981602208,0.9999999356796099,0.9999999607662847,1.0000000355001861,1.000000117313997,0.9999998209069012]",0.9999999919696831,1,92,0.0
vel1,False,1.0,0.0,607.5719225433423,16230.79341300768,936.6889765509123,17775.054312101933,1.136819311976433,0.003855777476519386,0.0,0.2603967186442854,0.017647434653525352,0.06780645108071111,False,False,False,False,False,False,1.0000000188041636,0.9999999996595054,0.9999999988248103,1.000000000269906,0.9999999681153608,1.0000000012996801,1.0000000001349534,0.9999999997194923,1.0000000002699063,False,False,False,1.000000001676427,False,607.5719111184608,16230.793418534176,936.6889776516996,17775.054307304337,1.1368193482235076,0.003855777471508109,0.0,1.0,0.0,0.260396718609144,5.796726664396334e-08,0.017647434658475594,0.06780645106240972,"[1.0000000022915299,0.9999999969415216,1.000000002335873,1.00000000105946,0.9999999986932073,0.9999999996304273,0.9999999922135404,1.0000000051265285]",1.0000000003449436,1,92,0.0
vel2,False,0.3825944020473352,0.07946395874023438,1.2292484133361663,35.11133598246601,3.077318138256657,39.417902534058825,0.07146307080984116,3.043231024371027e-05,0.0,0.01226243715634649,0.0007805772779745758,0.000150367365013347,False,False,False,False,False,False,0.2838306652802597,0.13808684353728568,0.2879577591914593,0.14637846464357412,0.30917114433721576,0.1321207385943076,0.3825943865813692,0.3768544333505363,0.14637846464357415,False,False,False,0.22645168131440818,False,4.330921791422303,254.2699585495658,10.686699837147257,269.2875801781354,0.23114405117929032,0.00023033711866504388,0.0,1.0,0.0,0.03205075031527821,0.7355719002300204,0.002071296524322725,0.001027250595772306,"[0.1177504757751894,0.2432831092464413,1.0000000022676143,0.9999999986081956,1.0000000009802081,0.9999999998993037,0.9999999920008605,1.0000000093428623]",0.9999999992537496,1,92,0.07946395874023438
vel3,False,0.15985707185619794,0.25096893310546875,8.157619771825042,462.7062253360264,14.727035588505318,485.5908806963568,0.1179761235229671,0.0001418994063973089,0.0,0.04303930999452509,0.0020181015696258695,0.0018523822048048277,False,False,False,False,False,False,0.008202447915380778,0.0277079533229687,0.011255835375621396,0.025554285017733665,0.10076430032596521,0.056168696958637174,0.15985707684595532,0.20633108331821734,0.025554285017733665,False,False,False,0.015343701061359056,False,994.5347847352158,16699.401068806583,1308.3911675185007,19002.3270210603,1.1708127098716796,0.0025263076069185673,0.0,1.0,0.0,0.26923618799810467,0.8595558262983196,0.009780889709736175,0.07248812492775077,"[0.004122553459012109,0.07011334334170809,0.17283792673457446,0.4313106257977672,0.7862781619336591,0.999999990721772,1.000000002779323,1.0000000028457603]",0.6087943938657131,1,92,0.25096893310546875
Bcc1,False,1.0,0.0,2677.186416678836,60909.21838846235,3788.1336858845843,67374.53849102576,2.9059276056289676,0.00991690180205716,0.0,0.5069649571266858,0.013709906225684146,0.2570134677544623,False,False,False,False,False,False,0.9999999351262006,0.999999998502943,0.9999999886058506,0.9999999954281481,0.9999999528237813,0.9999999848482066,0.9999999977140743,1.000000007263712,0.9999999954281485,False,False,False,0.9999999778362239,False,2677.186590358102,60909.21847964692,3788.133729047146,67374.53879905217,2.9059277427196504,0.00991690195231601,0.0,1.0,0.0,0.50696495828557,4.1251296061150265e-07,0.013709906126099335,0.25701346892948973,"[0.9999999921349345,1.000000002810331,0.9999999991151433,1.0000000091482424,1.000000001648795,1.0000000405054792,0.9999999936948886,1.000000024838383]",1.0000000022295632,2,93,0.0
Bcc2,False,0.15385174954230948,0.13673019409179688,3.0559529234623213,186.5323493224738,4.607040566005405,194.19534281194152,0.07658294922293862,3.331652831301362e-05,0.0035858154296875,0.027217575998274034,0.0007519869256361099,0.0007407964432218227,False,False,False,False,False,False,0.031174261529692403,0.02357003926328741,0.023974005825916706,0.02367036119405526,0.08383559578051304,0.03360548592419491,0.1538517507019509,0.15507091676249599,0.02367036119405525,False,False,False,0.037122805627921716,False,98.02807744304167,7913.960059159332,192.1681591077716,8204.156295710143,0.9134896520976327,0.0009914014749903303,0.02140045166015625,1.0,0.0,0.17690780816008553,0.8795329987171483,0.004849309859874243,0.03129637258800562,"[0.007315729197850639,0.03479003706548329,0.9999999859102414,1.000000022450608,1.000000007873022,1.000000000186724,1.0000000861519687,0.9999997789008106]",0.9999999930484826,2,93,0.13673019409179688
