channel,model,model_dynamic_span_q99_q01,model_dynamic_span_q99_q01_undefined,model_high_k_energy,model_high_k_energy_undefined,model_retention_dynamic_span_q99_q01,model_retention_high_k_energy,model_retention_std,model_retention_total_variation,model_retention_variance,model_std,model_std_undefined,model_total_variation,model_total_variation_undefined,model_variance,model_variance_undefined,oracle_dynamic_span_q99_q01,oracle_high_k_energy,oracle_std,oracle_total_variation,oracle_variance,preprocessing_dynamic_span_q99_q01_undefined,preprocessing_high_k_energy_undefined,preprocessing_retention_dynamic_span_q99_q01,preprocessing_retention_high_k_energy,preprocessing_retention_std,preprocessing_retention_total_variation,preprocessing_retention_variance,preprocessing_std_undefined,preprocessing_total_variation_undefined,preprocessing_variance_undefined,raw_dynamic_span_q99_q01,raw_high_k_energy,raw_std,raw_total_variation,raw_variance,shell,shell_group,step,total_dynamic_span_q99_q01_undefined,total_high_k_energy_undefined,total_retention_dynamic_span_q99_q01,total_retention_high_k_energy,total_retention_std,total_retention_total_variation,total_retention_variance,total_std_undefined,total_total_variation_undefined,total_variance_undefined,voxel_count
Bcc3,persistence,0.010797557421028614,False,0.0503971823393108,False,1.0,0.8945890661310301,1.0012583100546886,0.7933705877664966,1.002518203453571,0.005387735732788486,False,0.00023090431385136762,False,2.902769632636589e-05,False,0.010797557421028614,0.05633556707469209,0.005380964810663303,0.0002910421906380615,2.8954782293596758e-05,False,False,0.0020249628730702614,3.0632144701949364e-05,0.005403614559665162,0.0033187888068927146,2.9199050309425313e-05,False,False,False,5.332224884033202,1839.0996654931255,0.9958084077330523,0.08769530318820011,0.9916343849118371,1,inner,1,False,False,0.0020249628730702614,2.740318172250746e-05,0.00541041398219725,0.002633029426397343,2.92725794587555e-05,False,False,False,32768
Bcc3,persistence,0.010797557421028614,False,0.04968162389506616,False,1.0,1.0904438700378198,0.9952112432226189,1.1608489453947999,0.9904454186367107,0.005326758913306488,False,0.0003370717905763843,False,2.8374360520490112e-05,False,0.010797557421028614,0.04556091813633934,0.005352390208191151,0.00029036662514410745,2.8648080940740517e-05,False,False,0.011752267915398594,0.0007168642326483073,0.027432967600277403,0.019791476511430164,0.00075256771135787,False,False,False,0.9187637227773666,63.55585348152175,0.1951079550043659,0.014671296756278498,0.038067114105985664,2,inner,1,False,False,0.011752267915398594,0.0007817002081407122,0.0273015977907579,0.022974914636099658,0.0007453772419283167,False,False,False,32768
Bcc3,persistence,0.010797557421028614,False,0.03339779571917259,False,1.0,0.8262433086328671,0.9931519987686931,0.9823101307525023,0.98635089265825,0.004916999978068124,False,0.000461714121661713,False,2.417688878432193e-05,False,0.010797557421028614,0.040421260142407475,0.004950903773203101,0.00047002887093103193,2.4511448171516703e-05,False,False,0.034869907654103596,0.006114311526178428,0.08810010633006081,0.10178005841857332,0.00776162873536802,False,False,False,0.3096525958180427,6.61092585311426,0.05619634276779293,0.004618084114257679,0.003158028940475273,3,middle,1,False,False,0.034869907654103596,0.005051908985401739,0.08749679669343428,0.09997958249314608,0.007655689431612172,False,False,False,32768
Bcc3,persistence,0.010797557421028614,False,0.013557726929751617,False,1.0,1.0813717987162492,0.943397668136973,1.0680060010422436,0.8899991602462785,0.003858169881007193,False,0.00027744657067974195,False,1.4885474830711057e-05,False,0.010797557421028614,0.012537525896131815,0.004089653823955626,0.0002597799735291636,1.6725268399794875e-05,False,False,0.1233155352386473,0.030702838304035546,0.27308170605219845,0.23123465971719334,0.07457361818037933,False,False,False,0.0875603986158967,0.4083507124643879,0.014975934796503379,0.0011234473839124377,0.00022427862302912068,4,middle,1,False,False,0.1233155352386473,0.033201183482529074,0.2576246447005104,0.24696000422692366,0.06637045755706421,False,False,False,32768
Bcc3,persistence,0.010797557421028614,False,0.011189709145907369,False,1.0,0.9667156748570479,0.9447272101209587,0.9276549014354246,0.8925095015429299,0.0025828183902915462,False,0.00017504176034496434,False,6.670950837228213e-06,False,0.010797557421028614,0.011574974355890149,0.0027339303479581726,0.0001886927564055449,7.4743751474866955e-06,False,False,0.38459183666990643,0.187411588749566,0.6223092938978394,0.5694449218539904,0.3872688572716275,False,False,False,0.028075368199497464,0.061762319145362635,0.004393201860820971,0.0003313626114905052,1.930022258992084e-05,5,middle,1,False,False,0.38459183666990643,0.1811737204940682,0.5879125230564496,0.5282483728553665,0.3456411347666003,False,False,False,32768
Bcc3,persistence,0.008225936957169324,False,0.005525215172021204,False,0.9407889961613102,0.9326848713948765,0.9456171907994587,0.9487775472542237,0.8941918715354596,0.001149646941381253,False,8.589468492160115e-05,False,1.3216880898272698e-06,False,0.008743657707236707,0.0059239892717011374,0.00121576358019602,9.053195363884995e-05,1.4780810829310447e-06,False,False,0.9999998769762636,0.8967704394173747,0.9863711255969028,0.9748255634150528,0.9729279974113012,False,False,False,0.00874365878291428,0.006605914971450119,0.001232562013066127,9.286990107408996e-05,1.5192091160536231e-06,6,middle,1,False,False,0.9407888804219328,0.836404221958721,0.9327294928726433,0.9248926070576504,0.8699843068744583,False,False,False,32768
Bcc3,persistence,0.0021685082325711845,False,0.0005593956006779477,False,0.9243853319244517,0.8555047359446059,0.9463154633514231,0.9499315119006709,0.8955129561780185,0.0003230164400193819,False,2.817241801786488e-05,False,1.0433962052279495e-07,False,0.0023458920838311317,0.0006538778538265961,0.0003413411832830071,2.9657314937890715e-05,1.1651380340504346e-07,False,False,0.999999849635721,1.000000093656628,0.9999999913406069,0.9999999859312574,0.999999982681214,False,False,False,0.0023458924365695566,0.0006538777925866069,0.0003413411862388146,2.965731535513185e-05,1.1651380542292112e-07,7,outer,1,False,False,0.9243851929299178,0.8555048160682946,0.9463154551569055,0.9499314985363291,0.8955129406688213,False,False,False,32768
Bcc3,persistence,0.0004546673709410243,False,4.323275789966667e-05,False,0.9300653764244614,0.8114752554743827,0.9341009146429039,0.9440141901130304,0.8725445187367097,7.047504247486989e-05,False,7.484579649705961e-06,False,4.966731611834715e-09,False,0.000488855281000724,5.32767420916527e-05,7.544692588360401e-05,7.928460957572898e-06,5.692238625286037e-09,False,False,0.999999487109211,1.0000001268389482,0.9999998879042279,1.0000008632592932,0.9999997758084684,False,False,False,0.0004888555317302234,5.327673533408762e-05,7.544693434088637e-05,7.928454113261203e-06,5.692239901438018e-09,8,outer,1,False,False,0.9300648994024967,0.8114753584010507,0.9341008099341407,0.944015005042053,0.8725443231196177,False,False,False,32768
Bcc3,fno_plain,0.010797557421028614,False,0.02251812235121917,False,1.0,0.3997141330158918,0.8876941966982537,0.9322704214617836,0.788000986851758,0.0047766512350633315,False,0.0002713300257293064,False,2.2816397021432054e-05,False,0.010797557421028614,0.05633556707469209,0.005380964810663303,0.0002910421906380615,2.8954782293596758e-05,False,False,0.0020249628730702614,3.0632144701949364e-05,0.005403614559665162,0.0033187888068927146,2.9199050309425313e-05,False,False,False,5.332224884033202,1839.0996654931255,0.9958084077330523,0.08769530318820011,0.9916343849118371,1,inner,1,False,False,0.0020249628730702614,1.2244101161957034e-05,0.004796757285808953,0.0030940086397445213,2.3008880458961277e-05,False,False,False,32768
Bcc3,fno_plain,0.010797557421028614,False,0.0249117043393592,False,1.0,0.5467779263098224,0.7942037112847888,1.299694949093458,0.6307595350185322,0.004250888167589776,False,0.00037738803608510993,False,1.8070050213354763e-05,False,0.010797557421028614,0.04556091813633934,0.005352390208191151,0.00029036662514410745,2.8648080940740517e-05,False,False,0.011752267915398594,0.0007168642326483073,0.027432967600277403,0.019791476511430164,0.00075256771135787,False,False,False,0.9187637227773666,63.55585348152175,0.1951079550043659,0.014671296756278498,0.038067114105985664,2,inner,1,False,False,0.011752267915398594,0.0003919655385731235,0.02178736467969568,0.025722882057007596,0.00047468925968605096,False,False,False,32768
