channel,ground_truth_available,model,model_dynamic_span_q99_q01,model_high_k_energy,model_std,model_total_variation,model_variance,oracle_available,retention_vs_canonical_initial_dynamic_span_q99_q01,retention_vs_canonical_initial_dynamic_span_q99_q01_undefined,retention_vs_canonical_initial_high_k_energy,retention_vs_canonical_initial_high_k_energy_undefined,retention_vs_canonical_initial_std,retention_vs_canonical_initial_std_undefined,retention_vs_canonical_initial_total_variation,retention_vs_canonical_initial_total_variation_undefined,retention_vs_canonical_initial_variance,retention_vs_canonical_initial_variance_undefined,retention_vs_raw_initial_dynamic_span_q99_q01,retention_vs_raw_initial_dynamic_span_q99_q01_undefined,retention_vs_raw_initial_high_k_energy,retention_vs_raw_initial_high_k_energy_undefined,retention_vs_raw_initial_std,retention_vs_raw_initial_std_undefined,retention_vs_raw_initial_total_variation,retention_vs_raw_initial_total_variation_undefined,retention_vs_raw_initial_variance,retention_vs_raw_initial_variance_undefined,shell,shell_group,step,voxel_count
Bcc1,False,persistence,1.999531110525131,300.24185527845805,0.5213503510950894,0.028210532626417262,0.27180618858697303,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999996917718189,False,0.9999999968929709,False,0.9999999906666622,False,0.99999996168953,False,0.9999999813333248,False,1,inner,25,32768
Bcc1,False,persistence,0.9081604242324829,54.097768224864275,0.2923127211146622,0.008102741322077644,0.0854467269254583,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9999999113964216,False,0.9999999971163422,False,0.9999999963646329,False,1.0000000574762826,False,0.9999999927292657,False,2,inner,25,32768
Bcc1,False,persistence,0.5698485234379769,23.4879154632471,0.21774344109097143,0.010458171183235589,0.04741220613813735,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000002452808432,False,1.0000000260531592,False,0.9999999959014444,False,0.999999972834601,False,0.9999999918028888,False,3,middle,25,32768
Bcc1,False,persistence,0.29667066007852555,7.229485110140794,0.09533637847454464,0.0055162874467722485,0.009089025060641617,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.99999996634727,False,0.9999999527244736,False,0.9999999978088913,False,1.0000000329615957,False,0.9999999956177823,False,4,middle,25,32768
Bcc1,False,persistence,0.11564509198069572,1.1157619830767913,0.03533917173412253,0.002212023580279833,0.0012488570588538046,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.000000129174665,False,1.0000000652827181,False,0.9999999987072322,False,1.0000000083451528,False,0.9999999974144642,False,5,middle,25,32768
Bcc1,False,persistence,0.047802817076444626,0.15763786842011965,0.014082118212161673,0.0009226030181674071,0.00019830605334129547,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000000389651769,False,0.999999943867769,False,0.9999999977448701,False,0.9999999510715972,False,0.9999999954897404,False,6,middle,25,32768
Bcc1,False,persistence,0.03077322244644165,0.022258930695510108,0.007528848025310413,0.0006192195660644838,5.668355258822051e-05,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.000000242112519,False,0.9999999999590843,False,1.000000021627465,False,0.9999999005668282,False,1.0000000432549307,False,7,outer,25,32768
Bcc1,False,persistence,0.020167140290141106,0.007909540549795794,0.004286991233762355,0.0003379921507340972,1.837829383835528e-05,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0000003694417374,False,1.000000067514308,False,0.9999999851041601,False,1.0000000268211227,False,0.9999999702083202,False,8,outer,25,32768
Bcc2,False,persistence,0.13481904193758965,3.444033518644556,0.042859209275949973,0.0043605975982806645,0.0018369118197596765,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.5109862431046843,False,0.487978152134035,False,0.7146330826670703,False,0.635997581293175,False,0.5107004428422397,False,1,inner,25,32768
Bcc2,False,persistence,0.075022772916127,0.1703300091161281,0.02675873638115763,0.0014020710515780964,0.0007160299727162891,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.4646567668378075,False,0.23193950459246854,False,0.5631144471716494,False,0.4460518247224087,False,0.31709788061343225,False,2,inner,25,32768
