axis,channel,demeaned,model,model_high_k_axis_anisotropy,model_high_k_energy,model_high_k_energy_undefined,model_low_k_energy,model_low_k_energy_undefined,model_mid_k_energy,model_mid_k_energy_undefined,model_parseval_relative_error,model_retention_high_k_energy,model_retention_low_k_energy,model_retention_mid_k_energy,model_retention_total_nonzero_mode_energy,model_spectral_centroid,model_total_nonzero_mode_energy,model_total_nonzero_mode_energy_undefined,normalization,oracle_high_k_axis_anisotropy,oracle_high_k_energy,oracle_low_k_energy,oracle_mid_k_energy,oracle_parseval_relative_error,oracle_spectral_centroid,oracle_total_nonzero_mode_energy,preprocessing_high_k_energy_undefined,preprocessing_low_k_energy_undefined,preprocessing_mid_k_energy_undefined,preprocessing_retention_high_k_energy,preprocessing_retention_low_k_energy,preprocessing_retention_mid_k_energy,preprocessing_retention_total_nonzero_mode_energy,preprocessing_total_nonzero_mode_energy_undefined,raw_high_k_axis_anisotropy,raw_high_k_energy,raw_low_k_energy,raw_mid_k_energy,raw_parseval_relative_error,raw_spectral_centroid,raw_total_nonzero_mode_energy,step,total_high_k_energy_undefined,total_low_k_energy_undefined,total_mid_k_energy_undefined,total_retention_high_k_energy,total_retention_low_k_energy,total_retention_mid_k_energy,total_retention_total_nonzero_mode_energy,total_total_nonzero_mode_energy_undefined,window
theta,Bcc1,False,fno_plain,11553.164900908252,24.45521752421831,False,4183.393081686062,False,81.16265673247734,False,0.0,0.04872770616655241,0.1846932608515336,0.09171649993259033,0.15591995482259952,0.0430648135630436,3747.6928533963505,False,ortho,672505.5462181001,501.8749998333559,22650.491211202876,884.929721392881,1.5134725708409058e-16,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.000000004618073,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22650.491106601254,884.9297189266606,1.5134725777232207e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.04872770638389672,0.18469326170446057,0.09171650018819605,0.15591995553211865,False,none
theta,Bcc1,True,fno_plain,11553.164900908247,24.455217524218313,False,4002.7663036616796,False,81.16265673247734,False,0.0,0.04872770616655242,0.17672295997284657,0.09171649993259033,0.15591995482259952,0.0430648135630436,3747.6928533963505,False,ortho,672505.5462181,501.8749998333559,22649.95054562635,884.929721392881,0.0,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.0000000046189097,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22649.950441008274,884.9297189266606,3.027013241387603e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.048727706383896736,0.17672296078911395,0.09171650018819605,0.15591995553211865,False,none
r,Bcc1,False,fno_plain,11553.164900908252,79.99350965585472,False,4106.902348441831,False,102.11509784507204,False,0.0,0.13441512583580037,0.18143678404154107,0.12657932546984024,0.17531669343551218,0.051196865689612625,2647.067114038695,False,ortho,672505.5462181001,595.1228268280884,22635.445012636086,806.7280929649351,1.5134725708409058e-16,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028050686,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22635.44494914211,806.7280663943902,1.5134725777232207e-16,0.051742314279532936,15098.773777565179,1,False,False,False,0.13441513018179307,0.18143678455048368,0.1265793296388803,0.175316694788281,False,none
r,Bcc1,True,fno_plain,11553.164900908247,79.99350965585474,False,3926.2755704174488,False,102.11509784507204,False,0.0,0.13441512583580037,0.1734611072446392,0.12657932546984024,0.17531669343551218,0.051196865689612625,2647.067114038695,False,ortho,672505.5462181,595.1228268280884,22634.90434705956,806.7280929649351,0.0,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028058624,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22634.904283549135,806.7280663943902,0.0,0.051742314279532936,15098.773777565179,1,False,False,False,0.13441513018179307,0.1734611077313472,0.1265793296388803,0.175316694788281,False,none
combined,Bcc1,False,fno_plain,11553.164900908252,100.90288741628424,False,4022.00153074905,False,166.10653777742468,False,2.1205231488456625e-16,0.09343144536868041,0.18823973305251368,0.10440716815831173,0.17092091392152092,0.05628085762135357,4108.384177918375,False,ortho,672505.5462181001,1079.9671033464326,21366.37927353532,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002455686,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21366.3792210662,1590.9495167062094,4.540417733169662e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.09343144692558325,0.18823973351477138,0.10440717070728935,0.17092091469889545,False,none
combined,Bcc1,True,fno_plain,11553.164900908247,100.90288741628424,False,3841.374752724667,False,166.10653777742468,False,2.2137528098303322e-16,0.09343144536868041,0.17979049749508785,0.10440716815831173,0.17092091392152092,0.056280857621353576,4108.384177918375,False,ortho,672505.5462181,1079.9671033464326,21365.838607958794,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002456518,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21365.838555473223,1590.9495167062094,4.540519862081405e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.09343144692558325,0.17979049793674648,0.10440717070728935,0.17092091469889545,False,none
phi,Bcc1,False,fno_full,56598.590497603094,0.0016152706793721924,False,1259.498786106526,False,0.0015507351653746494,False,1.8052665584352037e-16,1.8253013353747032,0.05239770476427988,0.268058473476394,0.15223574897608155,0.12223443467615554,0.01022846937735526,False,ortho,672505.5462181001,0.0008849337082419901,24037.28926243237,0.005785063032194025,1.5134725708409058e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933627,1.000000004545797,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24037.289153163732,0.005785021874649681,1.5134725777232207e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,1.8252943225548575,0.0523977050024692,0.2680603805786916,0.1522360573580655,False,none
phi,Bcc1,True,fno_full,56598.590497603094,0.0016152706793721924,False,1258.995920660878,False,0.0015507351653746494,False,0.0,1.825301335374703,0.052377962667777896,0.268058473476394,0.15223574897608155,0.12223443467615551,0.01022846937735526,False,ortho,672505.5462181,0.0008849337082419902,24036.748596855843,0.005785063032194025,1.5135066138101413e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933628,1.0000000045465836,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24036.748487570756,0.005785021874649681,3.027013241387603e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,1.8252943225548575,0.05237796290591868,0.2680603805786916,0.1522360573580655,False,none
theta,Bcc1,False,fno_full,56598.590497603094,32.417363590537725,False,1187.4243232968186,False,39.660265225014925,False,1.8052665584352037e-16,0.0645925053076995,0.05242377801985687,0.04481741800082112,0.05084550815199355,0.04300903915467347,1222.1229011086957,False,ortho,672505.5462181001,501.8749998333559,22650.491211202876,884.929721392881,1.5134725708409058e-16,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.000000004618073,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22650.491106601254,884.9297189266606,1.5134725777232207e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.06459250559580691,0.052423778261953706,0.04481741812572328,0.050845508383367786,False,none
theta,Bcc1,True,fno_full,56598.590497603094,32.417363590537725,False,1186.9214578511703,False,39.660265225014925,False,1.805987612312077e-16,0.0645925053076995,0.05240282778808813,0.04481741800082112,0.05084550815199355,0.04300903915467347,1222.1229011086957,False,ortho,672505.5462181,501.8749998333559,22649.95054562635,884.929721392881,0.0,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.0000000046189097,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22649.950441008274,884.9297189266606,3.027013241387603e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.06459250559580691,0.052402828030132055,0.04481741812572328,0.050845508383367786,False,none
r,Bcc1,False,fno_full,56598.590497603094,91.42204372457186,False,1060.368223890835,False,107.71168449696407,False,0.0,0.15361878187707412,0.04684547722825381,0.13351671453648736,0.06483593892529489,0.09026551335790142,978.9431820427263,False,ortho,672505.5462181001,595.1228268280884,22635.445012636086,806.7280929649351,1.5134725708409058e-16,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028050686,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22635.44494914211,806.7280663943902,1.5134725777232207e-16,0.051742314279532936,15098.773777565179,1,False,False,False,0.15361878684397126,0.046845477359658584,0.13351671893401856,0.06483593942557833,False,none
r,Bcc1,True,fno_full,56598.590497603094,91.42204372457186,False,1059.8653584451872,False,107.71168449696408,False,0.0,0.15361878187707412,0.046824379824820045,0.13351671453648736,0.06483593892529489,0.09026551335790142,978.9431820427263,False,ortho,672505.5462181,595.1228268280884,22634.90434705956,806.7280929649351,0.0,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028058624,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22634.904283549135,806.7280663943902,0.0,0.051742314279532936,15098.773777565179,1,False,False,False,0.15361878684397126,0.04682437995620281,0.1335167189340186,0.06483593942557833,False,none
combined,Bcc1,False,fno_full,56598.590497603094,120.40582907678757,False,1006.2155581245784,False,132.88056491100525,False,1.8052665584352037e-16,0.1114902747534558,0.04709340526267313,0.08352280212007608,0.0523780798485277,0.08940210946378987,1258.9990866667233,False,ortho,672505.5462181001,1079.9671033464326,21366.37927353532,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002455686,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21366.3792210662,1590.9495167062094,4.540417733169662e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.11149027661128348,0.047093405378319755,0.08352280415918657,0.05237808008675124,False,none
combined,Bcc1,True,fno_full,56598.590497603094,120.40582907678757,False,1005.7126926789301,False,132.88056491100525,False,1.805987612312077e-16,0.1114902747534558,0.0470710610115861,0.08352280212007608,0.0523780798485277,0.08940210946378989,1258.9990866667233,False,ortho,672505.5462181,1079.9671033464326,21365.838607958794,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002456518,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21365.838555473223,1590.9495167062094,4.540519862081405e-16,0.05659041730273334,24036.755157529733,1,False,False,False,0.11149027661128348,0.04707106112721701,0.08352280415918657,0.05237808008675124,False,none
phi,Bcc1,False,localno_plain,88167.25401315809,0.03625167454691385,False,8946.7642512552,False,0.02339659783883162,False,2.0331118886132356e-16,40.96541267360179,0.3722035439843878,4.044311653758818,2.355387883387115,0.14719444930212647,0.15825463466405604,False,ortho,672505.5462181001,0.0008849337082419901,24037.28926243237,0.005785063032194025,1.5134725708409058e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933627,1.000000004545797,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24037.289153163732,0.005785021874649681,1.5134725777232207e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,40.9652552842144,0.37220354567634956,4.044340427018425,2.3553926546658284,False,none
phi,Bcc1,True,localno_plain,88167.25401315808,0.03625167454691385,False,8923.502539249319,False,0.02339659783883162,False,2.038411752303858e-16,40.96541267360179,0.37124415988677306,4.044311653758818,2.355387883387115,0.14719444930212647,0.15825463466405604,False,ortho,672505.5462181,0.0008849337082419902,24036.748596855843,0.005785063032194025,1.5135066138101413e-16,0.06873130953659853,0.0671883538928974,False,False,False,0.9999961579933628,1.0000000045465836,1.0000071145010747,1.0000020256870414,False,672502.9407035483,0.0008849371081762333,24036.748487570756,0.005785021874649681,3.027013241387603e-16,0.06873128380150038,0.06718821779059528,1,False,False,False,40.9652552842144,0.37124416157466567,4.044340427018425,2.3553926546658284,False,none
theta,Bcc1,False,localno_plain,88167.25401315809,226.48197793887348,False,8124.187032360771,False,596.1548892279404,False,0.0,0.4512716872011462,0.3586759755718926,0.673674840855827,0.3501208844541942,0.06386621046213549,8415.507418448833,False,ortho,672505.5462181001,501.8749998333559,22650.491211202876,884.929721392881,1.5134725708409058e-16,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.000000004618073,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22650.491106601254,884.9297189266606,1.5134725777232207e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.45127168921399147,0.3586759772282845,0.6736748427332988,0.3501208860474314,False,none
theta,Bcc1,True,localno_plain,88167.25401315808,226.48197793887346,False,8100.92532035489,False,596.1548892279404,False,0.0,0.45127168720114613,0.35765752795072475,0.673674840855827,0.35012088445419415,0.0638662104621355,8415.507418448831,False,ortho,672505.5462181,501.8749998333559,22649.95054562635,884.929721392881,0.0,0.038264981054541805,24036.00525449324,False,False,False,1.0000000044603845,1.0000000046189097,1.000000002786911,1.0000000045505346,False,672502.9407035483,501.8749975948004,22649.950441008274,884.9297189266606,3.027013241387603e-16,0.03826498098586641,24036.005145116567,1,False,False,False,0.4512716892139914,0.3576575296027126,0.6736748427332988,0.35012088604743136,False,none
r,Bcc1,False,localno_plain,88167.25401315809,3196.2105981800914,False,3786.004508142112,False,1964.6087932053808,False,0.0,5.370673840920191,0.16725999891005458,2.435280003681208,0.5370917873827642,0.2187514863073494,8109.427458054,False,ortho,672505.5462181001,595.1228268280884,22635.445012636086,806.7280929649351,1.5134725708409058e-16,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028050686,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22635.44494914211,806.7280663943902,1.5134725777232207e-16,0.051742314279532936,15098.773777565179,1,False,False,False,5.370674014568129,0.16725999937923033,2.4352800838900404,0.5370917915270417,False,none
r,Bcc1,True,localno_plain,88167.25401315808,3196.210598180091,False,3762.742796136232,False,1964.6087932053806,False,0.0,5.370673840920191,0.16623630205996606,2.4352800036812075,0.5370917873827641,0.2187514863073494,8109.4274580539995,False,ortho,672505.5462181,595.1228268280884,22634.90434705956,806.7280929649351,0.0,0.05174231496457209,15098.773894069489,False,False,False,1.0000000323326164,1.0000000028058624,1.000000032936185,1.000000007716144,False,672502.9407035483,595.1228075862109,22634.904283549135,806.7280663943902,0.0,0.051742314279532936,15098.773777565179,1,False,False,False,5.370674014568128,0.16623630252640223,2.4352800838900404,0.5370917915270417,False,none
combined,Bcc1,False,localno_plain,88167.25401315809,3375.7503376330465,False,3409.803947059189,False,2161.2696148353493,False,2.0331118886132356e-16,3.1257899682062544,0.15958735466624507,1.3584777765576428,0.3712465384139252,0.21325682568705692,8923.562187521706,False,ortho,672505.5462181001,1079.9671033464326,21366.37927353532,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002455686,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21366.3792210662,1590.9495167062094,4.540417733169662e-16,0.05659041730273334,24036.755157529733,1,False,False,False,3.1257900202931217,0.15958735505814153,1.358477809723272,0.37124654010241137,False,none
combined,Bcc1,True,localno_plain,88167.25401315808,3375.7503376330465,False,3386.5422350533086,False,2161.269614835349,False,2.038411752303858e-16,3.1257899682062544,0.1585026591837972,1.3584777765576423,0.3712465384139252,0.21325682568705692,8923.562187521706,False,ortho,672505.5462181,1079.9671033464326,21365.838607958794,1590.9495555473613,0.0,0.05659041773837295,24036.755266852582,False,False,False,1.0000000166635852,1.000000002456518,1.000000024413818,1.0000000045481534,False,672502.9407035483,1079.9670853503092,21365.838555473223,1590.9495167062094,4.540519862081405e-16,0.05659041730273334,24036.755157529733,1,False,False,False,3.1257900202931217,0.15850265957316187,1.3584778097232717,0.37124654010241137,False,none
phi,Bcc2,False,persistence,9519750.653900297,2.414822535388696e-07,False,240.64371173168507,False,7.476182895287447e-07,False,1.1810701018971225e-16,0.10038230872722963,0.9057790421188716,0.2903138760657678,0.02560158184384415,0.07099235245055321,8.842726303211578e-06,False,ortho,1215012.271812653,2.405625618703919e-06,265.6759546663299,2.5752068749183003e-06,0.0,0.042609290290847715,0.00034539765383043294,False,False,False,0.012582316854840748,0.21062998588919335,0.0028955224729894933,0.037295410135376524,False,40953.87775090213,0.0001911909902172279,1261.3396594257702,0.0008893755441170926,0.0,0.07474003265305137,0.009261130326136468,1,False,False,False,0.0012630420150264489,0.190784226860225,0.0008406103523691173,0.0009548214949805767,False,none
phi,Bcc2,True,persistence,9519750.653900294,2.414822535388697e-07,False,191.5258220839168,False,7.476182895287448e-07,False,0.0,0.10038230872722967,0.9247255885064769,0.29031387606576786,0.02560158184384416,0.07099235245055319,8.842726303211581e-06,False,ortho,1215012.2718126532,2.405625618703919e-06,207.11638616300206,2.5752068749183003e-06,1.3722578533471164e-16,0.042609290290847715,0.00034539765383043294,False,False,False,0.012582316854840746,0.19548653400814214,0.0028955224729894933,0.03729541013537651,False,40953.87775090213,0.00019119099021722792,1059.4918325902465,0.0008893755441170926,0.0,0.07474003265305135,0.009261130326136471,1,False,False,False,0.0012630420150264493,0.18077140020577065,0.0008406103523691174,0.0009548214949805767,False,none
theta,Bcc2,False,persistence,9519750.653900297,0.014655603487492678,False,240.53330340984132,False,0.09575370745677635,False,0.0,0.7921798405163905,0.9057707617980802,0.9483360972302396,1.1101217881803007,0.01838415018041815,74.56630554572425,False,ortho,1215012.271812653,0.018500348958563846,265.5564890749503,0.10097022325359087,0.0,0.020158434095323734,67.1694820691273,False,False,False,0.281187184495013,0.21061811073706976,0.2340612582747812,0.14016035834125862,False,40953.87775090213,0.06579371315157487,1260.843562529455,0.4313837496979305,0.0,0.017046087206431134,479.2330931802049,1,False,False,False,0.22275081896851226,0.19077172661078812,0.22196874018510512,0.15559506763378975,False,none
theta,Bcc2,True,persistence,9519750.653900294,0.014655603487492678,False,191.4154137620731,False,0.09575370745677635,False,0.0,0.7921798405163901,0.9247259004311711,0.9483360972302396,1.1101217881803007,0.018384150180418148,74.56630554572425,False,ortho,1215012.2718126532,0.018500348958563853,206.99692057162235,0.10097022325359087,0.0,0.020158434095323734,67.1694820691273,False,False,False,0.2811871844950131,0.19546530131774595,0.23406125827478108,0.14016035834125862,False,40953.87775090213,0.06579371315157487,1058.9957356939315,0.4313837496979307,0.0,0.017046087206431138,479.2330931802049,1,False,False,False,0.22275081896851226,0.18075182676410279,0.221968740185105,0.15559506763378975,False,none
r,Bcc2,False,persistence,9519750.653900297,2.298850841031971,False,233.89901515930742,False,4.445846720446203,False,1.1810701018971225e-16,0.7865060883051026,0.91154774516258,0.72200584246036,0.8945879583213295,0.03591549584925971,170.19394382039766,False,ortho,1215012.271812653,2.9228646481121676,256.59546238863237,6.157632610417957,0.0,0.03749945552587628,190.24841798649075,False,False,False,0.37328991113985377,0.20701605288399524,0.43935248079190653,0.20385102900759175,False,40953.87775090213,7.830012440430277,1239.4954826639446,14.015244887929603,0.0,0.031119058030362873,933.2718059490668,1,False,False,False,0.2935947878143657,0.18870501621886326,0.3172150580312096,0.18236267584160362,False,none
r,Bcc2,True,persistence,9519750.653900294,2.298850841031971,False,184.78112551153922,False,4.4458467204462035,False,2.9679245309462534e-16,0.7865060883051025,0.9330688588128276,0.72200584246036,0.8945879583213295,0.03591549584925971,170.19394382039766,False,ortho,1215012.2718126532,2.922864648112168,198.0358938853044,6.1576326104179575,1.3722578533471164e-16,0.03749945552587628,190.24841798649075,False,False,False,0.3732899111398538,0.19085080833840418,0.43935248079190653,0.20385102900759172,False,40953.87775090213,7.830012440430277,1037.6476558284212,14.015244887929605,0.0,0.031119058030362867,933.2718059490669,1,False,False,False,0.2935947878143657,0.17807694593982049,0.31721505803120964,0.1823626758416036,False,none
