absolute_residual_error,finite,ground_truth_available,model,normalized_global_norm,physical_l2,physical_range_explosion,physical_range_ratio,press_q001,press_q999,radial_absolute_error,radial_skill,residual_cosine,residual_l2,rho_press_positive,rho_q001,rho_q999,selected_step,shell_absolute_error,shell_skill,state_l2,step
1.6287401806941262,True,True,Persistence,46996.20934676478,0.6197470556087503,False,1.0411531057643004,2.973204106240246e-07,33.51813988113394,0.11103640880145266,-3.983851766253821e-07,0.0,1.0,True,8.047400141549589e-06,49.01733377075177,True,0.04345938911182228,-3.20133941578149e-09,0.40945781224220973,1
0.9823537075474846,True,True,Persistence,46996.05346687437,0.40164861722675477,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.16661063547974153,1.5197296754365652e-09,0.0,1.0,True,8.047398971029907e-06,49.01733377075177,True,0.015313117887783391,1.3184592795312255e-07,0.22878582789938298,2
1.7968892588780077,True,True,Persistence,46996.054247738255,0.6057939870857693,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.2901853898097703,-6.067817648336415e-08,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.03346993481555403,3.560503802901849e-08,0.3990427290007941,3
1.1764164265282984,True,True,Persistence,46996.054607551014,0.4805660276923307,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.29654871983631037,-9.234265796465024e-09,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.018205659719203578,5.097509514495613e-08,0.26420310436726635,4
1.6225445651999608,True,True,Persistence,46996.054714757156,0.5929084872678887,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.3477980762014477,-1.2862337861463402e-09,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.008738416233921489,-1.0375034165122088e-11,0.3748819243994318,5
1.2382166922230513,True,True,Persistence,46996.05474408595,0.45990255622962184,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.3711145235247407,6.961476950451129e-10,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.018746124692648816,1.531832438672609e-09,0.25424198356677263,6
1.7355630059330478,True,True,Persistence,46996.054756209225,0.5902016606587492,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.3275143404428181,1.1091128016005314e-13,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.026869355698529013,-1.2254641745812478e-12,0.3771346588411632,7
1.2880041969128233,True,True,Persistence,46996.05476153493,0.4711520926111499,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.6080033965982637,3.2529534621517087e-14,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.03134863580795292,-5.146993942162226e-13,0.2559080498890137,8
1.7010244265865366,True,True,Persistence,46996.05476425207,0.5669414775006805,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.3610808811122137,7.049916206369744e-14,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.049487458758880505,-6.550315845288424e-13,0.344272701909556,9
1.6445590790668336,True,True,Persistence,46996.054765820656,0.5408816468948765,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.2827651155595177,2.6201263381153694e-14,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.0397539483371779,-4.076738946423575e-13,0.32006815937925853,10
1.7441573086229778,True,True,Persistence,46996.05476674377,0.5309599941526834,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.5780453478303488,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.06573304339211301,0.0,0.3144488667806106,11
1.8859596909868883,True,True,Persistence,46996.054767190486,0.5639957638752018,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.9088574597033594,5.088152121857092e-13,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.046334775319189295,6.439293542825908e-15,0.3490166432276192,12
1.9372905429132774,True,True,Persistence,46996.05476758037,0.5691678289670172,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.35039226800367457,1.4692691507889322e-12,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.05543345784383921,2.55351295663786e-15,0.3529627826204809,13
1.8785338383287538,True,True,Persistence,46996.05476791966,0.5548947460237925,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.698645897994134,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.07528729094692393,2.220446049250313e-15,0.34297496618147444,14
1.903702122315878,True,True,Persistence,46996.05476825489,0.596264422803207,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.49865833595590586,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.09196474950739239,2.220446049250313e-15,0.37874556077210403,15
1.8161657783818757,True,True,Persistence,46996.05476854153,0.5671875949295936,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.8287037788101611,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.08847468524536047,5.551115123125783e-16,0.36138479145357266,16
1.781196127998472,True,True,Persistence,46996.054768806716,0.5436162909387026,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.3126223790241262,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.09884227045772143,0.0,0.3412642142826725,17
2.220594025842042,True,True,Persistence,46996.05476906245,0.596081998362634,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.6357592464539659,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.03543373726529092,0.0,0.40148364242637363,18
2.341064447385557,True,True,Persistence,46996.05476931335,0.5922217935717006,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.4010687230279538,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.037598672527605195,0.0,0.3940418016761666,19
2.0944399287470827,True,True,Persistence,46996.05476955731,0.559564954828316,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.32911631132826386,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.0050366856259269725,0.0,0.3583501057487398,20
2.16255637018752,True,True,Persistence,46996.054769793416,0.5700068505939686,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.2679163447074434,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.04439348536022237,0.0,0.36581760987209744,21
2.419826005007044,True,True,Persistence,46996.05477002335,0.6092135194770338,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.29986804258714517,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.06461909913920001,0.0,0.4191228424634393,22
2.03608085697936,True,True,Persistence,46996.05477024327,0.5775513409343679,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.22430224788242856,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.0737014614903799,0.0,0.37498910792082085,23
1.5125344373618108,True,True,Persistence,46996.05477046091,0.5325189680336363,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.2952671121973059,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.027616168878622154,0.0,0.3136483432438094,24
2.07997195445373,True,True,Persistence,46996.05477067038,0.6387867394249432,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.27020311799851987,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,True,0.04943539332334404,0.0,0.42039315860169646,25
1.855364326705971,True,True,Persistence,46996.05477087568,0.5881735997339601,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.2782374844194929,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.06069114875573045,0.0,0.3685792616254713,26
1.7868575798311452,True,True,Persistence,46996.054771074545,0.5550777328902979,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.25494895966474496,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.02107774051763471,0.0,0.337949912122733,27
2.449397665166881,True,True,Persistence,46996.054771266165,0.6542815344902093,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.1970723403255816,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.012267897856889243,0.0,0.4498073264498897,28
2.5413993511035415,True,True,Persistence,46996.05477145226,0.6223169503763143,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.1564548447106067,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.041458654958596644,0.0,0.437896406224453,29
2.4786951388935976,True,True,Persistence,46996.054771633055,0.5925036731848459,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.16135806804002678,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.01723718622080951,0.0,0.4150734098913703,30
2.505992868920635,True,True,Persistence,46996.054771811854,0.6131108881150759,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.1481089509480782,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.021945013907971652,0.0,0.4214273705483301,31
2.3860110312609972,True,True,Persistence,46996.05477198585,0.6284746422008848,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.16287909748078416,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.03996702730667138,0.0,0.4215620259485847,32
2.2140529381431593,True,True,Persistence,46996.054772154814,0.5765300979758987,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.20970458850960513,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.04544077500255795,0.0,0.3722215563736701,33
2.652023048183009,True,True,Persistence,46996.05477232124,0.629870992114741,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.23634633696101956,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.0099405889050632,0.0,0.4340858516895845,34
2.7974146240792472,True,True,Persistence,46996.0547724834,0.6440570713968241,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.17505457094368537,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.030403438720297743,0.0,0.45863181362741534,35
2.3819403077155625,True,True,Persistence,46996.05477264384,0.5645640036860007,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.1635724515644879,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.0226140143459363,0.0,0.37897372807374474,36
2.489323295931817,True,True,Persistence,46996.054772799114,0.5881831806815913,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.17775667817961138,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.014136725363208806,0.0,0.40199730179428916,37
2.3515571295825977,True,True,Persistence,46996.05477295409,0.6205865719464512,False,1.0411531057643004,2.973203131944047e-07,33.518205265045076,0.18475353210608747,0.0,0.0,1.0,True,8.047397800510225e-06,49.01733377075177,False,0.07495109819712903,0.0,0.39235692639386954,38
