accumulation_count,base_gradient_norm,clipping_triggered,epoch,h1_gradient_norm,h1_to_base_gradient_ratio_at_optimizer_step,h1_to_base_value_ratio,learning_rate,loss.components.base_fidelity_raw,loss.components.base_fidelity_weighted,loss.components.bounds_press_raw,loss.components.bounds_rho_raw,loss.components.bounds_weighted,loss.components.dissipation_raw,loss.components.dissipation_weighted,loss.components.envelope_press_raw,loss.components.envelope_rho_raw,loss.components.envelope_weighted,loss.components.h1_raw,loss.components.h1_weighted,loss.components.roi_ramp,loss.components.roi_raw,loss.components.roi_weighted,loss.components.total,loss.diagnostics.base_channel_raw.Bcc1,loss.diagnostics.base_channel_raw.Bcc2,loss.diagnostics.base_channel_raw.Bcc3,loss.diagnostics.base_channel_raw.press,loss.diagnostics.base_channel_raw.rho,loss.diagnostics.base_channel_raw.vel1,loss.diagnostics.base_channel_raw.vel2,loss.diagnostics.base_channel_raw.vel3,loss.diagnostics.bounds_violation_fraction.press_above,loss.diagnostics.bounds_violation_fraction.press_below,loss.diagnostics.bounds_violation_fraction.rho_above,loss.diagnostics.bounds_violation_fraction.rho_below,loss.diagnostics.canonical_raw_roi_jaccard,loss.diagnostics.dissipation_gate_max,loss.diagnostics.dissipation_gate_mean,loss.diagnostics.dissipation_gate_min,loss.diagnostics.envelope_violation_fraction.press,loss.diagnostics.envelope_violation_fraction.rho,loss.diagnostics.fraction_above_Rin,loss.diagnostics.fraction_above_Rout,loss.diagnostics.input_norm_mean,loss.diagnostics.model_bound_clamp_fraction.combined,loss.diagnostics.model_bound_clamp_fraction.press,loss.diagnostics.model_bound_clamp_fraction.rho,loss.diagnostics.model_clamp_fraction_by_channel.Bcc1,loss.diagnostics.model_clamp_fraction_by_channel.Bcc2,loss.diagnostics.model_clamp_fraction_by_channel.Bcc3,loss.diagnostics.model_clamp_fraction_by_channel.press,loss.diagnostics.model_clamp_fraction_by_channel.rho,loss.diagnostics.model_clamp_fraction_by_channel.vel1,loss.diagnostics.model_clamp_fraction_by_channel.vel2,loss.diagnostics.model_clamp_fraction_by_channel.vel3,loss.diagnostics.prediction_norm_mean,loss.diagnostics.roi_clamp_overlap,loss.diagnostics.roi_voxel_fraction,loss.diagnostics.target_bound_clamp_fraction.combined,loss.diagnostics.target_bound_clamp_fraction.press,loss.diagnostics.target_bound_clamp_fraction.rho,loss.diagnostics.target_clamp_fraction_by_channel.Bcc1,loss.diagnostics.target_clamp_fraction_by_channel.Bcc2,loss.diagnostics.target_clamp_fraction_by_channel.Bcc3,loss.diagnostics.target_clamp_fraction_by_channel.press,loss.diagnostics.target_clamp_fraction_by_channel.rho,loss.diagnostics.target_clamp_fraction_by_channel.vel1,loss.diagnostics.target_clamp_fraction_by_channel.vel2,loss.diagnostics.target_clamp_fraction_by_channel.vel3,loss.metadata.bounds_weights.press_high,loss.metadata.bounds_weights.press_low,loss.metadata.bounds_weights.rho_high,loss.metadata.bounds_weights.rho_low,loss.metadata.component_weights.Bcc1,loss.metadata.component_weights.Bcc2,loss.metadata.component_weights.Bcc3,loss.metadata.component_weights.press,loss.metadata.component_weights.rho,loss.metadata.component_weights.vel1,loss.metadata.component_weights.vel2,loss.metadata.component_weights.vel3,loss.metadata.dissipation_alpha,loss.metadata.envelope_delta.press,loss.metadata.envelope_delta.rho,loss.metadata.envelope_weights.press,loss.metadata.envelope_weights.rho,loss.metadata.forbidden_extensions,loss.metadata.gamma,loss.metadata.h1.computational_grid_H1_adaptation,loss.metadata.h1.spherical_metric_H1,loss.metadata.h1.upstream_absolute_squared_minus_l2,loss.metadata.h1_weight,loss.metadata.inverse_clamp_fraction,loss.metadata.protocol_name,loss.metadata.radial_mode,loss.metadata.roi_kappa,loss.metadata.roi_ramp_epochs,loss.metadata.schema_version,loss.metadata.space,loss_finite,microbatch,mode,optimizer_seconds,optimizer_update,pair_index,parameter_update_norm,roi_ramp,source_snapshot,target_snapshot,total_gradient_norm_clipped,total_gradient_norm_unclipped,total_loss
4,5.404802322387695,False,0,56.556785583496094,,16.65985107421875,0.0005,37.207237243652344,40.50857925415039,0.0,0.0,0.0,0.0,0.0,0.054122041910886765,0.3749932050704956,0.021455761045217514,13497.337890625,674.8668823242188,0.0,0.9972860217094421,0.0,715.39697265625,0.5453276038169861,5.020033836364746,10.94135570526123,0.8586407899856567,1.1144498586654663,0.8232933282852173,6.947556495666504,10.95657730102539,0.0,0.0,0.0,0.0,0.7301016367476241,1.0,1.0,1.0,0.609619140625,0.734375,0.0,0.0,3117.650634765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.83094787597656,0.5483415722846985,0.20000076293945312,0.0003662109375,0.000244140625,0.00048828125,0.0,0.0,0.212890625,0.0,0.0,0.0,0.0341796875,0.201904296875,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,0,full,0.0,False,42,,0.0,53,54,14.817535400390625,14.817535400390625,715.39697265625
4,5.823631763458252,False,0,59.6666145324707,,16.6529483795166,0.0005,39.65619659423828,43.27057647705078,0.0,0.0,0.0,0.0,0.0,0.053955983370542526,0.37602585554122925,0.021499091759324074,14411.65234375,720.5826416015625,0.0,0.9972884654998779,0.0,763.8746948242188,0.5706486701965332,5.61582088470459,11.885406494140625,0.8642270565032959,1.1302263736724854,0.8925399780273438,7.009232521057129,11.688096046447754,0.0,0.0,0.0,0.0,0.704176824313343,1.0,1.0,1.0,0.6103515625,0.734375,0.0,0.0,3219.86669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.30467224121094,0.5849625468254089,0.20000076293945312,0.00048828125,0.00048828125,0.00048828125,0.0,0.0,0.229248046875,0.0,0.0,0.0,0.033447265625,0.216064453125,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,1,full,0.0,False,48,,0.0,59,60,30.460926055908203,30.460926055908203,763.8746948242188
4,6.1682209968566895,False,0,59.78803253173828,,17.08440589904785,0.0005,41.716033935546875,45.69306182861328,0.0,0.0,0.0,0.0,0.0,0.05379810556769371,0.37637805938720703,0.02150880917906761,15612.77734375,780.6388549804688,0.0,0.9971455931663513,0.0,826.3533935546875,0.6192433834075928,6.729427337646484,12.536466598510742,0.8669884204864502,1.1544771194458008,0.9803250432014465,6.85618782043457,11.972915649414062,0.0,0.0,0.0,0.0,0.6697931429845375,1.0,1.0,1.0,0.610595703125,0.734375,0.0,0.0,3300.017333984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.83628845214844,0.6054664254188538,0.20000076293945312,0.000244140625,0.00048828125,0.0,0.0,0.0,0.246337890625,0.0,0.0,0.0,0.032470703125,0.2373046875,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,2,full,0.0,False,55,,0.0,66,67,46.12823486328125,46.12823486328125,826.3533935546875
4,6.424073696136475,True,0,53.25056838989258,9.692309146948007,17.624427795410156,0.0005,39.01818084716797,42.388275146484375,0.0,0.0,0.0,0.0,0.0,0.05353190377354622,0.37638726830482483,0.021495958790183067,14941.3818359375,747.069091796875,0.0,0.9983036518096924,0.0,789.4788818359375,0.49837592244148254,4.347815990447998,12.004266738891602,0.7704463005065918,1.0293262004852295,1.13107430934906,5.830718994140625,13.406157493591309,0.0,0.0,0.0,0.0,0.7444642233276215,1.0,1.0,1.0,0.609375,0.734375,0.0,0.0,3224.010009765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.37460327148438,0.5627419948577881,0.20000076293945312,0.00048828125,0.00048828125,0.00048828125,0.0,0.0,0.228759765625,0.0,0.0,0.0,0.036376953125,0.234619140625,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,3,full,0.17352159099937126,True,17,0.40479451417922974,0.0,28,29,0.9999999403953552,60.0173454284668,789.4788818359375
4,4.026888847351074,False,0,37.863643646240234,,19.390506744384766,0.0005,26.628883361816406,28.711143493652344,0.0,0.0,0.0,0.0,0.0,0.054224491119384766,0.3661820888519287,0.021020330488681793,11134.47265625,556.7236328125,0.0,0.9975433945655823,0.0,585.4557495117188,0.3707866668701172,1.415199875831604,8.625310897827148,0.9027026295661926,1.0565345287322998,0.7975360155105591,4.84995174407959,8.610859870910645,0.0,0.0,0.0,0.0,0.7613424487259167,1.0,1.0,1.0,0.610107421875,0.734375,0.0,0.0,2755.1953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.77134704589844,0.33594003319740295,0.20000076293945312,0.0020751953125,0.004150390625,0.0,0.0,0.0,0.166748046875,0.0,0.0,0.0,0.0068359375,0.152587890625,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,4,full,0.0,False,2,,0.0,13,14,9.8619966506958,9.8619966506958,585.4557495117188
4,5.521921157836914,False,0,58.09235763549805,,16.92715835571289,0.0005,36.561851501464844,39.59032440185547,0.0,0.0,0.0,0.0,0.0,0.053786925971508026,0.37202903628349304,0.021290799602866173,13403.033203125,670.1516723632812,0.0,0.9963179230690002,0.0,709.7633056640625,0.49676504731178284,4.106011867523193,10.539589881896973,0.8387614488601685,1.089514136314392,0.8443291783332825,7.4927778244018555,11.154101371765137,0.0,0.0,0.0,0.0,0.759450979076128,1.0,1.0,1.0,0.609375,0.734375,0.0,0.0,3094.745849609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.12071228027344,0.520265519618988,0.20000076293945312,0.0003662109375,0.000244140625,0.00048828125,0.0,0.0,0.2021484375,0.0,0.0,0.0,0.03564453125,0.189208984375,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,5,full,0.0,False,32,,0.0,43,44,24.798133850097656,24.798133850097656,709.7633056640625
4,7.431371688842773,False,0,67.24851989746094,,19.99956512451172,0.0005,48.1273078918457,53.29114532470703,0.0,0.0,0.0,0.0,0.0,0.0530528649687767,0.37288782000541687,0.02129703387618065,21315.9921875,1065.7996826171875,0.0,0.9957683086395264,0.0,1119.112060546875,0.8268448710441589,10.768220901489258,14.224117279052734,0.8843210935592651,1.2624449729919434,1.4401652812957764,6.632842063903809,12.088350296020508,0.0,0.0,0.0,0.0,0.6106972243129906,1.0,1.0,1.0,0.61083984375,0.734375,0.0,0.0,3531.57275390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0699462890625,0.6420873999595642,0.20000076293945312,0.000732421875,0.00146484375,0.0,0.0,0.000244140625,0.309814453125,0.0,0.0,0.0,0.042236328125,0.28857421875,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,6,full,0.0,False,70,,0.0,81,82,41.76533889770508,41.76533889770508,1119.112060546875
4,8.326638221740723,True,0,70.46517181396484,9.826955090486408,21.51528549194336,0.0005,52.466026306152344,58.46063995361328,0.0,0.0,0.0,0.0,0.0,0.052729662507772446,0.3733767569065094,0.021305320784449577,25155.947265625,1257.79736328125,0.0,0.9955560564994812,0.0,1316.2794189453125,0.9997830390930176,12.518966674804688,16.454307556152344,0.9320480227470398,1.3840765953063965,1.636944055557251,6.845484733581543,11.694412231445312,0.0,0.0,0.0,0.0,0.6012521951591968,1.0,1.0,1.0,0.61083984375,0.734375,0.0,0.0,3671.2509765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.35707092285156,0.5639626979827881,0.20000076293945312,0.0025634765625,0.00244140625,0.002685546875,0.0,0.0048828125,0.325927734375,0.0,0.0,0.0,0.059814453125,0.275390625,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,7,full,0.011096918000475853,True,75,0.4019097685813904,0.0,86,87,1.0,59.53180694580078,1316.2794189453125
4,5.780396461486816,False,0,46.73188400268555,,16.191532135009766,0.0005,36.42906951904297,39.5838508605957,0.0,0.0,0.0,0.0,0.0,0.05326610058546066,0.36650288105010986,0.020988449454307556,12818.462890625,640.9231567382812,0.0,0.9974556565284729,0.0,680.5280151367188,0.49086475372314453,3.4228720664978027,11.860151290893555,0.8027232885360718,1.0260989665985107,1.1982882022857666,5.75463342666626,11.873437881469727,0.0,0.0,0.0,0.0,0.706312140985794,1.0,1.0,1.0,0.609375,0.734375,0.0,0.0,3049.96240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.40170288085938,0.5568864345550537,0.20000076293945312,0.0025634765625,0.004638671875,0.00048828125,0.0,0.0,0.254150390625,0.0,0.0,0.0,0.03515625,0.240478515625,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,8,full,0.0,False,11,,0.0,22,23,12.278646469116211,12.278646469116211,680.5280151367188
4,7.690518856048584,False,0,68.25593566894531,,20.534631729125977,0.0005,49.56011199951172,55.0040283203125,0.0,0.0,0.0,0.0,0.0,0.05257187783718109,0.369251549243927,0.021091172471642494,22589.748046875,1129.4874267578125,0.0,0.9949159622192383,0.0,1184.5125732421875,0.8824761509895325,11.48489761352539,14.852189064025879,0.8952436447143555,1.2957488298416138,1.5202994346618652,6.705016613006592,11.92424201965332,0.0,0.0,0.0,0.0,0.6138703769257999,1.0,1.0,1.0,0.60986328125,0.734375,0.0,0.0,3578.131103515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.24501037597656,0.6215834617614746,0.20000076293945312,0.0009765625,0.001708984375,0.000244140625,0.0,0.00341796875,0.307861328125,0.0,0.0,0.0,0.04638671875,0.2861671447753906,0.0,0.05,0.0,0.05,1.2,1.2,1.2,1.0,1.0,1.0,1.0,1.0,0.0005,1.5,1.5,0.05,0.05,"[""bounded_residual"", ""hybrid_target"", ""rollout_aware_loss"", ""range_loss"", ""fold_b"", ""recency_weighting"", ""physical_evaluation_error""]",6.0,True,False,True,0.05,0.99,paper_reduced100_press_spherical_ks,appendix_literal_press_proxy,8.0,375,paper-composite-loss-v1,canonical_normalized_state,True,9,full,0.0,False,72,,0.0,83,84,29.662107467651367,29.662107467651367,1184.5125732421875
