channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
Bcc1,Stage AD,0.8997658866601131,3.831373934358501,169
Bcc2,Stage AD,0.29846153828141775,2.3604674945990842,169
Bcc3,Stage AD,0.5615519078172089,63.95870755394925,169
rho,Stage AD,8.309948633868059,27203.944572559634,169
press,Stage AD,6350314001.122744,2.0646531598541453e+22,169
vel1,Stage AD,0.10165671716127374,0.04319956088932729,169
vel2,Stage AD,0.005728611292342901,0.00010242185743155629,169
vel3,Stage AD,0.03153972943386701,0.004189818672138714,169
Bcc1,Stage AG,2.4310337634209462,4.01238401295186,169
Bcc2,Stage AG,0.1484705334669875,0.5686940716736575,169
Bcc3,Stage AG,0.4319474015217234,11.600226973981563,169
rho,Stage AG,5.124455610072018,51.514520236756915,169
press,Stage AG,20.889124150613558,171198.13961038893,169
vel1,Stage AG,0.060583932427495046,0.04495381190730952,169
vel2,Stage AG,0.00934657574416281,0.00014442304631518207,169
vel3,Stage AG,0.026899380185516533,0.0044946950981783985,169
Bcc1,Stage AD,0.9373312933173346,3.9620554529595613,170
Bcc2,Stage AD,0.15840735964107544,0.36022672353780566,170
Bcc3,Stage AD,0.23070243226036719,35.03912711272022,170
rho,Stage AD,3.7347681253796443,159.96773920687275,170
press,Stage AD,25.723343104013427,215554.6053006023,170
vel1,Stage AD,0.0893882560743043,0.04334086169949386,170
vel2,Stage AD,0.005049989722642205,7.98226190225457e-05,170
vel3,Stage AD,0.04803833535025622,0.003705423411611608,170
Bcc1,Stage AG,2.4053231943562863,3.8165145102060083,170
Bcc2,Stage AG,0.10867815358858474,0.19061826414714822,170
Bcc3,Stage AG,1.0348829632269954,4.574773114650068,170
rho,Stage AG,6.580969053923658,97.13085891961987,170
press,Stage AG,0.7144390999298919,93.30447950640234,170
vel1,Stage AG,0.056789243103159026,0.0473008837838684,170
vel2,Stage AG,0.006964305546616668,0.00015544236292993225,170
vel3,Stage AG,0.03850368216682344,0.0029071863085585467,170
Bcc1,Stage AD,1.073903693531353,3.8885716400048067,171
Bcc2,Stage AD,0.15604886825729947,0.9000320974438168,171
Bcc3,Stage AD,0.7632572413385418,72.76297231078627,171
rho,Stage AD,2.060092260590374,487.7525105199167,171
press,Stage AD,17425.36531317654,153984708595.6693,171
vel1,Stage AD,0.07440448062238263,0.0436801037298115,171
vel2,Stage AD,0.006641526901717943,6.025377919117642e-05,171
vel3,Stage AD,0.03955674885231723,0.0065163472321292755,171
Bcc1,Stage AG,2.301873711487002,4.023396926285297,171
Bcc2,Stage AG,0.1261683458044676,0.6149202301628414,171
Bcc3,Stage AG,0.3588158191563203,12.527158564205195,171
rho,Stage AG,6.032577630691029,68.3984492119205,171
press,Stage AG,5.708970872169649,12435.101908457107,171
vel1,Stage AG,0.07834040812321698,0.04815351025395337,171
vel2,Stage AG,0.007185872017266771,0.00010349795094014161,171
vel3,Stage AG,0.03660363932269605,0.0061610996217460155,171
Bcc1,Stage AD,0.8664274194060454,3.72826354072024,172
Bcc2,Stage AD,0.11305158057141673,0.30358511091878115,172
