channel,model,radial_absolute_error,radial_persistence_absolute_error,radial_skill,source_snapshot,target_snapshot
press,Stage AD,222.2965047371219,0.13771091931059753,-1613.225697206678,172,173
vel1,Stage AD,0.07559021157025339,0.04998576506188807,-0.5122347627702426,172,173
vel2,Stage AD,0.005000598275744584,0.0008364135755253155,-4.97861921670021,172,173
vel3,Stage AD,0.02786571787119879,0.018788743982367875,-0.4831070079697246,172,173
Bcc1,Stage AG,2.2947551357224,0.12755923307998757,-16.98972195359191,172,173
Bcc2,Stage AG,0.06082738135915692,0.027020634029531008,-1.2511455983112136,172,173
Bcc3,Stage AG,0.7890338786927648,0.5172583100994195,-0.5254155675935082,172,173
rho,Stage AG,6.694993594688911,0.6255220143953336,-9.703050317358832,172,173
press,Stage AG,0.8407882309708131,0.13771091931059753,-5.105457978059626,172,173
vel1,Stage AG,0.06313133105048228,0.04998576506188807,-0.2629861916151228,172,173
vel2,Stage AG,0.006834185515230481,0.0008364135755253155,-7.170820889579922,172,173
vel3,Stage AG,0.016057751629401568,0.018788743982367875,0.14535257681562863,172,173
Bcc1,Stage AD,0.7952555175157195,0.1062867450199563,-6.482170211971428,173,174
Bcc2,Stage AD,0.1614556515754434,0.05936081195212201,-1.7199030179315415,173,174
Bcc3,Stage AD,0.8224642235156869,0.48456992068782456,-0.6973076297188177,173,174
rho,Stage AD,3.077921985956586,0.5500724899554696,-4.595484308269543,173,174
press,Stage AD,8503.070187462055,0.17478575362737073,-48647.531193165334,173,174
vel1,Stage AD,0.06463786953411112,0.05328148538706503,-0.21313940601594106,173,174
vel2,Stage AD,0.0027682720175441528,0.0010406628600375335,-1.660104558208515,173,174
vel3,Stage AD,0.02602191568578567,0.01831156012931891,-0.42106491757202025,173,174
Bcc1,Stage AG,2.332576453580193,0.1062867450199563,-20.946071009533977,173,174
Bcc2,Stage AG,0.1353223513168206,0.05936081195212201,-1.2796580246571767,173,174
Bcc3,Stage AG,0.7633335215309643,0.48456992068782456,-0.575280447551197,173,174
rho,Stage AG,6.397428131887416,0.5500724899554696,-10.630154659080135,173,174
press,Stage AG,1.8661957279452936,0.17478575362737073,-9.677047123210476,173,174
vel1,Stage AG,0.06633017657157457,0.05328148538706503,-0.24490104000886825,173,174
vel2,Stage AG,0.007999119602572689,0.0010406628600375335,-6.68656200749221,173,174
vel3,Stage AG,0.02855124046102108,0.01831156012931891,-0.5591921310575425,173,174
Bcc1,Stage AD,0.7091614136594623,0.14442263202226,-3.9103205206103606,174,175
Bcc2,Stage AD,0.16773188072099252,0.1408446102629985,-0.19090024394818905,174,175
Bcc3,Stage AD,0.6496675419054366,0.7857318129122008,0.17316884561726187,174,175
rho,Stage AD,3.7743494468145378,0.4340531291467718,-7.695593219737555,174,175
press,Stage AD,91.45619408760165,0.07380834378442429,-1238.1037299891502,174,175
vel1,Stage AD,0.05425765150892213,0.06115341583587764,0.1127617195654651,174,175
vel2,Stage AD,0.003019784886106229,0.0011025126615683202,-1.7390024544576166,174,175
vel3,Stage AD,0.035655368641489535,0.05039633906047189,0.29250081838869835,174,175
Bcc1,Stage AG,2.207618532586261,0.14442263202226,-14.285821215652673,174,175
Bcc2,Stage AG,0.15463101079666006,0.1408446102629985,-0.09788376358824302,174,175
Bcc3,Stage AG,0.5854708233987514,0.7857318129122008,0.2548719375014372,174,175
rho,Stage AG,6.4217829362824155,0.4340531291467718,-13.79492372029632,174,175
press,Stage AG,0.9514618148192847,0.07380834378442429,-11.890979068684521,174,175
vel1,Stage AG,0.07746355070732794,0.06115341583587764,-0.2667084846940213,174,175
vel2,Stage AG,0.00567295631632492,0.0011025126615683202,-4.145479516085702,174,175
vel3,Stage AG,0.032673655825294315,0.05039633906047189,0.3516660845922094,174,175
Bcc1,Stage AD,0.8188612977223371,0.12526728510142515,-5.536912626942699,175,176
Bcc2,Stage AD,0.13274568185412844,0.04003513826035703,-2.315729322348158,175,176
Bcc3,Stage AD,0.5195534528532056,0.5958741168203634,0.12808185791725868,175,176
rho,Stage AD,4.684438989316927,0.8148745914931907,-4.748662479134461,175,176
press,Stage AD,16.23183216733465,0.1966638944083406,-81.53590327887991,175,176
vel1,Stage AD,0.052162554483558735,0.05925394191146414,0.11967790157321834,175,176
vel2,Stage AD,0.002091112099729428,0.0012695998623682553,-0.6470638991947903,175,176
vel3,Stage AD,0.04047524803613068,0.026211668265529772,-0.544169093935869,175,176
Bcc1,Stage AG,2.2263749291252926,0.12526728510142515,-16.7729957771709,175,176
Bcc2,Stage AG,0.09611568363978865,0.04003513826035703,-1.40078310744746,175,176
Bcc3,Stage AG,0.4917172027088497,0.5958741168203634,0.1747968424393127,175,176
rho,Stage AG,7.0453271063390615,0.8148745914931907,-7.645903529068294,175,176
press,Stage AG,0.36723644614578815,0.1966638944083406,-0.8673302857680698,175,176
vel1,Stage AG,0.06909360308686678,0.05925394191146414,-0.1660591828659237,175,176
vel2,Stage AG,0.005486939045298823,0.0012695998623682553,-3.3217861059497364,175,176
vel3,Stage AG,0.03559508981535659,0.026211668265529772,-0.35798643011847875,175,176
Bcc1,Stage AD,0.8990930266530079,0.12540873161165247,-6.1693016514766175,176,177
Bcc2,Stage AD,0.1368034315201388,0.09682399090667103,-0.41290841494030217,176,177
Bcc3,Stage AD,0.4607333861947058,0.7319507659079271,0.3705404684928467,176,177
rho,Stage AD,3.951951891515044,0.5715757944032325,-5.9141344511293985,176,177
press,Stage AD,6.070259896797119,0.23138314058357673,-25.234668098493163,176,177
vel1,Stage AD,0.054094122191104106,0.05973300044320585,0.09440138968848866,176,177
vel2,Stage AD,0.0022902747493287567,0.0010910971421447388,-1.099056684198465,176,177
vel3,Stage AD,0.019141975735044097,0.012204416080825075,-0.5684466678515612,176,177
Bcc1,Stage AG,2.2471762029319557,0.12540873161165247,-16.91881772547293,176,177
Bcc2,Stage AG,0.0918073609987372,0.09682399090667103,0.0518118480859705,176,177
Bcc3,Stage AG,0.6299199344555818,0.7319507659079271,0.13939575748074273,176,177
rho,Stage AG,6.295075703368725,0.5715757944032325,-10.01354494890962,176,177
press,Stage AG,2.5636320168984854,0.23138314058357673,-10.079597287998988,176,177
vel1,Stage AG,0.0632584877886463,0.05973300044320585,-0.0590207643895686,176,177
vel2,Stage AG,0.0044703976437903085,0.0010910971421447388,-3.0971582374443534,176,177
vel3,Stage AG,0.007609754376247361,0.012204416080825075,0.3764753409052155,176,177
Bcc1,Stage AD,0.7379837330947712,0.10108171065663027,-6.300863116589573,177,178
Bcc2,Stage AD,0.1279891742287991,0.0554170116952565,-1.3095647042937633,177,178
Bcc3,Stage AD,0.8161380998590659,0.608950180306219,-0.3402378819375005,177,178
rho,Stage AD,5.031310821766624,1.257929678890893,-2.9996757419720734,177,178
press,Stage AD,128.0788506254114,0.05753694014811258,-2225.028188077236,177,178
vel1,Stage AD,0.05272453606413429,0.060441518976289965,0.1276768526479769,177,178
vel2,Stage AD,0.0025781098964101704,0.0011679695704309822,-1.2073433774981353,177,178
vel3,Stage AD,0.011252944449923464,0.0197794740909103,0.43107969412115055,177,178
Bcc1,Stage AG,2.0634864786179294,0.10108171065663027,-19.414043897886675,177,178
Bcc2,Stage AG,0.06738585420617242,0.0554170116952565,-0.21597776828410997,177,178
Bcc3,Stage AG,0.8004881733476044,0.608950180306219,-0.3145380348603688,177,178
rho,Stage AG,7.22905192058272,1.257929678890893,-4.746785406125818,177,178
press,Stage AG,2.5733972797105866,0.05753694014811258,-43.7260016449624,177,178
vel1,Stage AG,0.0553967262497841,0.060441518976289965,0.0834656840521304,177,178
vel2,Stage AG,0.0022235583943368744,0.0011679695704309822,-0.9037811006637602,177,178
vel3,Stage AG,0.019407779133554307,0.0197794740909103,0.018791953499249225,177,178
Bcc1,Stage AD,0.7602211107175737,0.12166066780083236,-5.248700787686886,178,179
Bcc2,Stage AD,0.10456954678082044,0.11995422577576778,0.12825458124089895,178,179
Bcc3,Stage AD,0.23661130987567688,0.24983278796765143,0.05292130868621803,178,179
rho,Stage AD,3.726573010437308,0.6424758611000754,-4.800331554957577,178,179
