channel,model,shell_absolute_error,shell_persistence_absolute_error,shell_skill,source_snapshot,target_snapshot
Bcc1,Stage AD,3.831373934358501,47.467250659393116,0.9192838455749001,169,170
Bcc2,Stage AD,2.3604674945990842,0.043459388972694024,-53.31432770677448,169,170
Bcc3,Stage AD,63.95870755394925,5.346774382123647,-10.962110794835137,169,170
rho,Stage AD,27203.944572559634,4.432960178035068,-6135.744631127708,169,170
press,Stage AD,2.0646531598541453e+22,0.6709415557168974,-3.077247402939701e+22,169,170
vel1,Stage AD,0.04319956088932729,0.03864959145103729,-0.11772361019790001,169,170
vel2,Stage AD,0.00010242185743155629,0.0009564438708586095,0.8929138859558887,169,170
vel3,Stage AD,0.004189818672138714,0.0021641489443559796,-0.936012159914227,169,170
Bcc1,Stage AG,4.01238401295186,47.467250659393116,0.9154704779144848,169,170
Bcc2,Stage AG,0.5686940716736575,0.043459388972694024,-12.085643519538984,169,170
Bcc3,Stage AG,11.600226973981563,5.346774382123647,-1.1695748024763581,169,170
rho,Stage AG,51.514520236756915,4.432960178035068,-10.62079472132569,169,170
press,Stage AG,171198.13961038893,0.6709415557168974,-255160.03176448005,169,170
vel1,Stage AG,0.04495381190730952,0.03864959145103729,-0.16311221463385062,169,170
vel2,Stage AG,0.00014442304631518207,0.0009564438708586095,0.8489999771909961,169,170
vel3,Stage AG,0.0044946950981783985,0.0021641489443559796,-1.0768880579594104,169,170
Bcc1,Stage AD,3.9620554529595613,48.81367874578767,0.9188330903394274,170,171
Bcc2,Stage AD,0.36022672353780566,0.058755865550347154,-5.130906593983063,170,171
Bcc3,Stage AD,35.03912711272022,5.675230396842717,-5.174044869123451,170,171
rho,Stage AD,159.96773920687275,30.41857387715024,-4.258883597006399,170,171
press,Stage AD,215554.6053006023,1.0447860986404138,-206313.58016248947,170,171
vel1,Stage AD,0.04334086169949386,0.04051670368794922,-0.06970354827716707,170,171
vel2,Stage AD,7.98226190225457e-05,0.0007370502120157574,0.8916998900193802,170,171
vel3,Stage AD,0.003705423411611608,0.0019605313512658044,-0.8900097716974662,170,171
Bcc1,Stage AG,3.8165145102060083,48.81367874578767,0.9218146509694201,170,171
Bcc2,Stage AG,0.19061826414714822,0.058755865550347154,-2.244242295840402,170,171
Bcc3,Stage AG,4.574773114650068,5.675230396842717,0.1939053052022105,170,171
rho,Stage AG,97.13085891961987,30.41857387715024,-2.1931430879007254,170,171
press,Stage AG,93.30447950640234,1.0447860986404138,-88.3048630985998,170,171
vel1,Stage AG,0.0473008837838684,0.04051670368794922,-0.16744156060101667,170,171
vel2,Stage AG,0.00015544236292993225,0.0007370502120157574,0.7891020714792101,170,171
vel3,Stage AG,0.0029071863085585467,0.0019605313512658044,-0.48285632192596184,170,171
Bcc1,Stage AD,3.8885716400048067,51.5634639390001,0.924586687104555,171,172
Bcc2,Stage AD,0.9000320974438168,0.048728701455781315,-17.470266404709097,171,172
Bcc3,Stage AD,72.76297231078627,1.1439036532797342,-62.60935390158471,171,172
