clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_direction_mean,train_direction_weighted_mean,train_plain_mean,train_radial_mean,train_shell_mean,train_total_mean,train_transport_mean,train_transport_weighted_mean
1.0,15.062748413000008,1,15.062748413000008,562.8193359375,714.0,0.9999998807907104,5373.9755859375,296.8426824637822,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,1.0011943809333301,0.07456826468489576,108.33414453232572,1049605.6599501458,1020.2073589425827,115.57478984074257,525312.9336545441,7.16607608150903
1.0,28.669507669999803,2,13.606759256999794,562.8193359375,714.0,0.9999998197669074,5307.46923828125,292.94195005439576,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,0.9989302403160504,0.07439963305846198,108.11065459960983,1036670.3230563402,833.8823995363894,115.26162989305872,518752.10272793827,7.076576260419733
1.0,41.98401829300019,3,13.314510623000388,562.8193359375,714.0,0.9999997715155283,5246.3994140625,287.14668020747956,4e-05,2.6984126984126987e-05,504,168,0,126,42,0.9937394531000228,0.07401302681853593,107.77272672223903,1016515.7665255482,579.9138836735098,114.7841145287281,508547.8402046109,6.937374430590157
0.9761904761904762,55.50336710600095,4,13.51934881300076,562.8193359375,714.0,0.9934097230434418,5113.8125,276.7767397349789,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,0.9859429147271883,0.07343234603557998,107.39820710135002,964037.0473720928,278.2037327548844,114.04901077231922,482157.62555242394,6.577371327888535
0.9761904761904762,68.78658418600025,5,13.283217079999304,562.8193359375,714.0,0.9989713260105678,4840.72216796875,258.77740965854554,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,0.9797433181887581,0.07297060437539779,107.01501965167976,847243.9941904531,121.21759114608003,112.867671713823,423682.6058907995,5.7796821546032975
1.0,82.36523376900186,6,13.578649583001607,562.8193359375,714.0,0.9999996821085612,4292.94873046875,236.2784096201261,8e-05,6.698412698412698e-05,1008,168,0,252,42,0.9697854980116799,0.0722289528192267,106.63786585983776,690934.0739163259,64.6548315898306,111.4232387131893,345499.3643739579,4.7131425339033735
0.9761904761904762,95.81806283500191,7,13.45282906600005,562.8193359375,714.0,0.9941004202479408,3480.4970703125,206.75475618952797,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,0.9587194029064405,0.07140475771331084,106.1037162289999,506350.19449543953,62.37381133061292,109.62924431078478,253206.2841533851,3.4541230194659525
1.0,109.18183047400089,8,13.36376763899898,562.8193359375,714.0,0.999999829701015,2842.960693359375,175.09491284688315,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,0.9554495155101731,0.07116121876273525,105.1616858744639,346857.7724721801,156.2536843879152,107.59974935825225,173507.01307828396,2.3669024247021975
0.9523809523809523,122.64562339700024,9,13.463792922999346,562.8193359375,714.0,0.9894925966149285,2057.5859375,120.30723676936967,0.00012,0.000106984126984127,1512,168,0,378,42,0.9495927464394343,0.07072501065511679,103.59216697185877,150712.58643754112,526.7879004792476,104.69445922342541,75619.68716901017,1.031568797941306
1.0,136.30543105799916,10,13.659807660998922,562.8193359375,714.0,0.999999877952394,458.669921875,55.396936149824235,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,0.9399678707122803,0.07000815657118496,101.86338869247231,55302.29630893682,767.9675483281486,102.3158397076345,28035.131928632483,0.3824423034058405
1.0,150.04802370799916,11,13.742592650000006,562.8193359375,714.0,0.9999999219462985,261.71435546875,49.46623349189758,0.00014666666666666666,0.00013365079365079365,1848,168,0,462,42,0.933792077359699,0.06954818775581348,99.63611384942418,34857.10320014045,1050.127249257158,99.95057576126962,17953.615224698806,0.24491491527398374
0.9761904761904762,163.54024333599955,12,13.492219628000385,562.8193359375,714.0,0.9984217413834163,335.47967529296875,50.1062255643663,0.00016,0.000146984126984127,2016,168,0,504,42,0.9261468251546224,0.06897877466194505,96.61826911564206,32351.63460308952,1508.4628334261479,96.91820004570275,16930.048718257833,0.23095189439686206
0.9761904761904762,177.1286577230003,13,13.58841438700074,562.8193359375,714.0,0.9976641507375807,591.3408203125,57.80633994511196,0.00017333333333333334,0.00016031746031746033,2184,168,0,546,42,0.9186556917570886,0.06842084023021518,93.69341291469478,24719.39081737683,2670.463560545967,93.9486533750199,13694.927188961397,0.18681986275129858
1.0,190.65856010900097,14,13.529902386000686,562.8193359375,714.0,0.9999999262037731,727.966796875,76.39201941092809,0.00018666666666666666,0.00017365079365079368,2352,168,0,588,42,0.9124134917344365,0.06795592549200895,89.60090878951762,33708.41339778191,5461.099038849778,89.93603007548418,19584.75621831584,0.26716618629944594
1.0,204.30287922800017,15,13.644319118999192,562.8193359375,714.0,0.9999999049164,517.0056762695312,61.797623716649554,0.0002,0.00018698412698412697,2520,168,0,630,42,0.9033020937017032,0.06727731487144101,85.75492203523893,25113.420707267665,6328.245300116129,86.03665604428474,15720.833003691896,0.21445633288602683
1.0,217.88096936500006,16,13.57809013699989,562.8193359375,714.0,0.9999999262037731,998.075927734375,80.45523948045005,0.00021333333333333336,0.00020031746031746032,2688,168,0,672,42,0.8998321319619814,0.06701887452221249,81.50542576043378,43067.30417930512,8466.690798357788,81.92394509134944,25766.997488831454,0.35150146239964186
1.0,231.5281961969995,17,13.647226831999433,562.8193359375,714.0,0.9999999432336717,1297.233154296875,93.96185374259949,0.00022666666666666666,0.00021365079365079367,2856,168,0,714,42,0.8922831877356484,0.06645663437995765,76.10087353248326,49764.747949931596,9608.707598234625,76.57230329650602,29686.727774083105,0.40497261005956303
1.0,245.0527803139994,18,13.524584116999904,562.8193359375,714.0,0.9999999020780835,585.911865234375,69.0245633267221,0.00024,0.00022698412698412697,3024,168,0,756,42,0.8871835959809167,0.06607682031488343,71.87718409756641,47955.06419182675,9263.689273320544,72.33353603138079,28609.37673257365,0.3902758854306071
1.0,258.71116571899984,19,13.658385405000445,562.8193359375,714.0,0.9999999162696657,725.1553955078125,87.87141828593754,0.00025333333333333333,0.00024031746031746032,3192,168,0,798,42,0.880856063749109,0.0656055500927875,67.64235487806478,38560.486125545845,7247.627108551295,68.0204066744251,22904.056617048573,0.3124465471487836
1.0,272.305334269,20,13.594168550000177,562.8193359375,714.0,0.9999998949822926,1229.78955078125,87.32520791178658,0.0002666666666666667,0.00025365079365079364,3360,168,0,840,42,0.8763381242752075,0.06526905708709747,64.0202170503991,56830.32359790163,5359.666951253261,64.50966942587581,31094.99527457744,0.4241835439717583
