clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_max,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_loss_max,train_loss_mean,train_loss_min
1.0,13.101990755998486,1,13.101990755998486,715.93798828125,932.0,1.0000001192092896,0.999999980131785,208483.1875,62085.72625732422,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,8875.30956029892,2371.299936002209,33.577348947525024
1.0,24.94271288299751,2,11.840722126999026,715.93798828125,932.0,1.0000001192092896,0.9999999843892597,341684.09375,36243.01829710461,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,15664.782505512238,1569.3756277348314,9.463492393493652
1.0,36.87199161299759,3,11.929278730000078,715.93798828125,932.0,1.0000001192092896,0.9999999900658926,77353.5546875,14973.058609553746,4e-05,2.6984126984126987e-05,504,168,0,126,42,3956.6415309906006,811.6319243169967,5.900382339954376
1.0,48.80685577999793,4,11.934864167000342,715.93798828125,932.0,1.0000001192092896,0.9999999829701015,20160.09765625,4122.92528615679,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,1908.8435976207256,309.5976495515732,1.9007053077220917
1.0,60.674461102998976,5,11.867605323001044,715.93798828125,932.0,1.0000001192092896,0.9999999829701015,7441.6201171875,1022.6737951551165,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,995.8895506262779,156.60557002503248,3.6124460697174072
1.0,72.56129890699776,6,11.886837803998787,715.93798828125,932.0,1.0000001192092896,0.9999999843892597,1456.544677734375,287.21218265805925,8e-05,6.698412698412698e-05,1008,168,0,252,42,1292.619715437293,117.17096956455637,2.741405624896288
1.0,84.44935902999896,7,11.888060123001196,715.93798828125,932.0,1.0000001192092896,0.9999999446528298,794.6177978515625,144.43478988465807,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,703.6126317977905,105.94160782927204,0.3574368730187416
1.0,96.40190877199893,8,11.952549741999974,715.93798828125,932.0,1.0000001192092896,0.999999946071988,520.7479858398438,138.98466313169115,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,929.735798664391,101.50897476689092,1.5290678665041924
1.0,108.3657136139991,9,11.963804842000172,715.93798828125,932.0,1.0000001192092896,0.9999999276229313,519.4642944335938,146.9160856207212,0.00012,0.000106984126984127,1512,168,0,378,42,660.6762703061104,97.30400205039908,1.5499076656997204
1.0,120.19535071399878,10,11.829637099999673,715.93798828125,932.0,1.0000001192092896,0.9999999730359941,824.4854125976562,163.4340797151838,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,663.660074710846,93.68824913942565,2.3019789047539234
1.0,132.2365143529987,11,12.041163638999933,715.93798828125,932.0,1.0000001192092896,0.9999999787126269,1217.400146484375,222.96478141489484,0.00014666666666666666,0.00013365079365079365,1848,168,0,462,42,673.8013528585434,90.54281538884554,1.9672978892922401
1.0,144.12283498499892,12,11.886320632000206,715.93798828125,932.0,1.0000001192092896,0.9999999049164,792.835693359375,202.91354963609152,0.00016,0.000146984126984127,2016,168,0,504,42,662.9838503599167,87.71374053015772,1.018072534352541
1.0,155.96533980200002,13,11.8425048170011,715.93798828125,932.0,1.0,0.9999999560060955,1652.2880859375,229.15305860837302,0.00017333333333333334,0.00016031746031746033,2184,168,0,546,42,664.7315740510821,85.55170420339952,1.9947483763098717
1.0,167.81176127600156,14,11.846421474001545,715.93798828125,932.0,1.0000001192092896,0.9999999574252537,1012.327880859375,244.32380133867264,0.00018666666666666666,0.00017365079365079368,2352,168,0,588,42,661.8603958636522,83.21729976941077,1.8831121027469635
1.0,179.77228596000168,15,11.96052468400012,715.93798828125,932.0,1.0000001192092896,0.9999999560060955,1719.698486328125,248.16255274840765,0.0002,0.00018698412698412697,2520,168,0,630,42,664.6077329181135,81.04994046288941,0.8688549250364304
1.0,191.71316669200132,16,11.940880731999641,715.93798828125,932.0,1.0,0.9999999531677791,2096.41552734375,251.01181444667634,0.00021333333333333336,0.00020031746031746032,2688,168,0,672,42,860.1311923265457,79.44300414346868,0.6861835736781359
1.0,203.64209844400102,17,11.928931751999698,715.93798828125,932.0,1.0,0.9999999673593611,1434.4703369140625,279.7789558001927,0.00022666666666666666,0.00021365079365079367,2856,168,0,714,42,657.7228066921234,78.05017856322229,1.803968794643879
1.0,215.47595150600137,18,11.833853062000344,715.93798828125,932.0,1.0000001192092896,0.999999938976197,1655.731689453125,270.83635036434447,0.00024,0.00022698412698412697,3024,168,0,756,42,660.2834124006331,76.78017622409831,1.1426730901002884
1.0,227.3479008230006,19,11.871949316999235,715.93798828125,932.0,1.0000001192092896,0.9999999517486209,1259.8739013671875,255.07499159517744,0.00025333333333333333,0.00024031746031746032,3192,168,0,798,42,830.5929438620806,75.11161669281621,0.8887135870754719
1.0,239.18904295299944,20,11.841142129998843,715.93798828125,932.0,1.0000001192092896,0.9999999105930328,1197.1715087890625,260.9487500077202,0.0002666666666666667,0.00025365079365079364,3360,168,0,840,42,671.0147521235049,73.78561870616284,1.3525787442922592
0.9761904761904762,251.12606983600017,21,11.937026883000726,715.93798828125,932.0,1.0000001192092896,0.9968926466646648,1431.46826171875,306.3019220332305,0.00028,0.000266984126984127,3528,168,0,882,42,665.2042006254196,72.71394853772861,0.9824545942246914
1.0,263.04779812299967,22,11.921728286999496,715.93798828125,932.0,1.0000001192092896,0.9999999403953552,1143.6505126953125,288.61314183189756,0.0002933333333333333,0.00028031746031746034,3696,168,0,924,42,660.7468602638692,71.58083365737859,1.3037477880716324
1.0,275.0204465580009,23,11.972648435001247,715.93798828125,932.0,1.0000001192092896,0.9999999205271403,2000.0321044921875,308.467159538042,0.0003066666666666667,0.00029365079365079364,3864,168,0,966,42,666.3899856209755,70.8431206505657,1.0116448495537043
1.0,286.90753188599956,24,11.887085327998648,715.93798828125,932.0,1.0000001192092896,0.9999999645210448,1863.6318359375,323.57539524350847,0.00032,0.000306984126984127,4032,168,0,1008,42,676.5267968252301,70.61468507611148,2.2905638329684734
1.0,298.73969502900036,25,11.832163143000798,715.93798828125,932.0,1.0000001192092896,0.9999999304612478,1588.446533203125,306.5828296428635,0.0003333333333333333,0.00032031746031746034,4200,168,0,1050,42,689.9004738256335,69.32028685576681,1.1086917109787464
1.0,310.57492602599996,26,11.835230996999599,715.93798828125,932.0,1.0000001192092896,0.9999999616827283,1467.80517578125,287.5252595118114,0.00034666666666666667,0.00033365079365079364,4368,168,0,1092,42,803.0602469444275,68.09710519796326,1.652429610490799
1.0,322.47882793700046,27,11.903901911000503,715.93798828125,932.0,1.0000001192092896,0.9999999432336717,1418.5924072265625,305.4918606763794,0.00036,0.000346984126984127,4536,168,0,1134,42,673.2826460301876,67.23730143110845,0.9462220594286919
1.0,334.3803979880013,28,11.901570051000817,715.93798828125,932.0,1.0000001192092896,0.9999999332995642,1357.135986328125,254.5181416244734,0.0003733333333333333,0.00036031746031746034,4704,168,0,1176,42,748.1998700127006,65.61907979500081,0.6232440676540136
1.0,346.2575809220016,29,11.877182934000302,715.93798828125,932.0,1.0000001192092896,0.9999999403953552,2241.53466796875,329.6592323751677,0.00038666666666666667,0.0003736507936507937,4872,168,0,1218,42,676.2828379869461,65.61502108146392,1.5287235155701637
