aux_gradient_norm,aux_over_plain_norm_ratio,channel,cosine_with_plain,module,objective,pair_source,plain_gradient_norm,scope,subset_position
2.2602219581604004,1.386483073234558,all,0.9229028820991516,global,direction,0,1.6301835775375366,aggregate,0
1.4164047241210938,0.8688620924949646,all,-0.008053585886955261,global,shell,0,1.6301835775375366,aggregate,0
3152092416.0,1933581312.0,all,0.07813967764377594,global,radial,0,1.6301835775375366,aggregate,0
1576046208.0,966790656.0,all,0.07813967764377594,global,transport,0,1.6301835775375366,aggregate,0
3.4749460220336914,1.9358711242675781,all,0.5849974751472473,global,direction,7,1.795029640197754,aggregate,1
2.980743885040283,1.6605541706085205,all,0.032000135630369186,global,shell,7,1.795029640197754,aggregate,1
188.94369506835938,105.2593765258789,all,0.2920134961605072,global,radial,7,1.795029640197754,aggregate,1
94.49333190917969,52.64165496826172,all,0.2924600839614868,global,transport,7,1.795029640197754,aggregate,1
2.0925021171569824,1.9622076749801636,all,0.34895652532577515,global,direction,14,1.0664019584655762,aggregate,2
54.24449157714844,50.8668327331543,all,0.027373971417546272,global,shell,14,1.0664019584655762,aggregate,2
9592.39453125,8995.1025390625,all,0.0950467512011528,global,radial,14,1.0664019584655762,aggregate,2
4796.61376953125,4497.94140625,all,0.09519408643245697,global,transport,14,1.0664019584655762,aggregate,2
1.6384254693984985,0.9758281111717224,all,0.7861171364784241,global,direction,21,1.679010272026062,aggregate,3
115.43807220458984,68.7536392211914,all,0.15977025032043457,global,shell,21,1.679010272026062,aggregate,3
108498.8671875,64620.73046875,all,0.12805667519569397,global,radial,21,1.679010272026062,aggregate,3
54257.4609375,32315.14453125,all,0.1282104253768921,global,transport,21,1.679010272026062,aggregate,3
1.4650741815567017,1.1311957836151123,all,0.36664673686027527,global,direction,28,1.2951552867889404,aggregate,4
1239.7689208984375,957.2357177734375,all,0.10604367405176163,global,shell,28,1.2951552867889404,aggregate,4
22772.876953125,17583.125,all,0.15468767285346985,global,radial,28,1.2951552867889404,aggregate,4
11434.4873046875,8828.6611328125,all,0.15976856648921967,global,transport,28,1.2951552867889404,aggregate,4
1.5777889490127563,1.8118157386779785,all,0.2500408887863159,global,direction,35,0.8708329796791077,aggregate,5
351.1151428222656,403.194580078125,all,0.12271080166101456,global,shell,35,0.8708329796791077,aggregate,5
167794.9375,192683.265625,all,0.14831124246120453,global,radial,35,0.8708329796791077,aggregate,5
83907.1875,96352.7890625,all,0.14855033159255981,global,transport,35,0.8708329796791077,aggregate,5
0.9341559410095215,1.3298317193984985,all,0.1869959980249405,global,direction,42,0.7024617791175842,aggregate,6
213.83248901367188,304.4044494628906,all,0.13845063745975494,global,shell,42,0.7024617791175842,aggregate,6
583789.9375,831062.9375,all,0.13979142904281616,global,radial,42,0.7024617791175842,aggregate,6
291900.5625,415539.4375,all,0.13984054327011108,global,transport,42,0.7024617791175842,aggregate,6
0.6429615616798401,0.9285869002342224,all,0.182305708527565,global,direction,49,0.6924086213111877,aggregate,7
194.46253967285156,280.8493957519531,all,0.14621129631996155,global,shell,49,0.6924086213111877,aggregate,7
536278.1875,774511.125,all,0.10227636992931366,global,radial,49,0.6924086213111877,aggregate,7
268141.53125,387259.09375,all,0.10232891142368317,global,transport,49,0.6924086213111877,aggregate,7
1.6691449880599976,2.0365607738494873,all,0.3643489480018616,global,direction,56,0.8195900321006775,aggregate,8
265.61260986328125,324.079833984375,all,0.17284248769283295,global,shell,56,0.8195900321006775,aggregate,8
503096.40625,613839.125,all,0.177785262465477,global,radial,56,0.8195900321006775,aggregate,8
251565.28125,306940.375,all,0.1778709441423416,global,transport,56,0.8195900321006775,aggregate,8
1.7486486434936523,1.9726989269256592,all,0.38906797766685486,global,direction,63,0.8864244818687439,aggregate,9
274.4759826660156,309.6439514160156,all,0.19089040160179138,global,shell,63,0.8864244818687439,aggregate,9
407871.53125,460131.15625,all,0.26440566778182983,global,radial,63,0.8864244818687439,aggregate,9
203951.34375,230083.15625,all,0.26451849937438965,global,transport,63,0.8864244818687439,aggregate,9
1.8261528015136719,1.6109391450881958,all,0.4874345660209656,global,direction,70,1.1335951089859009,aggregate,10
177.0963897705078,156.22543334960938,all,0.19785559177398682,global,shell,70,1.1335951089859009,aggregate,10
312074.1875,275296.0,all,0.6253982782363892,global,radial,70,1.1335951089859009,aggregate,10
156051.4375,137660.640625,all,0.6254599690437317,global,transport,70,1.1335951089859009,aggregate,10
1.6739764213562012,1.0403540134429932,all,0.6283591389656067,global,direction,77,1.6090449094772339,aggregate,11
176.3009490966797,109.56869506835938,all,0.20088370144367218,global,shell,77,1.6090449094772339,aggregate,11
89446.3515625,55589.71875,all,0.5429352521896362,global,radial,77,1.6090449094772339,aggregate,11
44737.26953125,27803.6171875,all,0.5431557297706604,global,transport,77,1.6090449094772339,aggregate,11
1.5333184003829956,0.4140678942203522,all,0.7823860049247742,global,direction,84,3.7030603885650635,aggregate,12
56.29813003540039,15.20313549041748,all,0.09261883795261383,global,shell,84,3.7030603885650635,aggregate,12
27047.130859375,7303.994140625,all,0.34962624311447144,global,radial,84,3.7030603885650635,aggregate,12
13526.7041015625,3652.844482421875,all,0.3497430384159088,global,transport,84,3.7030603885650635,aggregate,12
1.5112377405166626,0.07982386648654938,all,0.7301452159881592,global,direction,91,18.932153701782227,aggregate,13
32.2474250793457,1.7033151388168335,all,0.1153082326054573,global,shell,91,18.932153701782227,aggregate,13
7300.5087890625,385.6142883300781,all,0.031079934909939766,global,radial,91,18.932153701782227,aggregate,13
3651.631591796875,192.8798828125,all,0.0315767377614975,global,transport,91,18.932153701782227,aggregate,13
1.0283839702606201,0.07229401171207428,all,0.19558031857013702,global,direction,98,14.22502326965332,aggregate,14
440.92230224609375,30.996244430541992,all,0.37447500228881836,global,shell,98,14.22502326965332,aggregate,14
19526.681640625,1372.699462890625,all,0.644951581954956,global,radial,98,14.22502326965332,aggregate,14
9786.7724609375,687.9969482421875,all,0.6518367528915405,global,transport,98,14.22502326965332,aggregate,14
0.7805090546607971,0.04822351038455963,all,0.18123091757297516,global,direction,105,16.185239791870117,aggregate,15
1185.328125,73.2351303100586,all,0.443509966135025,global,shell,105,16.185239791870117,aggregate,15
57482.4765625,3551.536865234375,all,0.6096087098121643,global,radial,105,16.185239791870117,aggregate,15
28866.685546875,1783.5191650390625,all,0.6161105036735535,global,transport,105,16.185239791870117,aggregate,15
0.6574373841285706,0.03906770050525665,all,0.13122129440307617,global,direction,112,16.828157424926758,aggregate,16
1492.8819580078125,88.71333312988281,all,0.46276605129241943,global,shell,112,16.828157424926758,aggregate,16
123555.75,7342.203125,all,0.3222438097000122,global,radial,112,16.828157424926758,aggregate,16
