aux_gradient_norm,aux_over_plain_norm_ratio,channel,cosine_with_plain,module,objective,pair_source,plain_gradient_norm,scope,subset_position
2.2602219581604004,1.386483073234558,all,0.9229028820991516,global,direction,0,1.6301835775375366,aggregate,0
0.3269897699356079,1.3597158193588257,all,0.826086699962616,spectral_branch,direction,0,0.24048390984535217,aggregate,0
0.07964316755533218,4.5069580078125,all,0.5288662314414978,differential_branch,direction,0,0.01767115853726864,aggregate,0
0.20786748826503754,3.7985520362854004,all,0.5290331840515137,lifting,direction,0,0.054722823202610016,aggregate,0
2.2165849208831787,1.380954384803772,all,0.9294254183769226,projection,direction,0,1.6051108837127686,aggregate,0
0.10511209815740585,2.4095656871795654,all,0.6365376114845276,layer_0,direction,0,0.04362284019589424,aggregate,0
0.14763031899929047,1.738904356956482,all,0.8111790418624878,layer_1,direction,0,0.08489847183227539,aggregate,0
0.21579734981060028,1.365346074104309,all,0.7731686234474182,layer_2,direction,0,0.1580532193183899,aggregate,0
0.26969096064567566,1.2852414846420288,all,0.8528301119804382,layer_3,direction,0,0.20983679592609406,aggregate,0
1.4164047241210938,0.8688620924949646,all,-0.008053585886955261,global,shell,0,1.6301835775375366,aggregate,0
0.5157174468040466,2.144498825073242,all,0.0021319924853742123,spectral_branch,shell,0,0.24048390984535217,aggregate,0
0.2764926850795746,15.646551132202148,all,0.1371396780014038,differential_branch,shell,0,0.01767115853726864,aggregate,0
0.9432149529457092,17.23622703552246,all,-0.25932154059410095,lifting,shell,0,0.054722823202610016,aggregate,0
0.7700846791267395,0.47977039217948914,all,-0.0018194519216194749,projection,shell,0,1.6051108837127686,aggregate,0
0.3546978533267975,8.131011962890625,all,-0.060425765812397,layer_0,shell,0,0.04362284019589424,aggregate,0
0.33307909965515137,3.9232637882232666,all,0.04956264793872833,layer_1,shell,0,0.08489847183227539,aggregate,0
0.3907044529914856,2.471980333328247,all,-0.010299782268702984,layer_2,shell,0,0.1580532193183899,aggregate,0
0.36621707677841187,1.7452471256256104,all,-0.03633643314242363,layer_3,shell,0,0.20983679592609406,aggregate,0
3152092416.0,1933581312.0,all,0.07813967764377594,global,radial,0,1.6301835775375366,aggregate,0
507409344.0,2109951360.0,all,-0.08204031735658646,spectral_branch,radial,0,0.24048390984535217,aggregate,0
839991.5625,47534608.0,all,0.08493909984827042,differential_branch,radial,0,0.01767115853726864,aggregate,0
111992392.0,2046539008.0,all,-0.3422781229019165,lifting,radial,0,0.054722823202610016,aggregate,0
3095018240.0,1928227072.0,all,0.08412719517946243,projection,radial,0,1.6051108837127686,aggregate,0
104863544.0,2403867904.0,all,-0.4338153600692749,layer_0,radial,0,0.04362284019589424,aggregate,0
191033984.0,2250146304.0,all,-0.18161152303218842,layer_1,radial,0,0.08489847183227539,aggregate,0
296856896.0,1878208512.0,all,-0.2980857491493225,layer_2,radial,0,0.1580532193183899,aggregate,0
456500512.0,2175502592.0,all,0.04804585501551628,layer_3,radial,0,0.20983679592609406,aggregate,0
1576046208.0,966790656.0,all,0.07813967764377594,global,transport,0,1.6301835775375366,aggregate,0
253704672.0,1054975680.0,all,-0.08204031735658646,spectral_branch,transport,0,0.24048390984535217,aggregate,0
419994.78125,23767246.0,all,0.0849391371011734,differential_branch,transport,0,0.01767115853726864,aggregate,0
55996196.0,1023269504.0,all,-0.3422781825065613,lifting,transport,0,0.054722823202610016,aggregate,0
1547509120.0,964113536.0,all,0.08412719517946243,projection,transport,0,1.6051108837127686,aggregate,0
52431776.0,1201934080.0,all,-0.4338153600692749,layer_0,transport,0,0.04362284019589424,aggregate,0
95516984.0,1125073024.0,all,-0.18161150813102722,layer_1,transport,0,0.08489847183227539,aggregate,0
148428432.0,939104128.0,all,-0.2980858385562897,layer_2,transport,0,0.1580532193183899,aggregate,0
228250256.0,1087751296.0,all,0.04804585501551628,layer_3,transport,0,0.20983679592609406,aggregate,0
3.4749460220336914,1.9358711242675781,all,0.5849974751472473,global,direction,7,1.795029640197754,aggregate,1
0.5311164855957031,1.480223536491394,all,0.30168217420578003,spectral_branch,direction,7,0.358808308839798,aggregate,1
