channel,pair_count,pearson_p,pearson_r,scope,spearman_p,spearman_r,split,x,y
all,168,0.7379276215624732,0.02600465705285023,aggregate,7.702527743536763e-16,0.5696923988034077,train,plain_residual_loss,state_relative_l2
all,168,0.41252340462963477,-0.0636337808818122,aggregate,0.01703694715131557,-0.18387738470649578,train,plain_residual_loss,residual_relative_l2
all,168,2.400128795208946e-06,-0.35463140147633865,aggregate,0.010645876292231666,-0.19659497572901535,train,plain_residual_loss,residual_cosine_error
all,168,1.084553241352663e-09,0.44847596291540404,aggregate,1.666535967231311e-11,0.48945389019087787,train,plain_residual_loss,shell_error
all,168,0.19086570385439097,0.1014128961713479,aggregate,0.00013725788491745293,0.2900015691356088,train,plain_residual_loss,radial_error
all,168,1.214460291150159e-12,0.5126332236882168,aggregate,2.0250117286747788e-57,0.8864350757487564,train,plain_residual_loss,physical_relative_l2
all,168,1.5061923968591458e-18,0.6106873325977071,aggregate,2.754378003889289e-08,0.41251815894837546,train,plain_residual_loss,rho_press_physical_tail_contribution
Bcc2,168,0.0024204342257470564,0.23252975267145132,per_channel,3.4383845507736687e-14,0.5416023405429211,train,Bcc2_plain_loss,state_relative_l2
Bcc2,168,0.0010069059784429157,-0.2515069873322812,per_channel,0.00010877992527637682,-0.29414965504325247,train,Bcc2_plain_loss,residual_relative_l2
Bcc2,168,1.590467593509168e-16,0.5806198698620526,per_channel,1.9573373697993013e-07,0.38846735944847427,train,Bcc2_plain_loss,shell_error
Bcc2,168,0.1747967062821461,0.10518572492611321,per_channel,0.04663531621856721,0.1537347958352104,train,Bcc2_plain_loss,radial_error
Bcc3,168,0.5065553357268417,-0.05159605585704698,per_channel,5.497035476947545e-12,0.49948370376744405,train,Bcc3_plain_loss,state_relative_l2
Bcc3,168,0.302142320505925,-0.08007891510964682,per_channel,0.04244556872388469,-0.156751585586224,train,Bcc3_plain_loss,residual_relative_l2
Bcc3,168,0.6051895458508415,-0.04016751764532523,per_channel,4.1041258161572146e-07,0.37886526186848624,train,Bcc3_plain_loss,shell_error
Bcc3,168,0.5279381394783231,-0.04903156097479898,per_channel,1.1300785383083201e-25,-0.6961394202297014,train,Bcc3_plain_loss,radial_error
vel3,168,1.291116288180308e-09,0.44664118769736344,per_channel,6.276970178409283e-42,0.8191798988666793,train,vel3_plain_loss,state_relative_l2
vel3,168,0.0006047224805004867,0.2619119627082092,per_channel,7.066829047170092e-06,0.33876625447330194,train,vel3_plain_loss,residual_relative_l2
vel3,168,0.35256351566091637,0.07216762429631599,per_channel,4.109917502855609e-06,0.3468371794028174,train,vel3_plain_loss,shell_error
vel3,168,0.00021279112741279607,0.2820022170197893,per_channel,5.911799845273205e-12,0.498835802612864,train,vel3_plain_loss,radial_error
rho,168,2.896314764297049e-48,0.8508549159811875,per_channel,5.050380701150759e-129,0.9851767302250953,train,rho_plain_loss,state_relative_l2
rho,168,0.00015528067008557862,0.2877746611071744,per_channel,0.0022971989963400854,-0.23370250201203685,train,rho_plain_loss,residual_relative_l2
rho,168,0.16389700869087806,0.10789335252103675,per_channel,0.4500694331049923,-0.05866036312835023,train,rho_plain_loss,shell_error
