above_rin,above_rout,artifact_flag_count,evaluation_bound_clamp_fraction,finite,prediction_global_norm,rho_press_positive,step
False,False,3,0.0003662109375,True,2725.605712890625,True,20
False,False,3,0.0001220703125,True,2739.154541015625,True,21
False,False,3,0.0001201629638671875,True,2756.020751953125,True,22
False,False,3,0.0003662109375,True,2770.291748046875,True,23
False,False,2,0.0003662109375,True,2777.915771484375,True,24
False,False,2,0.0,True,2788.5576171875,True,25
False,False,2,0.0,True,2804.55908203125,True,26
False,False,2,0.00026702880859375,True,2815.62060546875,True,27
False,False,2,0.0003662109375,True,2824.206787109375,True,28
False,False,2,0.000244140625,True,2835.5302734375,True,29
False,False,2,0.0006389617919921875,True,2849.222412109375,True,30
False,False,3,0.001018524169921875,True,2859.06884765625,True,31
False,False,3,0.000766754150390625,True,2865.29150390625,True,32
False,False,3,0.00067901611328125,True,2868.302978515625,True,33
False,False,3,0.0008087158203125,True,2865.724853515625,True,34
False,False,3,0.0008106231689453125,True,2859.0849609375,True,35
False,False,3,0.0007534027099609375,True,2850.200439453125,True,36
False,False,3,0.0007762908935546875,True,2838.99072265625,True,37
False,False,3,0.0005645751953125,True,2830.15478515625,True,38
False,False,4,0.0003414154052734375,True,2823.451171875,True,39
False,False,3,0.0003986358642578125,True,2817.777587890625,True,40
False,False,3,0.0002613067626953125,True,2811.759521484375,True,41
False,False,3,0.0002651214599609375,True,2805.992919921875,True,42
False,False,3,0.0003223419189453125,True,2801.630859375,True,43
False,False,4,0.0004405975341796875,True,2798.847900390625,True,44
False,False,4,0.000553131103515625,True,2799.29345703125,True,45
False,False,3,0.00038909912109375,True,2798.92626953125,True,46
False,False,2,0.000431060791015625,True,2795.90478515625,True,47
False,False,2,0.0005207061767578125,True,2787.02490234375,True,48
False,False,2,0.000461578369140625,True,2773.011474609375,True,49
False,False,1,0.0004673004150390625,True,2756.3876953125,True,50
False,False,1,0.0002918243408203125,True,2736.59375,True,51
False,False,1,0.0002593994140625,True,2713.4384765625,True,52
False,False,1,1.71661376953125e-05,True,2690.482177734375,True,53
False,False,1,0.0,True,2669.71533203125,True,54
False,False,1,0.000148773193359375,True,2647.85400390625,True,55
False,False,1,0.00028228759765625,True,2628.671630859375,True,56
False,False,2,0.0002651214599609375,True,2610.09814453125,True,57
False,False,1,0.0003490447998046875,True,2591.135986328125,True,58
False,False,1,0.00040435791015625,True,2575.54736328125,True,59
False,False,2,0.0002899169921875,True,2561.756591796875,True,60
False,False,2,0.00020599365234375,True,2551.39697265625,True,61
False,False,2,0.000133514404296875,True,2543.326171875,True,62
False,False,2,9.918212890625e-05,True,2537.583251953125,True,63
False,False,2,0.0001049041748046875,True,2533.6962890625,True,64
False,False,2,0.0005016326904296875,True,2532.873779296875,True,65
False,False,2,0.000415802001953125,True,2536.685546875,True,66
False,False,2,0.0007762908935546875,True,2542.230224609375,True,67
False,False,2,0.0006198883056640625,True,2546.184814453125,True,68
False,False,2,0.0009059906005859375,True,2549.532470703125,True,69
False,False,2,0.0008449554443359375,True,2552.6181640625,True,70
False,False,2,0.000591278076171875,True,2554.157958984375,True,71
False,False,3,0.0006504058837890625,True,2560.571044921875,True,72
False,False,2,0.0008296966552734375,True,2567.870361328125,True,73
False,False,2,0.0006999969482421875,True,2572.957763671875,True,74
False,False,2,0.000576019287109375,True,2578.35791015625,True,75
False,False,2,0.0008602142333984375,True,2584.98095703125,True,76
False,False,2,0.0005950927734375,True,2589.118896484375,True,77
False,False,2,0.0001811981201171875,True,2591.922607421875,True,78
False,False,2,0.0001621246337890625,True,2594.5849609375,True,79
False,False,2,4.1961669921875e-05,True,2596.263427734375,True,80
False,False,2,2.86102294921875e-05,True,2598.7587890625,True,81
False,False,2,2.288818359375e-05,True,2599.36865234375,True,82
False,False,2,7.82012939453125e-05,True,2597.68994140625,True,83
False,False,2,5.53131103515625e-05,True,2595.1572265625,True,84
False,False,2,2.09808349609375e-05,True,2593.2626953125,True,85
False,False,2,6.67572021484375e-05,True,2593.29833984375,True,86
False,False,2,0.000102996826171875,True,2596.035400390625,True,87
False,False,2,9.918212890625e-05,True,2602.390869140625,True,88
False,False,2,3.62396240234375e-05,True,2610.09130859375,True,89
False,False,2,7.62939453125e-05,True,2618.794189453125,True,90
False,False,2,5.53131103515625e-05,True,2629.296630859375,True,91
False,False,2,2.09808349609375e-05,True,2640.095703125,True,92
False,False,2,3.814697265625e-05,True,2650.844970703125,True,93
False,False,2,8.7738037109375e-05,True,2659.95458984375,True,94
False,False,2,8.7738037109375e-05,True,2667.3544921875,True,95
False,False,2,8.392333984375e-05,True,2673.479248046875,True,96
False,False,2,8.0108642578125e-05,True,2678.644775390625,True,97
False,False,2,0.000102996826171875,True,2682.48681640625,True,98
False,False,2,0.0001010894775390625,True,2684.718505859375,True,99
False,False,2,8.20159912109375e-05,True,2685.56982421875,True,100
