model,clipping_fraction,parameter_displacement,base_only_gradient_norm_mean,h1_only_gradient_norm_mean,h1_to_base_gradient_ratio_mean,base_h1_gradient_cosine_mean,clip_scale_mean,effective_base_gradient_norm_mean,effective_h1_gradient_norm_mean,effective_base_gradient_projection_mean,effective_h1_gradient_projection_mean,other_prior_gradient_norm_mean,parameter_update_norm_mean
full,1.0,,18.764415651162466,130.2845888010661,7.853249329312263,,,,,,,,0.20707083995276965
plain,1.0,,,,,,,,,,,,0.20796548140235246
no_h1,1.0,111.33540344238281,9.983808204929034,0.0,,,0.14354997214845894,0.9887735102639871,0.0,,,0.7646667665118972,0.20805818875186863
unit_index,1.0,111.33301544189453,9.997028640508653,0.042533587894092006,0.004745127948310511,0.4618727299803868,0.14299254827579663,0.9864225126872836,0.004672755145106711,0.9760127921814273,0.002153080904628413,0.7702489837134878,0.2080583123085671
stored_coordinate,1.0,111.02306365966797,10.169340713818867,0.7944745264202356,0.09179663463189726,0.04065318867835837,0.13899428513532328,0.9811468241274406,0.08987076267119089,0.9645953956979447,0.012332386372359162,0.8555198867494861,0.2085712256612654
