model,validation_average,validation_global,best_epoch,runtime_seconds,finite
canonical_oracle,0.0,0.0,,,True
persistence,0.18908829342539318,0.23507413111724487,,,True
full,0.4627817627402332,0.38733883738026315,28,305.03996859900144,True
plain,0.47458043273197514,0.3816268105551383,27,228.08455666099871,True
no_h1,0.4828240411753495,0.3864974195988429,25,335.4956796739989,True
unit_index,0.4824851856323197,0.38546929081929604,27,333.37410729500016,True
stored_coordinate,0.4442715609344455,0.3625434899471909,25,593.7330916379997,True
