model,Bcc1,Bcc2,Bcc3,rho,press,vel1,vel2,vel3,arithmetic_average,global_normalized_relative_l2
persistence,0.06918829591132131,0.3065995745230527,0.2431578032407225,0.11630872275466138,0.12949292137482452,0.14043734787901932,0.36947157458994223,0.13805010712960158,0.18908829342539318,0.23507413111724487
stage_g_full,0.5055106541450856,0.4585499506894997,0.32455595488527517,0.5899770756428027,0.5127364539388736,0.6369456964636244,0.49395066952141825,0.18002764663528595,0.4627817627402332,0.38733883738026315
stage_g_plain,0.4645074216726072,0.43766182578194696,0.2789447171041712,0.6266171790370134,0.6303060256718584,0.6390807026544815,0.5104312699781605,0.2090943199555618,0.47458043273197514,0.3816268105551383
stage_i_no_h1,0.4956205548629456,0.4454226718500285,0.27624316741753696,0.6370699182794224,0.6387443477055508,0.621346696988679,0.5216117271532723,0.2265332451453609,0.4828240411753495,0.3864974195988429
