mode,status,total_loss,base,selected_h1_raw,selected_h1_weighted,current_upstream_h1,h1_base_value_ratio,h1_base_parameter_gradient_ratio,clip_scale,forward_seconds,loss_seconds,backward_seconds,peak_allocated_bytes,peak_reserved_bytes,finite
no_h1,passed,32.80497741699219,32.783912658691406,-0.0,-0.0,11064.154296875,-0.0,0.0,0.22267672419548035,0.37501741199957905,0.12486825700034387,0.010662848999345442,770999296,977272832,True
unit_index,passed,32.94003677368164,32.783912658691406,2.701209306716919,0.13506047427654266,11064.154296875,0.0041197179816663265,0.002173147164285183,0.22248950600624084,0.01366689399947063,0.008928737001042464,0.011799869000242325,813990400,1019215872,True
stored_coordinate_volume_proxy,passed,35.75601577758789,32.783912658691406,59.02075958251953,2.951038122177124,11064.154296875,0.09001482278108597,0.03698097914457321,0.22237595915794373,0.015103782998266979,0.10619447300086904,0.028009572000883054,814056448,1021313024,True
