category,full,plain,no_h1,unit_index,stored_coordinate,persistence,canonical_oracle
radial_statistics,6.5637290469782394,4.845088301756967,5.06847850245932,5.263588684682562,4.964088401624008,1.0008567599265357,0.0
outer_shell_statistics,7.186381711015022,1.2060037834290263,1.8582033270278033,1.7157964717892005,2.1255356040346793,0.2235660529473889,0.0
step_50_artifact_count,2,1,3,3,2,,
step_100_artifact_count,3,2,1,1,1,,
