model,E_model_oracle_average,E_model_oracle_global,E_model_raw_average,E_model_raw_global,E_oracle_raw_average,E_oracle_raw_global
full,0.6980536605080329,0.9698020578692229,0.8709764178762767,0.9775692558651125,0.4172870698288893,0.5263582454278267
plain,0.6998378156112988,0.9744121688989371,0.8826866180888041,0.9809586489835748,0.4172870698288893,0.5263582454278267
no_h1,0.6996112380317299,0.972799285290785,0.8794414988517388,0.9798066629233193,0.4172870698288893,0.5263582454278267
unit_index,0.6992117872591084,0.9730819980776888,0.8795008103050248,0.9800114149936691,0.4172870698288893,0.5263582454278267
stored_coordinate,0.6907395712156614,0.9673329990725875,0.8721240521165632,0.9758600430944666,0.4172870698288893,0.5263582454278267
