localno,localno_over_persistence,metric,persistence
0.4992729882730301,7.2161480738440025,Bcc1,0.06918829591132131
0.6073825417584953,1.9810286517955595,Bcc2,0.3065995745230527
0.4124951383255899,1.6964092158589954,Bcc3,0.2431578032407225
0.78151287916533,6.719297234600651,rho,0.11630872275466138
0.6790732452466439,5.244095492146852,press,0.12949292137482452
0.8902049373256027,6.33880481773606,vel1,0.14043734787901932
0.759361053927757,2.0552624508949933,vel2,0.36947157458994223
0.36449387204564077,2.6403012617980335,vel3,0.13805010712960158
0.6242245820085112,3.301233358768483,arithmetic_average,0.18908829342539318
0.5409679346725235,2.30126527364558,global,0.23507413111724487
