clip_scale_mean,clipping_fraction,epoch,final_accumulation_count,microbatches,nonfinite_count,optimizer_steps,parameter_displacement,peak_allocated_mib,peak_reserved_mib,train_total_maximum,train_total_mean,train_total_median,train_total_q95,validation_arithmetic_average,validation_global,wall_seconds
0.1496858507284005,1.0,1,3,79,0,20,7.893938064575195,621.53271484375,742.0,55.50312423706055,39.35918757281726,37.68852996826172,50.29342918395996,0.980595706483127,0.9742140518473187,8.719150689000116
0.05708946574626263,1.0,2,3,79,0,20,22.183574676513672,621.9853515625,744.0,50.00187301635742,30.812514582766763,30.037429809570312,42.27304916381834,0.8586736020895769,0.7853145083486731,7.478176975999986
0.051366247463621936,1.0,3,3,79,0,20,34.281673431396484,621.9853515625,786.0,25.792118072509766,14.101414915881579,14.094598770141602,20.623444747924793,0.7577036416015314,0.6641566177298943,7.932044862999874
0.08857079355645259,1.0,4,3,79,0,20,44.53691482543945,621.53271484375,786.0,19.68638038635254,6.5058545583411105,4.859675884246826,14.323560428619382,0.7270103362205689,0.6389355015622783,7.938197149999951
0.10457759589977891,1.0,5,3,79,0,20,53.45185470581055,621.9853515625,786.0,19.545185089111328,4.4058722906474825,2.8363840579986572,13.188949680328369,0.713807340487491,0.6272604583404835,7.495338929000127
0.11713953700607935,1.0,6,3,79,0,20,61.26426696777344,621.9853515625,786.0,18.761066436767578,3.5423028212559373,2.1294522285461426,10.494013214111321,0.6847859008492441,0.6006141749109146,7.407427395000013
0.12136853436554917,1.0,7,3,79,0,20,68.11109161376953,621.53271484375,786.0,17.923995971679688,2.9432959217059462,1.5988428592681885,8.327196025848384,0.6831557727524649,0.5965413660804055,7.895359999999982
0.13989114078655557,1.0,8,3,79,0,20,74.12348175048828,621.9853515625,786.0,17.32271957397461,2.5356019441085524,1.378053903579712,7.100763988494872,0.6607682282676873,0.5705149876100438,7.954956598000081
0.147710865083798,1.0,9,3,79,0,20,79.37837982177734,621.9853515625,786.0,16.403289794921875,2.2449728537209426,1.2991048097610474,6.754494762420651,0.6587248737056862,0.571183611467537,7.463448041999982
0.15377038665040121,1.0,10,3,79,0,20,83.97746276855469,621.53271484375,786.0,16.094329833984375,2.0569245309769353,1.1270500421524048,6.228205204010006,0.6559642372075926,0.5648899345476885,7.415224540000054
0.1581293138899814,1.0,11,3,79,0,20,87.98146057128906,621.9853515625,786.0,15.58775520324707,1.9164169762707963,1.0343208312988281,5.93707990646362,0.6460044393588986,0.5576143491759818,7.840370750000147
0.1557582392641725,1.0,12,3,79,0,20,91.47113800048828,621.9853515625,786.0,15.148893356323242,1.7882067538514923,0.9250737428665161,5.848123407363891,0.6486404600941814,0.5581208505576256,8.168752182000162
0.15469643447494252,1.0,13,3,79,0,20,94.49637603759766,621.53271484375,786.0,15.120729446411133,1.6975491322294067,0.9041125774383545,5.605305099487304,0.6440640587421672,0.557454811651763,8.21166057000005
0.18635612869172224,1.0,14,3,79,0,20,97.11458587646484,621.9853515625,786.0,14.987530708312988,1.6085502146920072,0.8253412246704102,5.35127143859863,0.6382468543066184,0.5494571364420003,8.099652802999799
0.18780088039080184,1.0,15,3,79,0,20,99.37403869628906,621.9853515625,786.0,14.771883010864258,1.5515325888048244,0.7468100786209106,5.301635885238647,0.6367512179714759,0.5517414366812876,8.220020536999982
0.17209591970557525,1.0,16,3,79,0,20,101.30883026123047,621.53271484375,786.0,14.638388633728027,1.500480112395709,0.7627646923065186,5.102447175979612,0.6292117407229573,0.5434998895755657,7.907808937000027
0.20893754565860373,1.0,17,3,79,0,20,102.95684051513672,621.9853515625,786.0,14.076513290405273,1.4525919767874707,0.7314422130584717,5.005548429489133,0.6379132495923105,0.5486653716474643,7.590883859999849
0.22237976644688223,1.0,18,3,79,0,20,104.35259246826172,621.9853515625,786.0,14.135459899902344,1.4034188518041297,0.6572577357292175,4.838362884521482,0.6280542373315456,0.5423166852693644,7.610038596000095
0.2385530511307695,1.0,19,3,79,0,20,105.52212524414062,621.53271484375,786.0,14.133885383605957,1.3647648322431347,0.698423445224762,4.627587032318114,0.6368943623231242,0.5511384873905356,7.524896620000163
0.1930040206657108,1.0,20,3,79,0,20,106.48514556884766,621.9853515625,786.0,13.838379859924316,1.3604662886148766,0.6541087627410889,4.76798958778381,0.6290953767289961,0.5427525735944675,7.9517501310001535
0.22666752621354308,1.0,21,3,79,0,20,107.26848602294922,621.9853515625,786.0,13.7772855758667,1.3164372232895862,0.6345971822738647,4.651006555557251,0.6260510809952837,0.5423285154906907,7.740500673000042
0.23335373504784235,1.0,22,3,79,0,20,107.89186096191406,621.53271484375,786.0,13.558244705200195,1.2967241896858699,0.606324315071106,4.578454256057738,0.6242245820085112,0.5409679346725235,7.7308919609999975
0.2338388747520483,1.0,23,3,79,0,20,108.37612915039062,621.9853515625,786.0,13.628144264221191,1.2802037113829503,0.6310696601867676,4.492221546173094,0.6295434486875335,0.5435709441153712,7.920965927999987
0.2556709279560961,1.0,24,3,79,0,20,108.73644256591797,621.9853515625,786.0,13.628538131713867,1.2639584133896646,0.5965662002563477,4.426618814468382,0.62578622185347,0.5413704014545735,7.525777203999951
0.254194660416661,1.0,25,3,79,0,20,108.9909439086914,621.53271484375,786.0,13.733875274658203,1.2562405774487724,0.6052147746086121,4.36090097427368,0.6261421307680435,0.5422162205239929,7.518131108999796
0.28568658414861064,1.0,26,3,79,0,20,109.15817260742188,621.9853515625,786.0,13.497514724731445,1.247278412308874,0.5863078832626343,4.3916678428649885,0.6255978820097994,0.5419414439003751,7.597290439000062
0.308290198856672,1.0,27,3,79,0,20,109.25532531738281,621.9853515625,786.0,13.607641220092773,1.2423660166655914,0.5947771072387695,4.3197772026062,0.625711216721605,0.5416699454187102,7.898161018999872
0.3192538494179399,1.0,28,3,79,0,20,109.30116271972656,621.53271484375,786.0,13.579343795776367,1.23894276724586,0.5878317952156067,4.3153840541839585,0.6253860350257896,0.5412315189939713,8.070288342999902
0.3439814769206687,1.0,29,3,79,0,20,109.31538391113281,621.9853515625,786.0,13.560909271240234,1.2372952663823018,0.5860625505447388,4.3184805393218975,0.6256161361755909,0.5415190194210951,7.626366561000168
0.3150755718871844,1.0,30,3,79,0,20,109.31887817382812,621.9853515625,786.0,13.536064147949219,1.2363728643218173,0.5859259366989136,4.320323467254637,0.6255776484224994,0.5415187000270111,7.664817779000032
