backward_seconds_derived,device,executed_optimizer_updates_for_reported_runtime,executed_training_epochs_for_reported_runtime,formal_checkpoint_epoch,formal_training_peak_allocated_mib,formal_training_peak_reserved_mib,forward_backward_seconds,forward_seconds_median,inference_seconds_per_sample_median,model,optimizer_update_during_timing,parameter_count,rollout_100_steps_runtime_seconds,timing_peak_allocated_mib,timing_peak_reserved_mib,timing_repeats,total_training_runtime_seconds
0.027494400000023234,NVIDIA GeForce RTX 5070,12600,300,75,490.3427734375,664.0,0.08007435100000748,0.05257995099998425,0.05257995099998425,FNO,False,330648,12.340396511000051,676.15673828125,1464.0,5,2897.360404080999
0.06070874800002457,NVIDIA GeForce RTX 5070,12600,300,300,515.2626953125,706.0,0.11381524099999751,0.05310649299997294,0.05310649299997294,3D CNN/U-Net,False,346488,12.456714948000013,800.80615234375,1468.0,5,3477.0497079779984
0.014221681999970315,NVIDIA GeForce RTX 5070,6300,150,150,562.81591796875,714.0,0.06856954700003826,0.05434786500006794,0.05434786500006794,Differential LocalNO,False,358296,13.115835661000006,779.25537109375,1468.0,5,1675.6262465409964
0.12414170700003524,NVIDIA GeForce RTX 5070,12600,300,300,648.0830078125,908.0,0.18539743899998484,0.0612557319999496,0.0612557319999496,Index-space DISCO3D LocalNO,False,363480,13.698541487,864.36279296875,1590.0,5,8874.88544394
1.251338664000059,NVIDIA GeForce RTX 5070,12600,300,300,1608.5966796875,1992.0,1.8835458519999975,0.6322071879999385,0.6322071879999385,Anisotropic spherical DISCO3D LocalNO,False,363480,71.09598053400003,1609.45068359375,2232.0,5,92127.67364240902
