metric,model,rank,ranking_is_not_scientific_significance,value
shell_absolute_error,FNO,1,True,0.06644144813186995
shell_absolute_error,3D CNN/U-Net,2,True,0.37117997011805814
shell_absolute_error,Anisotropic spherical DISCO3D LocalNO,3,True,0.5509689348371535
shell_absolute_error,Differential LocalNO,4,True,0.6842435553120538
shell_absolute_error,Index-space DISCO3D LocalNO,5,True,0.9396870890805022
