metric,model,rank,ranking_is_not_scientific_significance,value
inference_seconds_per_sample_median,FNO,1,True,0.05257995099998425
inference_seconds_per_sample_median,3D CNN/U-Net,2,True,0.05310649299997294
inference_seconds_per_sample_median,Differential LocalNO,3,True,0.05434786500006794
inference_seconds_per_sample_median,Index-space DISCO3D LocalNO,4,True,0.0612557319999496
inference_seconds_per_sample_median,Anisotropic spherical DISCO3D LocalNO,5,True,0.6322071879999385
