absolute_residual_error_mean,absolute_residual_error_median,channel,model,pair_count,region,residual_cosine_mean,residual_cosine_median,residual_l2_mean,residual_l2_median,stage_ag_minus_stage_ad_absolute_residual_error_mean,stage_ag_minus_stage_ad_residual_cosine_mean,stage_ag_minus_stage_ad_residual_l2_mean,stage_ag_minus_stage_ad_state_l2_mean,state_l2_mean,state_l2_median
3.5643937222651707,3.5252501172824706,ALL,Stage AD,42,inner,0.7547017754385308,0.7628138934454569,0.7040898557188243,0.7082787621395604,,,,,0.24894544520467038,0.2500248833043996
0.47062223139155696,0.4862741136091496,Bcc1,Stage AD,42,inner,0.7015294395908536,0.6982497488557138,0.7285364124868102,0.7316377353944191,,,,,0.2668749251835968,0.2620057690408586
15.814409235983502,16.177399798506304,Bcc2,Stage AD,42,inner,0.6812644479656406,0.6899185060339357,0.7982700364705764,0.7760715372433227,,,,,0.4399172236879307,0.4495675354112688
8.21736916845499,8.127958415006262,Bcc3,Stage AD,42,inner,0.8036720294517821,0.8067219300192607,0.6334235434515564,0.6379597046984902,,,,,0.1898040878713122,0.18815507535256826
0.1605473663945672,0.1700556984499635,press,Stage AD,42,inner,0.3201014964127391,0.29597583937559374,0.968835473481483,0.974772356482664,,,,,0.14409270983732408,0.15089869687297897
0.12088098830420343,0.12906570635344666,rho,Stage AD,42,inner,0.26976436233252477,0.246715503969557,1.0111830747495205,1.030884431811359,,,,,0.20432734288334634,0.22066282856343333
0.18783453379942786,0.19499466552155992,vel1,Stage AD,42,inner,0.23824624285291363,0.2417326171243524,1.0617980853940976,1.0633394891042593,,,,,0.1905830090892764,0.1999083495858724
1.9197415079930533,1.9872237586976538,vel2,Stage AD,42,inner,0.5353604321329912,0.5498551945954318,0.8982086416273344,0.9076781085143654,,,,,0.8672399423286046,0.8997479095891121
1.6237447458000565,1.62985305220893,vel3,Stage AD,42,inner,0.4204187737050132,0.40480484019993657,1.0059111401832912,1.0023252562326013,,,,,0.1409405833642972,0.14146554363873143
0.43106062330536715,0.3822406018848312,ALL,Stage AD,42,middle,0.6452859832515399,0.6118096323797579,0.8571567773369231,0.8289178175869392,,,,,0.16006941970698307,0.15244493727660008
0.07331776181782147,0.06703977941970521,Bcc1,Stage AD,42,middle,0.5256525488826372,0.5973091146267708,0.8820220517480428,0.8591523680022555,,,,,0.07228598987840695,0.0758790016974781
1.580836674319738,1.3209475642477617,Bcc2,Stage AD,42,middle,0.6955466752862854,0.6814144380976657,0.825831280561941,0.7966186739629448,,,,,0.3909828100964055,0.3795608368377139
0.8869276370963914,0.7897495172224953,Bcc3,Stage AD,42,middle,0.4516427153734486,0.42684821397648187,0.958580037985409,1.0145087018650119,,,,,0.08161390843310579,0.07546177796867494
0.0734536895416048,0.06838180120683324,press,Stage AD,42,middle,0.08955711952958656,0.06474323685236189,1.0057746256904763,0.9992837132993813,,,,,0.17424549789244367,0.17151623680436107
0.05131662468050768,0.04819737796584923,rho,Stage AD,42,middle,-0.06456174744170076,-0.08993858721971724,1.0428114684480778,1.042547366605835,,,,,0.1412437734350957,0.13274316332318992
