candidate_gate2_severe_global,candidate_gate2_severe_shell_radial,channel,delta_shrink_ratio,finite,first_delta_norm,first_global_variance_ratio_over_input,first_radial_variance_ratio_over_input,first_shell_variance_ratio_over_input,first_std,global_variance_ratio_second_over_first,legacy_flags,model_application_count,radial_variance_ratio_second_over_first,second_delta_norm,second_std,shell_variance_ratio_second_over_first,snapshot,std_ratio_second_over_first
False,False,Bcc1,0.3927260428564139,True,129.77536010742188,0.9309896645113706,1573.835263816012,0.6856731884098993,0.5613247752189636,1.1449454415580926,"[""Bcc1:possible_high_frequency_ripple""]",2,1.1924563079536024,50.966163635253906,0.600629448890686,1.2689435093416026,11,1.070021270050641
False,False,Bcc2,0.4327881220006581,True,342.78759765625,0.730537268720618,0.743489600413337,0.6256555509169719,1.4519199132919312,0.8911310497798435,"[""Bcc2:possible_high_frequency_ripple""]",2,0.8674231080156193,148.35440063476562,1.3706085681915283,1.0400013698107904,11,0.9439973621437245
False,False,Bcc3,0.6474861610582618,True,286.20135498046875,0.9766843624670002,151.52767172187905,1.7639226131331416,2.743452310562134,1.0966523082872521,[],2,1.193227516398874,185.31141662597656,2.8729753494262695,1.2687477716784539,11,1.0472116968702097
False,False,rho,0.3602116792347217,True,173.45545959472656,0.7215251362592673,1.0695339893985278,3.9068758344917716,0.8804522156715393,1.037187350833854,[],2,0.9464124145816966,62.480682373046875,0.8966736197471619,1.128173619498874,11,1.0184239459983073
False,False,press,0.24883894352928132,True,212.46600341796875,0.6366800978792241,0.7970238015419698,2.9203732640478983,0.7993639707565308,1.0204967150332378,"[""press:possible_high_frequency_ripple""]",2,1.0062047950038469,52.869815826416016,0.8075146079063416,0.879669875395795,11,1.0101964029503316
False,False,vel1,0.25148451084609785,True,296.4829406738281,0.6938008606156151,0.6884163713784014,0.9801686419550173,0.6868399381637573,1.0599034497606712,[],2,0.9123332626930537,74.56086730957031,0.7071127891540527,1.1685031338387293,11,1.0295161213899329
False,False,vel2,0.45083740049758425,True,676.70703125,0.49870929191145896,12.931670590574395,0.6262263587037946,2.0316903591156006,0.7847461339403802,[],2,1.3093392348941408,305.0848388671875,1.7997912168502808,0.9034861581751243,11,0.8858590132965606
False,False,vel3,0.4105553831709285,True,296.823486328125,0.9966128954775672,0.9946054868188534,1.4095138200142274,2.608826160430908,0.9833393621301739,[],2,0.9810113963825899,121.86248016357422,2.5870025157928467,1.6031464165091547,11,0.9916346880566175
False,False,Bcc1,0.3103885103175829,True,68.55197143554688,0.9726297048385263,213.4435183609599,0.9639889632330205,0.711482048034668,1.0032221642511328,"[""Bcc1:possible_high_frequency_ripple""]",2,0.869188544483592,21.27774429321289,0.7126273512840271,0.9960068280952019,50,1.0016097430040896
False,False,Bcc2,0.46516590163001226,True,197.28436279296875,1.0170582796302352,0.9717455764898658,1.005887341267988,2.169417381286621,1.0140249552734566,"[""Bcc2:possible_high_frequency_ripple""]",2,1.0063549550242363,91.76995849609375,2.184577465057373,1.0085991070533982,50,1.0069880899367372
False,False,Bcc3,0.7028854581850539,True,126.05513000488281,1.0160703740306725,22.397473974010314,1.0675556442677794,3.2471816539764404,1.0194352873416843,[],2,1.0585774979374132,88.6023178100586,3.2785849571228027,1.0336899329875773,50,1.009670941293939
False,False,rho,0.32181537791385756,True,93.2483139038086,0.9829666674562781,0.9141001451242566,2.9744281985065615,1.0384494066238403,1.002538004570597,[],2,1.0108063830815304,30.00874137878418,1.0397663116455078,0.9994601140315559,50,1.0012681455767296
False,False,press,0.34533143741279415,True,67.28313446044922,1.004541121928757,1.0132441708719178,1.351454487990789,0.9346274733543396,1.0091142657060272,"[""press:possible_high_frequency_ripple""]",2,1.010470161497658,23.234981536865234,0.9388770461082458,0.959610991612934,50,1.0045468091566523
False,False,vel1,0.2544271237214379,True,128.7878875732422,1.1336323491994909,1.499476722796994,0.961240654939546,0.9528787136077881,1.0102732558979186,[],2,1.0403775054420403,32.76713180541992,0.957760751247406,0.9914040246337477,50,1.0051234617479632
False,False,vel2,0.4546279496559549,True,292.9524841308594,0.9128263002556406,4.914934518305314,0.9253871537104083,2.6762378215789795,0.9884562410238288,[],2,0.7063561215905891,133.18438720703125,2.6607460975646973,1.005024140221618,50,0.9942113799119907
False,False,vel3,0.4979042121679205,True,142.93821716308594,0.9989534012453151,1.0154822867136128,0.7829071446658862,2.7990357875823975,1.0110503428107132,[],2,1.0088727076399902,71.16954040527344,2.8144583702087402,0.9036548450006141,50,1.0055099626431228
False,False,Bcc1,0.2606543242279214,True,256.50140380859375,0.5482806711208607,407.27337235839644,0.6549059575852505,0.800614058971405,0.9378015880366468,"[""Bcc1:possible_high_frequency_ripple""]",2,1.1458827025492195,66.85820007324219,0.7753158807754517,0.9484356624939138,90,0.9684015314089596
False,False,Bcc2,0.6070382053438771,True,337.06024169921875,1.0093488692799715,1.0245447670864165,1.6233590129457052,3.0381827354431152,0.9342395761022104,"[""Bcc2:possible_high_frequency_ripple""]",2,0.9651509735308766,204.6084442138672,2.9365878105163574,0.9520301635621455,90,0.9665606272652523
False,False,Bcc3,0.6486538439841899,True,568.0349731445312,0.9106071792318005,5.698880884325832,0.9783337980750465,4.0727858543396,0.9571563647745212,"[""Bcc3:possible_field_collapse""]",2,1.7226893095130618,368.45806884765625,3.984584093093872,1.082285421656211,90,0.9783436290538704
False,False,rho,0.3741886407771436,True,259.9098815917969,0.6667563031357833,1.1279289679310427,0.6259456981588366,0.9484670758247375,0.8822690941588445,[],2,0.8249808796332899,97.25532531738281,0.8908873796463013,0.9391145501459965,90,0.9392918345337734
False,False,press,0.36034866342816735,True,202.09359741210938,0.7412460505749889,0.8370038241884198,0.7693056150072329,0.8506190776824951,0.8762716857335433,[],2,0.8679858812426452,72.82415771484375,0.7962592840194702,0.9127735783394872,90,0.9360938461301295
False,False,vel1,0.3471464450822862,True,273.8438720703125,0.7618280636139488,1.0525774571442985,0.5298083044148285,1.1305195093154907,0.9416249854844554,[],2,0.9453080162375354,95.06392669677734,1.0970263481140137,0.8164098923690836,90,0.9703736548325853
False,False,vel2,0.6326473720341768,True,405.15631103515625,0.7576059701202055,18.76721119974694,1.2591917655745588,2.246953248977661,0.8614140141128275,[],2,1.1070188895079935,256.3210754394531,2.0854508876800537,0.9418788872694766,90,0.9281238444230697
False,False,vel3,0.6287527109840341,True,357.0020446777344,0.9234110299503255,0.9090424425067573,1.1260857186520243,2.7145979404449463,0.8924554946996901,[],2,0.7969059348717625,224.46600341796875,2.56447696685791,0.9657181004719668,90,0.9446986342432611
