channel_in,channel_out,epsilon,matrix_kind,maximum_gain,maximum_input_norm,maximum_mean_response,maximum_output_norm,maximum_std_response,maximum_texture_fraction,mean_gain,mean_input_norm,mean_mean_response,mean_output_norm,mean_std_response,mean_texture_fraction,median_gain,median_input_norm,median_mean_response,median_output_norm,median_std_response,median_texture_fraction,minimum_gain,minimum_input_norm,minimum_mean_response,minimum_output_norm,minimum_std_response,minimum_texture_fraction,state_count
Bcc1,Bcc1,0.001,constant_field_finite_difference,0.700255274772644,512.0,0.01439321506768465,358.53070068359375,0.7001922130584717,0.9999897571494631,0.6194120844205221,512.0,0.009019525980369912,317.1389872233073,0.6193386581208971,0.999880418418607,0.6401060819625854,512.0,0.009395763278007507,327.73431396484375,0.6400994658470154,0.9999099051448479,0.43498659133911133,512.0,0.0029064230620861053,222.713134765625,0.4349473714828491,0.9997434506756486,9
Bcc1,Bcc2,0.001,constant_field_finite_difference,1.4037781953811646,512.0,0.06759673357009888,718.7344360351562,1.4021497964859009,0.9999659600067496,1.2925917903582256,512.0,0.045100861539443336,661.8069966634115,1.2916880713568792,0.9992996928734894,1.3477197885513306,512.0,0.0461302325129509,690.0325317382812,1.3473135232925415,0.9991877448128366,0.944862425327301,512.0,0.010776657611131668,483.7695617675781,0.9440950155258179,0.998839988467821,9
Bcc1,Bcc3,0.001,constant_field_finite_difference,1.8292465209960938,512.0,0.003596661612391472,936.57421875,1.829227089881897,0.9999977652868174,1.6468559503555298,512.0,-0.010375097290509276,843.1902465820312,1.6468011273278131,0.9999600947242373,1.7070187330245972,512.0,-0.008405100554227829,873.9935913085938,1.7070149183273315,0.9999894426996659,1.1441236734390259,512.0,-0.02235790342092514,585.7913208007812,1.1439051628112793,0.9998090148531847,9
Bcc1,press,0.001,constant_field_finite_difference,0.7703766226768494,512.0,0.0036472042556852102,394.4328308105469,0.7703765630722046,0.999999922629214,0.684444334771898,512.0,-0.0021540129382628947,350.4354994032118,0.6844237082534366,0.9999620824031832,0.7119702100753784,512.0,-0.0004513886524364352,364.52874755859375,0.7119700312614441,0.9999987753191538,0.48881012201309204,512.0,-0.010229655541479588,250.27078247070312,0.48870304226875305,0.9997809379562396,9
Bcc1,rho,0.001,constant_field_finite_difference,0.9889413714408875,512.0,0.0021186983212828636,506.3379821777344,0.9889410734176636,1.0000000616257199,0.8870499862564935,512.0,-0.004005479218903929,454.16959296332465,0.8870282106929355,0.9999721612689453,0.9211807250976562,512.0,-0.004539235029369593,471.64453125,0.92117840051651,0.9999883377836731,0.6465529203414917,512.0,-0.01228523813188076,331.03509521484375,0.6465151309967041,0.99987244093341,9
Bcc1,vel1,0.001,constant_field_finite_difference,0.9279115796089172,512.0,-4.330230876803398e-05,475.0907287597656,0.9279035329818726,0.9999998963500499,0.8238838977283902,512.0,-0.005305675712103645,421.8285556369358,0.8238598969247606,0.9999707962066816,0.8583171367645264,512.0,-0.004409366752952337,439.4583740234375,0.8582412600517273,0.9999869609724659,0.5750571489334106,512.0,-0.011406145989894867,294.42926025390625,0.5750570893287659,0.9999116677217467,9
Bcc1,vel2,0.001,constant_field_finite_difference,1.665110468864441,512.0,0.021952351555228233,852.5365600585938,1.6650679111480713,1.0,1.4879795842700534,512.0,0.0061208343961172635,761.8455471462673,1.4879328542285495,0.9999640024014269,1.5568722486495972,512.0,0.006469869054853916,797.1185913085938,1.5568703413009644,0.9999759715723104,1.038036584854126,512.0,-0.014001384377479553,531.4747314453125,1.0379421710968018,0.9998563113380756,9
Bcc1,vel3,0.001,constant_field_finite_difference,1.4699523448944092,512.0,0.05220112204551697,752.6156005859375,1.4694327116012573,0.9998510893891491,1.3154008057382371,512.0,0.03619426633748743,673.4852125379774,1.31486494673623,0.9996027028826688,1.357169270515442,512.0,0.037468329071998596,694.8706665039062,1.356950283050537,0.9996464154064268,0.971058189868927,512.0,0.016757560893893242,497.1817932128906,0.9709135890007019,0.9992784084704212,9
Bcc2,Bcc1,0.001,constant_field_finite_difference,0.7034192085266113,512.0,0.0038533462211489677,360.150634765625,0.7034141421318054,0.9999974758679453,0.6253189378314548,512.0,-0.0037213657051324844,320.16329616970484,0.6252971390883127,0.9999653228526617,0.645147979259491,512.0,-0.0029134582728147507,330.3157653808594,0.6450758576393127,0.999981112427762,0.4398125410079956,512.0,-0.009645529091358185,225.18402099609375,0.43980464339256287,0.9998882091822391,9
Bcc2,Bcc2,0.001,constant_field_finite_difference,1.4454697370529175,512.0,0.19242922961711884,740.0805053710938,1.43495512008667,0.9965902818711682,1.3379281494352553,512.0,0.16629090325699913,685.0192125108507,1.3273892667558458,0.9922184201620663,1.3904826641082764,512.0,0.17822085320949554,711.9271240234375,1.3782782554626465,0.9922403998987879,0.9792401790618896,512.0,0.08079589158296585,501.3709716796875,0.9759012460708618,0.9888446017464938,9
