all_finite,channel_in,epsilon,maximum_cross_channel_mixing_fraction,maximum_output_norm,maximum_positive_negative_symmetry_error,maximum_radial_support_radius_90pct_cells,mean_cross_channel_mixing_fraction,mean_output_norm,mean_positive_negative_symmetry_error,mean_radial_support_radius_90pct_cells,median_cross_channel_mixing_fraction,median_output_norm,median_positive_negative_symmetry_error,median_radial_support_radius_90pct_cells,minimum_cross_channel_mixing_fraction,minimum_output_norm,minimum_positive_negative_symmetry_error,minimum_radial_support_radius_90pct_cells,region,state_count
True,Bcc1,0.001,0.9644029216946676,2265.709716796875,20.2016347983642,43.0,0.9602278239424756,2012.7383761935764,18.70280376912639,40.55555555555556,0.9600887433281313,2098.811279296875,18.51804855951639,40.0,0.9577372174494989,1351.5843505859375,17.976994867799917,39.0,inner,9
True,Bcc2,0.001,0.8716613755446438,2265.5712890625,19.50494930054211,43.0,0.8568146231253563,2012.6260443793403,17.97908131213976,40.55555555555556,0.8616381170487042,2098.81396484375,18.54465941812507,40.0,0.8298045551302652,1351.06884765625,15.48508860890787,39.0,inner,9
True,Bcc3,0.001,0.7576088100736149,2265.89794921875,34.77351881733861,43.0,0.745144004748202,2012.6972520616318,30.786335943325398,40.55555555555556,0.750636505587729,2098.6943359375,31.694588145625698,40.0,0.7259270367210342,1351.4051513671875,17.975324423453873,39.0,inner,9
True,press,0.001,0.9717521949739688,2265.612060546875,20.95541607576104,43.0,0.970044718574674,2012.6207275390625,19.923704390850176,40.55555555555556,0.9706073111796405,2098.697021484375,19.913914714402114,40.0,0.9657652444035854,1351.5194091796875,18.56969504574824,39.0,inner,9
True,rho,0.001,0.9372062111788044,2265.63525390625,19.5048975329911,43.0,0.9317339202827932,2012.6212022569443,18.685826862178896,40.55555555555556,0.9320762344359509,2098.585693359375,18.767219497942676,40.0,0.9226373116783013,1351.4820556640625,17.85858131075613,39.0,inner,9
True,vel1,0.001,0.9080904803633275,2265.65771484375,19.718455038930966,43.0,0.8976503279450537,2012.7246907552083,18.530169740644688,40.55555555555556,0.8950138572954034,2098.52734375,18.321545159852914,40.0,0.889738562457568,1351.33447265625,17.741698958792306,39.0,inner,9
True,vel2,0.001,0.8000149517898867,2265.54541015625,20.423892617898446,43.0,0.7726989085675867,2012.6622178819443,17.69202601826314,40.55555555555556,0.7740460284186428,2098.687255859375,17.14141888227924,40.0,0.7515995737522321,1351.5562744140625,15.079202572709049,39.0,inner,9
True,vel3,0.001,0.8711591109038771,2265.89794921875,33.79006070875589,43.0,0.8656786959373546,2012.7880723741318,25.66748764596966,40.55555555555556,0.8660191954571518,2098.6943359375,23.260115587519504,40.0,0.8621811068909275,1351.5562744140625,17.773127090044362,39.0,inner,9
True,Bcc1,0.001,0.9644283631326398,2265.52490234375,21.48713434069292,28.0,0.9602227814895338,2012.6236843532986,19.27001359126212,27.22222222222222,0.9600738594824741,2098.417724609375,19.127217142237217,27.0,0.9576923888694466,1351.1922607421875,18.00536410745939,27.0,middle,9
True,Bcc2,0.001,0.8715856864237953,2265.501953125,18.731169284184293,28.0,0.8567929547908368,2012.6037190755208,17.004192714302203,27.22222222222222,0.8615596049635716,2098.43798828125,17.192711320756757,27.0,0.8298472507796779,1351.2047119140625,15.198811877240605,27.0,middle,9
True,Bcc3,0.001,0.7574998778237264,2265.190673828125,16.946810060980297,28.0,0.7451459624492957,2012.6158854166667,15.70366449083115,27.22222222222222,0.7505752885268777,2098.69677734375,15.811580014480935,27.0,0.7258826042178032,1351.389892578125,14.108113085842067,27.0,middle,9
True,press,0.001,0.9717714469384062,2265.88671875,22.64273081817993,28.0,0.9700438630294292,2012.6828748914932,20.611523787426492,27.22222222222222,0.9705999758134138,2098.442138671875,20.606494623751527,27.0,0.9657658926509888,1351.360107421875,19.209117623899413,27.0,middle,9
True,rho,0.001,0.9371567984591154,2265.705810546875,19.498184096799108,28.0,0.9317210637946991,2012.6446533203125,18.432643333156605,27.22222222222222,0.9320459881252724,2098.694091796875,18.37884812298367,27.0,0.9226311901402181,1351.488525390625,17.356486910745595,27.0,middle,9
True,vel1,0.001,0.9080544913698907,2265.720458984375,21.17612718552451,28.0,0.8976223835202446,2012.5894504123264,19.0553329214622,27.22222222222222,0.8949914204504942,2098.52001953125,18.927928835175997,27.0,0.889703839825117,1351.08935546875,17.976630802459056,27.0,middle,9
