all_cross_channel,axis,band,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
False,phi,high_k,Bcc1,Bcc1,False,0.001,0.6807861328125,0.024761952130004997,0.5906716055340238,0.013807971311297133,0.6027035117149353,0.016141607313755153,0.40433141589164734,0.004489384718134482,phi_high_k,9
True,phi,high_k,Bcc1,Bcc2,True,0.001,1.354832649230957,0.005366752277224921,1.2050621840688918,-0.006773003559340609,1.254268765449524,-0.006311093764691207,0.8337740302085876,-0.02396080957198799,phi_high_k,9
True,phi,high_k,Bcc1,Bcc3,True,0.001,1.7537564039230347,-0.004359992975538119,1.5240440633561876,-0.012118922014214105,1.5846065282821655,-0.011661745645748485,1.0226380825042725,-0.02012384647885708,phi_high_k,9
True,phi,high_k,Bcc1,press,True,0.001,0.7476324439048767,0.022508258049639844,0.6508792108959622,0.007211610358671117,0.6712305545806885,0.006480689820019867,0.45934927463531494,0.0010138882214399535,phi_high_k,9
True,phi,high_k,Bcc1,rho,True,0.001,0.9571017026901245,0.036071327832663334,0.8384557498825921,0.017132590682668893,0.8697815537452698,0.013015740577324094,0.5959022641181946,0.011260592301141105,phi_high_k,9
True,phi,high_k,Bcc1,vel1,True,0.001,0.8980928063392639,0.006152315665453233,0.7756917807790968,-0.008831198844657924,0.7949008345603943,-0.010812381208051135,0.5189856886863708,-0.018258625547081794,phi_high_k,9
True,phi,high_k,Bcc1,vel2,True,0.001,1.6072168350219727,0.01272589677858642,1.3968161675665114,0.0037916007797069084,1.43306565284729,0.004218800726233709,0.962887704372406,-0.00846422492648824,phi_high_k,9
True,phi,high_k,Bcc1,vel3,True,0.001,1.41907799243927,0.009977771828926901,1.225585699081421,0.0006793685382775602,1.2386436462402344,0.00403505104498353,0.8694207668304443,-0.014177867243909091,phi_high_k,9
True,phi,high_k,Bcc2,Bcc1,True,0.001,0.6777406142795452,0.014714509163873518,0.5881581789481879,0.008359982985116183,0.6006357431790675,0.008396047698668644,0.39734008296371,0.004000842102460447,phi_high_k,9
False,phi,high_k,Bcc2,Bcc2,False,0.001,1.3573991869329922,0.02248269589695989,1.2092212165924638,0.0169743720955059,1.2581340824445535,0.018479205173043994,0.8350213667763094,0.009563553900833997,phi_high_k,9
