all_same_shell,channel_in,channel_out,direction,epsilon,maximum_energy_fraction,maximum_gain,mean_energy_fraction,mean_gain,median_energy_fraction,median_gain,minimum_energy_fraction,minimum_gain,same_shell,shell_in,shell_out,state_count
True,Bcc1,Bcc1,same,0.001,0.019442822532466507,0.3127806484699249,0.013485630450153456,0.29848169949319625,0.012351384145495291,0.3017911911010742,0.01186238423097672,0.28270089626312256,True,1,1,9
True,Bcc1,Bcc2,same,0.001,0.09516891706837634,0.7123498916625977,0.06395144406977325,0.6474953161345588,0.06275564806892137,0.6384395360946655,0.04939274629797803,0.6212512850761414,True,1,1,9
True,Bcc1,Bcc3,same,0.001,0.16743096156702286,0.8791986703872681,0.10107018319782933,0.8102714286910163,0.09342344423559562,0.8034986853599548,0.07681746840128915,0.7699496150016785,True,1,1,9
True,Bcc1,press,same,0.001,0.02138467806428082,0.33628299832344055,0.015795280534425568,0.3230288028717041,0.014899387599347029,0.323367714881897,0.013391637255455186,0.30263808369636536,True,1,1,9
True,Bcc1,rho,same,0.001,0.03142672794534329,0.41932904720306396,0.024140771778115296,0.400190810362498,0.023369255541639294,0.40058064460754395,0.02077620331810079,0.36687809228897095,True,1,1,9
True,Bcc1,vel1,same,0.001,0.03755582955337693,0.4518877863883972,0.027366879110190718,0.4251990252070957,0.026328378648655282,0.42529362440109253,0.02156170258681883,0.40106141567230225,True,1,1,9
True,Bcc1,vel2,same,0.001,0.11654860774172776,0.8294165730476379,0.08896869365935495,0.7666992346445719,0.08658879026950698,0.7612606883049011,0.07071329758191508,0.7065221071243286,True,1,1,9
True,Bcc1,vel3,same,0.001,0.10075668757805867,0.6889248490333557,0.06759380947191172,0.6662090685632494,0.06087329916996402,0.6660165190696716,0.05727068006483534,0.6181080341339111,True,1,1,9
True,Bcc2,Bcc1,same,0.001,0.018222390925816345,0.3180813193321228,0.012796024515156539,0.30171632766723633,0.011849896154693318,0.3067097067832947,0.011326232002158017,0.28574150800704956,True,1,1,9
True,Bcc2,Bcc2,same,0.001,0.0952661087978529,0.7431397438049316,0.06450096354703268,0.6748581859800551,0.06436969305876432,0.6609814763069153,0.05003705792893048,0.6463567614555359,True,1,1,9
True,Bcc2,Bcc3,same,0.001,0.15033770867644577,0.8640527725219727,0.09446916239021473,0.8145480950673422,0.09025988025323949,0.809316098690033,0.07404223234575105,0.781360387802124,True,1,1,9
True,Bcc2,press,same,0.001,0.0208393988659182,0.3456161916255951,0.014992557264845044,0.326442946990331,0.013962377873864366,0.32610005140304565,0.012726312361027647,0.3058909773826599,True,1,1,9
True,Bcc2,rho,same,0.001,0.03161894655644305,0.4240749776363373,0.02321308318527918,0.4068017237716251,0.022127294137707903,0.41031330823898315,0.020215707926599404,0.3767886161804199,True,1,1,9
True,Bcc2,vel1,same,0.001,0.03356725690858741,0.45867204666137695,0.025781717203015024,0.4291751715872023,0.024828631784612847,0.4303108751773834,0.020908915507212092,0.38822367787361145,True,1,1,9
True,Bcc2,vel2,same,0.001,0.1199032003391583,0.8447242379188538,0.0869008387499358,0.7851526935895284,0.08170232825969033,0.7761406302452087,0.06899124721290734,0.7337353825569153,True,1,1,9
True,Bcc2,vel3,same,0.001,0.09808669096791377,0.7077179551124573,0.06507070486222724,0.6775784956084357,0.05931375259143866,0.6800135374069214,0.05486817704570222,0.6280221343040466,True,1,1,9
True,Bcc3,Bcc1,same,0.001,0.019003415705656782,0.30833229422569275,0.012294588408277869,0.2964374323685964,0.011054235197329225,0.2992546856403351,0.010611319721331638,0.2811071276664734,True,1,1,9
True,Bcc3,Bcc2,same,0.001,0.09630589778393152,0.707603931427002,0.05944325094485229,0.6478163070148892,0.05627060438201365,0.6377995014190674,0.044332022939028895,0.6116669774055481,True,1,1,9
True,Bcc3,Bcc3,same,0.001,0.17355277533694807,0.9087221622467041,0.09563870595498963,0.818821562661065,0.08757423843763543,0.7956674098968506,0.07188748032020086,0.7820687890052795,True,1,1,9
True,Bcc3,press,same,0.001,0.020174255030269407,0.3332582712173462,0.014299925793602801,0.3199162416987949,0.013500675022311108,0.3165360391139984,0.01187227078090965,0.30982330441474915,True,1,1,9
True,Bcc3,rho,same,0.001,0.029891887265002217,0.4154948592185974,0.021749713202720865,0.39570318990283543,0.02071787101574409,0.39463087916374207,0.01873039161705486,0.37713080644607544,True,1,1,9
True,Bcc3,vel1,same,0.001,0.03553152965427696,0.4442300796508789,0.02498142468141684,0.42327313621838886,0.024269434904004523,0.4188641607761383,0.019537457707054104,0.4111708104610443,True,1,1,9
True,Bcc3,vel2,same,0.001,0.11367412705373772,0.832089900970459,0.08197729644005289,0.7657681306203207,0.07638083164199858,0.7534665465354919,0.06453828023050676,0.7354381084442139,True,1,1,9
True,Bcc3,vel3,same,0.001,0.09776806974510523,0.7010672688484192,0.06282738486490433,0.668192552195655,0.056800666149461686,0.6751828789710999,0.05215859526529114,0.6202883720397949,True,1,1,9
True,press,Bcc1,same,0.001,0.02047658627093483,0.31205734610557556,0.013854468925550764,0.30133408970303005,0.012632575378752328,0.30381572246551514,0.011885010353779783,0.28210148215293884,True,1,1,9
True,press,Bcc2,same,0.001,0.09576238528555714,0.718782365322113,0.0651259365986924,0.6508400307761298,0.06319454180219612,0.6353398561477661,0.049511405845704584,0.6205472946166992,True,1,1,9
True,press,Bcc3,same,0.001,0.179280231706873,0.8986627459526062,0.10339477074460766,0.8159599635336134,0.09383967488756766,0.8081629872322083,0.07860053586537327,0.7742114067077637,True,1,1,9
True,press,press,same,0.001,0.021543952848839032,0.33784225583076477,0.01594321561975189,0.32351863384246826,0.01519049437606882,0.32262036204338074,0.013351965630821765,0.3114958703517914,True,1,1,9
True,press,rho,same,0.001,0.032200711691071054,0.4220569133758545,0.02454476221989695,0.40207377407285905,0.023732151058122614,0.40187761187553406,0.02118680932989053,0.3808581531047821,True,1,1,9
True,press,vel1,same,0.001,0.03680701671420236,0.4487845301628113,0.027708390046732288,0.42708367440435624,0.02711136863325095,0.4244445264339447,0.021978813207143573,0.4071888327598572,True,1,1,9
True,press,vel2,same,0.001,0.12380167495577402,0.8247239589691162,0.09142666893424006,0.7734650439686246,0.08528667820477333,0.7594730257987976,0.07085116762740884,0.738085925579071,True,1,1,9
True,press,vel3,same,0.001,0.10349875610462482,0.6921051740646362,0.06878817238203451,0.6699885659747653,0.06277418657051592,0.6749657988548279,0.05768547940266707,0.6094498634338379,True,1,1,9
True,rho,Bcc1,same,0.001,0.020570488080764546,0.3067651093006134,0.013362371424799553,0.29570479856597054,0.012407480683311574,0.2957264482975006,0.011425081055165398,0.2826487421989441,True,1,1,9
True,rho,Bcc2,same,0.001,0.09099063957205158,0.7083587050437927,0.06191945702670495,0.6355517903963724,0.061399833894163945,0.6161753535270691,0.04687478475323493,0.6059492230415344,True,1,1,9
True,rho,Bcc3,same,0.001,0.1597256132050275,0.8627279996871948,0.09821962684441472,0.7972777552074857,0.09327824701295274,0.7857034206390381,0.07431269080097637,0.757178008556366,True,1,1,9
True,rho,press,same,0.001,0.021026297650719488,0.33730095624923706,0.015409353737216533,0.31828827990425956,0.014732833787790394,0.3169373869895935,0.012749575496584958,0.29606392979621887,True,1,1,9
True,rho,rho,same,0.001,0.03232661321086104,0.42127496004104614,0.023987157776610386,0.3978534870677524,0.023131806842807027,0.3979172110557556,0.020718355091578013,0.3670998215675354,True,1,1,9
True,rho,vel1,same,0.001,0.03521051183127484,0.45206183195114136,0.02673549839271187,0.41985775033632916,0.02569689154328826,0.41768914461135864,0.021247567453994445,0.38312479853630066,True,1,1,9
True,rho,vel2,same,0.001,0.12276159390127525,0.8289543986320496,0.08802718339705623,0.7591286036703322,0.08289943773567804,0.7424526810646057,0.06758293645509286,0.7153776288032532,True,1,1,9
True,rho,vel3,same,0.001,0.09721971532558754,0.6873835921287537,0.06566159370948117,0.6551417907079061,0.06095942916041112,0.6535366177558899,0.05468207761858867,0.6153494119644165,True,1,1,9
True,vel1,Bcc1,same,0.001,0.020656728756663495,0.30832523107528687,0.013568984078481386,0.2962961362467872,0.012457112266900588,0.29749295115470886,0.011792353128732072,0.27896055579185486,True,1,1,9
True,vel1,Bcc2,same,0.001,0.09139355901887561,0.7119590044021606,0.0629989725379166,0.6374642650286356,0.061743198143173764,0.6210334897041321,0.04828558170141749,0.6135891079902649,True,1,1,9
True,vel1,Bcc3,same,0.001,0.16717442460718251,0.8645955324172974,0.09948696419712896,0.7967876129680209,0.09096462302428955,0.7850109338760376,0.07614123408429226,0.7628092765808105,True,1,1,9
True,vel1,press,same,0.001,0.021726416562933958,0.33420059084892273,0.01566437586460006,0.3188454343212975,0.014727902238219353,0.31913793087005615,0.013110443913188103,0.3000156283378601,True,1,1,9
True,vel1,rho,same,0.001,0.03151860800776226,0.4155190587043762,0.02392917583951914,0.3951435950067308,0.023108645173968805,0.39975622296333313,0.02095120703647075,0.36135438084602356,True,1,1,9
True,vel1,vel1,same,0.001,0.035786834894935025,0.45369312167167664,0.027211694613819726,0.42091590497228837,0.02634851429548846,0.42290908098220825,0.02151586319749881,0.38504499197006226,True,1,1,9
True,vel1,vel2,same,0.001,0.12276984747695005,0.8297300934791565,0.08964389305054261,0.7617547048462762,0.08383768562830549,0.7533547282218933,0.0697963631333835,0.7131742835044861,True,1,1,9
True,vel1,vel3,same,0.001,0.09957983217457711,0.6763807535171509,0.06667363114763243,0.6559094919098748,0.06140911157928866,0.6573975086212158,0.05641834396052451,0.6074355244636536,True,1,1,9
True,vel2,Bcc1,same,0.001,0.01898842723250446,0.3191012740135193,0.012887750635029756,0.30563074681493974,0.011715087846841391,0.30772221088409424,0.01128664079737354,0.28753241896629333,True,1,1,9
True,vel2,Bcc2,same,0.001,0.09315663519670168,0.7417500615119934,0.06186641932386889,0.6669256819619073,0.05979001476370004,0.6562860012054443,0.047785216023112635,0.6346212029457092,True,1,1,9
True,vel2,Bcc3,same,0.001,0.17075217261916126,0.9002215266227722,0.0980289093417054,0.8349814282523261,0.08997157603821829,0.8257984519004822,0.07410260223206928,0.7933774590492249,True,1,1,9
True,vel2,press,same,0.001,0.020354866739259778,0.3434217870235443,0.014840096909788995,0.32813142736752826,0.014012976628091117,0.3291972875595093,0.012652437081868737,0.31081387400627136,True,1,1,9
True,vel2,rho,same,0.001,0.03029416361220328,0.4265731871128082,0.022867255641493462,0.4079605109161801,0.021833562129556346,0.410285085439682,0.019858236955719234,0.37918031215667725,True,1,1,9
True,vel2,vel1,same,0.001,0.035965333088051936,0.4693371057510376,0.026507454095742313,0.43905170096291435,0.025323147898330636,0.4387085437774658,0.021319788648818457,0.4131505489349365,True,1,1,9
True,vel2,vel2,same,0.001,0.11961798393560902,0.8626766800880432,0.08801435850603762,0.7983190086152818,0.08266544714573144,0.7917513847351074,0.069485429750535,0.7534675002098083,True,1,1,9
True,vel2,vel3,same,0.001,0.0975234306695921,0.7102329730987549,0.06483797700075987,0.6839145223299662,0.059389355680764706,0.6817874908447266,0.05469014893186085,0.6306489706039429,True,1,1,9
True,vel3,Bcc1,same,0.001,0.01940680967709401,0.3031028211116791,0.012709282916739173,0.29237953821818036,0.011500162662915137,0.29288002848625183,0.010925751292767145,0.27551206946372986,True,1,1,9
True,vel3,Bcc2,same,0.001,0.09189095333777218,0.6881710886955261,0.0607273159751255,0.6374815901120504,0.05830462314238907,0.6294671297073364,0.04724022149310904,0.6080484390258789,True,1,1,9
True,vel3,Bcc3,same,0.001,0.17558874887751386,0.8899262547492981,0.09595088186657798,0.7949474056561788,0.0846296860743137,0.7778365015983582,0.07237569975511236,0.7526249885559082,True,1,1,9
True,vel3,press,same,0.001,0.020042823494325037,0.3321465253829956,0.014704361451669487,0.3151659270127614,0.013710418421890127,0.3143075704574585,0.012415389761494644,0.30066657066345215,True,1,1,9
True,vel3,rho,same,0.001,0.029685434157663344,0.4074295461177826,0.022425579899485668,0.3898554874791039,0.021296801390841773,0.39172986149787903,0.019674021058728067,0.36591261625289917,True,1,1,9
True,vel3,vel1,same,0.001,0.03447397277848176,0.43358564376831055,0.025492129609172222,0.415339857339859,0.02452946124827637,0.41835346817970276,0.020178338123591207,0.39432230591773987,True,1,1,9
True,vel3,vel2,same,0.001,0.11540744793746935,0.7947129011154175,0.08328105930385316,0.7486101918750339,0.07922489166558411,0.7405453324317932,0.06655694530062982,0.721477210521698,True,1,1,9
True,vel3,vel3,same,0.001,0.09942933195079266,0.6752606630325317,0.06449063109880547,0.6572886043124728,0.05819936866611117,0.6612289547920227,0.05336085087694925,0.6021891236305237,True,1,1,9
False,Bcc1,Bcc1,outward,0.001,0.00706945132685759,0.2148893177509308,0.006085111662860885,0.2018282330698437,0.006072657835011537,0.20490695536136627,0.004954290311287298,0.1579357236623764,False,1,2,9
False,Bcc1,Bcc2,outward,0.001,0.030972660222160865,0.4568808078765869,0.025934611114441952,0.4157565501001146,0.02573637757227601,0.41515132784843445,0.019237807549550748,0.33200597763061523,False,1,2,9
False,Bcc1,Bcc3,outward,0.001,0.04505107417696334,0.5420455932617188,0.03926801153766107,0.5115757783253988,0.040354989443163035,0.513507604598999,0.03211148842857761,0.43898099660873413,False,1,2,9
False,Bcc1,press,outward,0.001,0.007967196497673733,0.2283732146024704,0.007175748767836437,0.2192686895529429,0.007333864871451826,0.22497646510601044,0.0061722927618855,0.17895808815956116,False,1,2,9
False,Bcc1,rho,outward,0.001,0.012916813449833128,0.2950586974620819,0.011032622147643358,0.27130210565196144,0.01077505963036256,0.2711195647716522,0.00842069392081981,0.21458660066127777,False,1,2,9
False,Bcc1,vel1,outward,0.001,0.012676449274862375,0.2959430515766144,0.010554548568690422,0.26617612275812363,0.010150575094975304,0.27059662342071533,0.008289789136938593,0.18842734396457672,False,1,2,9
False,Bcc1,vel2,outward,0.001,0.04104832268743422,0.5188949108123779,0.03562573162248531,0.4879144827524821,0.03698149583417874,0.4946637749671936,0.02878341571427042,0.39915841817855835,False,1,2,9
False,Bcc1,vel3,outward,0.001,0.03132507741494837,0.430512011051178,0.0258742307494561,0.41546739472283256,0.025006347921228536,0.4258722960948944,0.02261542766714781,0.3549025058746338,False,1,2,9
False,Bcc2,Bcc1,outward,0.001,0.007019003381352305,0.2235412299633026,0.006115811587277877,0.20995925863583884,0.006295863977302022,0.2128629982471466,0.004954083146726189,0.16386593878269196,False,1,2,9
False,Bcc2,Bcc2,outward,0.001,0.032484594348098465,0.4898614287376404,0.027315312311830632,0.44228481584125096,0.028678209759042134,0.4372972249984741,0.019786110298311482,0.35883939266204834,False,1,2,9
False,Bcc2,Bcc3,outward,0.001,0.04591614877712763,0.5781663060188293,0.040525653563089487,0.539607521560457,0.04098787933534783,0.5458287000656128,0.03350476806648785,0.45270153880119324,False,1,2,9
