all_cross_channel,channel_in,channel_out,cross_channel,epsilon,maximum_gain,maximum_phase_correlation,mean_gain,mean_phase_correlation,median_gain,median_phase_correlation,minimum_gain,minimum_phase_correlation,mode,state_count
False,Bcc1,Bcc1,False,0.001,0.700255274772644,,0.6194120844205221,,0.6401060819625854,,0.43498659133911133,,constant,9
True,Bcc1,Bcc2,True,0.001,1.4037781953811646,,1.2925917903582256,,1.3477197885513306,,0.944862425327301,,constant,9
True,Bcc1,Bcc3,True,0.001,1.8292465209960938,,1.6468559503555298,,1.7070187330245972,,1.1441236734390259,,constant,9
True,Bcc1,press,True,0.001,0.7703766226768494,,0.684444334771898,,0.7119702100753784,,0.48881012201309204,,constant,9
True,Bcc1,rho,True,0.001,0.9889413714408875,,0.8870499862564935,,0.9211807250976562,,0.6465529203414917,,constant,9
True,Bcc1,vel1,True,0.001,0.9279115796089172,,0.8238838977283902,,0.8583171367645264,,0.5750571489334106,,constant,9
True,Bcc1,vel2,True,0.001,1.665110468864441,,1.4879795842700534,,1.5568722486495972,,1.038036584854126,,constant,9
True,Bcc1,vel3,True,0.001,1.4699523448944092,,1.3154008057382371,,1.357169270515442,,0.971058189868927,,constant,9
True,Bcc2,Bcc1,True,0.001,0.7034192085266113,,0.6253189378314548,,0.645147979259491,,0.4398125410079956,,constant,9
False,Bcc2,Bcc2,False,0.001,1.4454697370529175,,1.3379281494352553,,1.3904826641082764,,0.9792401790618896,,constant,9
True,Bcc2,Bcc3,True,0.001,1.8262931108474731,,1.6639373699824016,,1.7278386354446411,,1.2045894861221313,,constant,9
True,Bcc2,press,True,0.001,0.7717686891555786,,0.6913927263683743,,0.7204644680023193,,0.5060936808586121,,constant,9
True,Bcc2,rho,True,0.001,0.9978669881820679,,0.8964815669589572,,0.9337068200111389,,0.6468849182128906,,constant,9
True,Bcc2,vel1,True,0.001,0.9299613833427429,,0.8311526046858894,,0.8619168400764465,,0.5728933215141296,,constant,9
True,Bcc2,vel2,True,0.001,1.6727608442306519,,1.5129757192399766,,1.561269760131836,,1.094747543334961,,constant,9
True,Bcc2,vel3,True,0.001,1.469482421875,,1.3252322806252375,,1.3618305921554565,,1.0013831853866577,,constant,9
True,Bcc3,Bcc1,True,0.001,0.6348629593849182,,0.5786642829577128,,0.6046322584152222,,0.4215266704559326,,constant,9
True,Bcc3,Bcc2,True,0.001,1.291783332824707,,1.186883224381341,,1.2210513353347778,,0.900944709777832,,constant,9
False,Bcc3,Bcc3,False,0.001,1.6055420637130737,,1.4749484327104356,,1.5062381029129028,,1.1297521591186523,,constant,9
