channel,model,shell_absolute_error,shell_persistence_absolute_error,shell_skill,source_snapshot,target_snapshot
Bcc1,Persistence,0.10980129345986853,47.467250659393116,0.9976867989627678,169,170
Bcc2,Persistence,0.04345938911182228,0.043459388972694024,-3.20133941578149e-09,169,170
Bcc3,Persistence,5.346683098026906,5.346774382123647,1.7072741473111996e-05,169,170
rho,Persistence,4.432973770653094,4.432960178035068,-3.066262154405308e-06,169,170
press,Persistence,0.6710100985461666,0.6709415557168974,-0.00010215916525835311,169,170
vel1,Persistence,0.017301764616827194,0.03864959145103729,0.5523428846914022,169,170
vel2,Persistence,2.985726459585554e-05,0.0009564438708586095,0.9687830457117652,169,170
vel3,Persistence,0.0021641520790357336,0.0021641489443559796,-1.4484584169860426e-06,169,170
Bcc1,FNO,4.4978133797589,47.467250659393116,0.9052438614565337,169,170
Bcc2,FNO,0.025781160823607267,0.043459388972694024,0.4067758099451,169,170
Bcc3,FNO,11.168289892003994,5.346774382123647,-1.088790192708326,169,170
rho,FNO,3488695014115.2095,4.432960178035068,-786989928625.3363,169,170
press,FNO,45.40713869368669,0.6709415557168974,-66.67674219428757,169,170
vel1,FNO,0.034526047588024515,0.03864959145103729,0.10669049033122713,169,170
vel2,FNO,0.00017454552321944018,0.0009564438708586095,0.8175057329158805,169,170
vel3,FNO,0.0011403407936552796,0.0021641489443559796,0.47307656590400293,169,170
Bcc1,3D CNN/U-Net,4.357459807919638,47.467250659393116,0.908200712124932,169,170
Bcc2,3D CNN/U-Net,0.5010996378871865,0.043459388972694024,-10.530296438406726,169,170
Bcc3,3D CNN/U-Net,7.425519177089019,5.346774382123647,-0.38878483481843307,169,170
rho,3D CNN/U-Net,165.54386459330428,4.432960178035068,-36.343864583661215,169,170
press,3D CNN/U-Net,3244428.583497534,0.6709415557168974,-4835634.1694908505,169,170
vel1,3D CNN/U-Net,0.0835754781762982,0.03864959145103729,-1.1623896925838055,169,170
vel2,3D CNN/U-Net,0.00012436707754509885,0.0009564438708586095,0.869969287969347,169,170
vel3,3D CNN/U-Net,0.0024237443994732898,0.0021641489443559796,-0.11995267506625429,169,170
Bcc1,Differential LocalNO,4.660724097299699,47.467250659393116,0.9018117958686237,169,170
Bcc2,Differential LocalNO,2.039679256459902,0.043459388972694024,-45.932994335043524,169,170
Bcc3,Differential LocalNO,0.938850758562466,5.346774382123647,0.8244080091164103,169,170
rho,Differential LocalNO,2770.431230066944,4.432960178035068,-623.9619032885046,169,170
press,Differential LocalNO,8050.504302812878,0.6709415557168974,-11997.816043240842,169,170
vel1,Differential LocalNO,0.05940761246848468,0.03864959145103729,-0.5370825470107339,169,170
vel2,Differential LocalNO,8.165095541053972e-05,0.0009564438708586095,0.9146306878026822,169,170
vel3,Differential LocalNO,0.008595750511507646,0.0021641489443559796,-2.9718848991078204,169,170
Bcc1,Index-space DISCO3D LocalNO,3.831373934358501,47.467250659393116,0.9192838455749001,169,170
Bcc2,Index-space DISCO3D LocalNO,2.3604674945990842,0.043459388972694024,-53.31432770677448,169,170
Bcc3,Index-space DISCO3D LocalNO,63.95870755394925,5.346774382123647,-10.962110794835137,169,170
rho,Index-space DISCO3D LocalNO,27203.944572559634,4.432960178035068,-6135.744631127708,169,170
press,Index-space DISCO3D LocalNO,2.0646531598541453e+22,0.6709415557168974,-3.077247402939701e+22,169,170
vel1,Index-space DISCO3D LocalNO,0.04319956088932729,0.03864959145103729,-0.11772361019790001,169,170
vel2,Index-space DISCO3D LocalNO,0.00010242185743155629,0.0009564438708586095,0.8929138859558887,169,170
vel3,Index-space DISCO3D LocalNO,0.004189818672138714,0.0021641489443559796,-0.936012159914227,169,170
Bcc1,Anisotropic spherical DISCO3D LocalNO,4.01238401295186,47.467250659393116,0.9154704779144848,169,170
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.5686940716736575,0.043459388972694024,-12.085643519538984,169,170
Bcc3,Anisotropic spherical DISCO3D LocalNO,11.600226973981563,5.346774382123647,-1.1695748024763581,169,170
rho,Anisotropic spherical DISCO3D LocalNO,51.514520236756915,4.432960178035068,-10.62079472132569,169,170
press,Anisotropic spherical DISCO3D LocalNO,171198.13961038893,0.6709415557168974,-255160.03176448005,169,170
vel1,Anisotropic spherical DISCO3D LocalNO,0.04495381190730952,0.03864959145103729,-0.16311221463385062,169,170
vel2,Anisotropic spherical DISCO3D LocalNO,0.00014442304631518207,0.0009564438708586095,0.8489999771909961,169,170
vel3,Anisotropic spherical DISCO3D LocalNO,0.0044946950981783985,0.0021641489443559796,-1.0768880579594104,169,170
