channel,model,radial_absolute_error,shell_absolute_error,source_snapshot
rho,Anisotropic spherical DISCO3D LocalNO,6.580969053923658,97.13085891961987,170
press,Anisotropic spherical DISCO3D LocalNO,0.7144390999298919,93.30447950640234,170
vel1,Anisotropic spherical DISCO3D LocalNO,0.056789243103159026,0.0473008837838684,170
vel2,Anisotropic spherical DISCO3D LocalNO,0.006964305546616668,0.00015544236292993225,170
vel3,Anisotropic spherical DISCO3D LocalNO,0.03850368216682344,0.0029071863085585467,170
Bcc1,Persistence,0.0066864041067597494,0.0942974291387109,171
Bcc2,Persistence,0.1243077913933616,0.048728680611328956,171
Bcc3,Persistence,0.32411575764655315,1.1438062261204465,171
rho,Persistence,0.386528986068157,6.001148837079687,171
press,Persistence,0.07052626589783186,1.1973958340467004,171
vel1,Persistence,0.048439132132223804,0.017698597144997545,171
vel2,Persistence,0.0007942383136071748,5.1929551732572956e-05,171
vel3,Persistence,0.019506235085438882,0.0040184672778375615,171
Bcc1,FNO,1.4123812320049092,5.016040807829004,171
Bcc2,FNO,0.13481854952429703,0.05872603243790892,171
Bcc3,FNO,2.8133126002355784,17.132895274294444,171
rho,FNO,35189.36348306152,473480621546.9352,171
press,FNO,0.6118051281152133,88.20468598438045,171
vel1,FNO,0.13604662228486433,0.03801254851618961,171
vel2,FNO,0.0038943937077455457,0.00010536522066174072,171
vel3,FNO,0.04110528024387468,0.003692824073944563,171
Bcc1,3D CNN/U-Net,0.2569782627504216,3.8307383916897324,171
Bcc2,3D CNN/U-Net,0.1736031156301082,0.6887879901350616,171
Bcc3,3D CNN/U-Net,0.27296456883657555,0.25005592561481627,171
rho,3D CNN/U-Net,4.477415367538326,474.03922189995825,171
press,3D CNN/U-Net,409.0387725841672,28436320.97919997,171
vel1,3D CNN/U-Net,0.0733791746440213,0.07908098767244423,171
vel2,3D CNN/U-Net,0.008572860282468802,0.00010984171437441999,171
vel3,3D CNN/U-Net,0.03572739013786712,0.0051628525812445585,171
Bcc1,Differential LocalNO,0.947354500868552,4.3592623097902745,171
Bcc2,Differential LocalNO,0.08197129722803423,1.1687852454793934,171
Bcc3,Differential LocalNO,0.6498959125016203,4.704831049031916,171
rho,Differential LocalNO,33.306603529408285,163648.93833455336,171
press,Differential LocalNO,9.642226934571742,2765.162474284599,171
vel1,Differential LocalNO,0.1110260190413942,0.060296450681115527,171
vel2,Differential LocalNO,0.0040057075605253204,6.238995106122404e-05,171
vel3,Differential LocalNO,0.04800154028132155,0.009182284584429972,171
Bcc1,Index-space DISCO3D LocalNO,1.073903693531353,3.8885716400048067,171
Bcc2,Index-space DISCO3D LocalNO,0.15604886825729947,0.9000320974438168,171
Bcc3,Index-space DISCO3D LocalNO,0.7632572413385418,72.76297231078627,171
rho,Index-space DISCO3D LocalNO,2.060092260590374,487.7525105199167,171
press,Index-space DISCO3D LocalNO,17425.36531317654,153984708595.6693,171
vel1,Index-space DISCO3D LocalNO,0.07440448062238263,0.0436801037298115,171
vel2,Index-space DISCO3D LocalNO,0.006641526901717943,6.025377919117642e-05,171
vel3,Index-space DISCO3D LocalNO,0.03955674885231723,0.0065163472321292755,171
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.301873711487002,4.023396926285297,171
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.1261683458044676,0.6149202301628414,171
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.3588158191563203,12.527158564205195,171
rho,Anisotropic spherical DISCO3D LocalNO,6.032577630691029,68.3984492119205,171
press,Anisotropic spherical DISCO3D LocalNO,5.708970872169649,12435.101908457107,171
vel1,Anisotropic spherical DISCO3D LocalNO,0.07834040812321698,0.04815351025395337,171
vel2,Anisotropic spherical DISCO3D LocalNO,0.007185872017266771,0.00010349795094014161,171
vel3,Anisotropic spherical DISCO3D LocalNO,0.03660363932269605,0.0061610996217460155,171
Bcc1,Persistence,0.01202763625639206,0.1456429032070824,172
Bcc2,Persistence,0.027020685198723023,0.05154872331625616,172
Bcc3,Persistence,0.5172583381340614,5.057806684286967,172
rho,Persistence,0.6255196154595667,10.995412170689915,172
press,Persistence,0.13770520723628163,0.8000281148282743,172
vel1,Persistence,0.03909786902265895,0.01553708605605258,172
vel2,Persistence,0.0003304868143023643,1.1504717872079232e-05,172
vel3,Persistence,0.018788725828008643,0.0006837552379949077,172
Bcc1,FNO,1.2401580631743705,4.678880151865647,172
Bcc2,FNO,0.150072961441831,0.06275966178584852,172
Bcc3,FNO,1.8692941261963167,7.915452439626954,172
rho,FNO,270649.4653436867,37374588564072.01,172
press,FNO,0.6723821586441789,187.78277487078853,172
vel1,FNO,0.14182923174626358,0.03338687155802878,172
vel2,FNO,0.003519665019099384,0.0001311790368592327,172
vel3,FNO,0.030241652043826638,0.0010816946524734932,172
Bcc1,3D CNN/U-Net,0.4137305637870283,3.8983221745089573,172
Bcc2,3D CNN/U-Net,0.09719530650033988,0.28758064548057216,172
Bcc3,3D CNN/U-Net,0.644940062288602,2.2705716188627467,172
rho,3D CNN/U-Net,2.966820679159581,256.38221023338286,172
press,3D CNN/U-Net,327.91674233238246,19218491.19083728,172
vel1,3D CNN/U-Net,0.07406231323149468,0.08487935769145018,172
vel2,3D CNN/U-Net,0.006967588870690062,0.00010783503845298331,172
vel3,3D CNN/U-Net,0.024687642916111825,0.0019686384055202437,172
Bcc1,Differential LocalNO,0.9064075302803086,4.0352196497943895,172
Bcc2,Differential LocalNO,0.015976904263143743,0.12170764334618951,172
Bcc3,Differential LocalNO,0.7377347320450175,0.6580762994463456,172
rho,Differential LocalNO,20.161876787205742,38248.20311105996,172
press,Differential LocalNO,10.076735599755745,3352.85957099815,172
vel1,Differential LocalNO,0.08202181318404997,0.0616615387824749,172
vel2,Differential LocalNO,0.004388317183326348,5.979003401336274e-05,172
vel3,Differential LocalNO,0.03680918538459144,0.003679251219744541,172
Bcc1,Index-space DISCO3D LocalNO,0.8664274194060454,3.72826354072024,172
Bcc2,Index-space DISCO3D LocalNO,0.11305158057141673,0.30358511091878115,172
Bcc3,Index-space DISCO3D LocalNO,0.8767071148930149,33.12865196949004,172
rho,Index-space DISCO3D LocalNO,2.9934059459117175,365.9776466291191,172
press,Index-space DISCO3D LocalNO,222.2965047371219,17077867.995071538,172
vel1,Index-space DISCO3D LocalNO,0.07559021157025339,0.04253119264239863,172
vel2,Index-space DISCO3D LocalNO,0.005000598275744584,6.396643634988529e-05,172
vel3,Index-space DISCO3D LocalNO,0.02786571787119879,0.001847603033980865,172
Bcc1,Anisotropic spherical DISCO3D LocalNO,2.2947551357224,3.712741156959024,172
Bcc2,Anisotropic spherical DISCO3D LocalNO,0.06082738135915692,0.18730593919103014,172
Bcc3,Anisotropic spherical DISCO3D LocalNO,0.7890338786927648,4.062955764958263,172
rho,Anisotropic spherical DISCO3D LocalNO,6.694993594688911,99.11280442562774,172
press,Anisotropic spherical DISCO3D LocalNO,0.8407882309708131,283.03133165957695,172
vel1,Anisotropic spherical DISCO3D LocalNO,0.06313133105048228,0.04797889161044629,172
