clipping_fraction,cumulative_runtime_seconds,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,train_direction_mean,train_direction_weighted_mean,train_plain_mean,train_radial_mean,train_shell_mean,train_total_mean,train_transport_mean,train_transport_weighted_mean
1.0,14.812402068000665,1,14.812402068000665,562.81884765625,714.0,0.9999998864673433,10743.15234375,584.8601762510482,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,,,108.33452465243283,1048963.8205843058,1018.9666290269716,122.65790421421181,524991.3936066664,14.323379561778964
1.0,28.661337697000818,2,13.848935629000152,562.81884765625,714.0,0.999999829701015,10580.6142578125,577.4002981526511,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,,,108.11358498285215,1033078.2660772545,827.7882185611312,122.21765318972588,516953.0271479079,14.104068206873722
1.0,42.399891912000385,3,13.738554214999567,562.81884765625,714.0,0.9999997885454268,10450.923828125,566.4428590933481,4e-05,2.6984126984126987e-05,504,168,0,126,42,,,107.77454195069592,1009241.1854457032,561.9354750627938,121.54980908817367,504901.56046038296,13.775267137477748
0.9761904761904762,56.15804824400038,4,13.758156331999999,562.81884765625,714.0,0.9940864131564185,10111.25390625,541.7551291485628,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,,,107.39883009880958,939976.4516297678,260.01181867519415,120.22510106991695,470118.23172422143,12.826270971107357
0.9761904761904762,69.84180123000078,5,13.6837529860004,562.81884765625,714.0,0.998885201556342,9409.3212890625,497.8855104503177,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,,,107.01422770050843,799989.4490379336,109.74216122469926,117.92881081765955,400049.59559957916,10.914583117151107
1.0,83.62807555400104,6,13.78627432400026,562.81884765625,714.0,0.9999996792702448,8191.12646484375,444.6911658673059,8e-05,6.698412698412698e-05,1008,168,0,252,42,,,106.63831610853474,631719.480732397,58.310419514090945,115.25673653558557,315888.89557595557,8.61842042705082
1.0,97.44324292400051,7,13.815167369999472,562.81884765625,714.0,0.9999997119108835,6446.01708984375,375.8902080569948,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,,,106.10647908509488,443450.2292636023,56.88116908166675,112.15659796174316,221753.55521634195,6.050118876648275
1.0,111.15911476600104,8,13.715871842000524,562.81884765625,714.0,0.9999998396351224,5102.74609375,303.7322928791954,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,,,105.16470612860506,288496.13170460006,146.09846709681105,109.10222993438113,144321.11508584846,3.9375238057760464
0.9761904761904762,124.8221794680012,9,13.663064702000156,562.81884765625,714.0,0.9898779661882491,3522.064453125,182.8015519465719,0.00012,0.000106984126984127,1512,168,0,378,42,,,103.58671420440078,114698.41670457523,469.9418118976234,105.15778768543998,57584.179258236414,1.5710734810391882
1.0,138.8039758440009,10,13.981796375999693,562.81884765625,714.0,0.9999998665991283,546.02294921875,54.37243521781195,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,,,101.86585567332804,42521.29545686358,628.6018269232301,102.45448661506737,21574.94864189341,0.5886309417393141
1.0,152.66896248800094,11,13.864986644000055,562.81884765625,714.0,0.9999999077547164,727.749755859375,69.84581770783379,0.00014666666666666666,0.00013365079365079365,1848,168,0,462,42,,,99.60914248937652,32002.92431178689,874.1012614629369,100.05763566648636,16438.512786624913,0.44849317710985737
0.9761904761904762,166.42851883100047,12,13.759556342999531,562.81884765625,714.0,0.9993594075952258,630.3182983398438,57.9556619141783,0.00016,0.000146984126984127,2016,168,0,504,42,,,96.67675103238295,32205.025141454877,1256.0160423382779,97.1332110803422,16730.520591896577,0.45646004795925216
0.9761904761904762,180.20363283000097,13,13.775113999000496,562.81884765625,714.0,0.9990288161096119,585.5615844726562,64.9435690272422,0.00017333333333333334,0.00016031746031746033,2184,168,0,546,42,,,93.77913524086277,17328.512907895303,2059.2764446641895,94.04361449627756,9693.894676279748,0.26447925541478845
1.0,193.95806894200086,14,13.754436111999894,562.81884765625,714.0,0.9999999120121911,957.6514282226562,79.04162172760282,0.00018666666666666666,0.00017365079365079368,2352,168,0,588,42,,,89.67215676898402,21872.290181765955,3881.760245334566,90.0234816135556,12877.025213550261,0.3513248445715781
1.0,207.73774685700118,15,13.77967791500032,562.81884765625,714.0,0.9999999176888239,1368.0081787109375,94.17671871185303,0.0002,0.00018698412698412697,2520,168,0,630,42,,,85.8234099152365,27028.640322208405,4400.542110404911,86.25215228585523,15714.591216306659,0.42874237061873977
1.0,221.46156764700117,16,13.72382078999999,562.81884765625,714.0,0.9999999006589254,1205.5157470703125,99.96947376784824,0.00021333333333333336,0.00020031746031746032,2688,168,0,672,42,,,81.61719594323742,30385.317039198108,5885.760294054725,82.11198920469424,18135.538666626417,0.4947932614568303
1.0,235.2594249290014,17,13.797857282000223,562.81884765625,714.0,0.9999999276229313,2477.23828125,134.72722517876397,0.00022666666666666666,0.00021365079365079367,2856,168,0,714,42,,,76.08387091401077,47885.57080381399,6606.317976850402,76.82722405803248,27245.944390332203,0.7433531440217023
1.0,248.9971465080016,18,13.737721579000208,562.81884765625,714.0,0.9999998793715522,1288.7442626953125,99.24725336404074,0.00024,0.00022698412698412697,3024,168,0,756,42,,,71.87907625455409,45479.478619775604,6117.089617711034,72.5829327748235,25798.284118743315,0.7038565202694074
1.0,262.7902674290017,19,13.793120921000082,562.81884765625,714.0,0.9999999276229313,1411.32470703125,128.7806010132744,0.00025333333333333333,0.00024031746031746032,3192,168,0,798,42,,,67.66818556805984,37102.25024988822,4815.006920684098,68.24000140347583,20958.628585286155,0.5718158354159966
1.0,276.59504063400163,20,13.804773204999947,562.81884765625,714.0,0.9999998807907104,2646.835693359375,136.50530452955337,0.0002666666666666667,0.00025365079365079364,3360,168,0,840,42,,,63.97542303689711,54545.75456831285,3631.0076687844044,64.76904352034225,29088.38111854863,0.7936204834451329
1.0,290.28129226700185,21,13.68625163300021,562.81884765625,714.0,0.9999999290420896,1503.744140625,87.944076583499,0.00028,0.000266984126984127,3528,168,0,882,42,,,61.09713311253914,33174.16137020787,3141.635299413306,61.59253641449982,18157.898334810587,0.49540330196068905
1.0,304.1063969020015,22,13.825104634999661,562.81884765625,714.0,0.9999999148505074,922.5573120117188,93.67900338627044,0.0002933333333333333,0.00028031746031746034,3696,168,0,924,42,,,58.597382271307566,32132.018754890985,2700.541105942914,59.072551942725944,17416.279930416946,0.4751696714183767
1.0,317.90050227400206,23,13.794105372000558,562.81884765625,714.0,0.9999999063355582,2160.052001953125,106.93167827526729,0.0003066666666666667,0.00029365079365079364,3864,168,0,966,42,,,56.212738831971016,31699.01581374946,2160.2572771233727,56.67463137542274,16929.636545436417,0.46189254345172776
1.0,331.6551567990018,24,13.75465452499975,562.81884765625,714.0,0.9999999318804059,1722.723388671875,138.84319992292495,0.00032,0.000306984126984127,4032,168,0,1008,42,,,54.71885911166845,35695.831051530586,2058.8696619997154,55.23389127709707,18877.35035676515,0.5150321654286208
1.0,345.3949825380014,25,13.73982573899957,562.81884765625,714.0,0.9999999176888239,2146.19873046875,114.09956366959072,0.0003333333333333333,0.00032031746031746034,4200,168,0,1050,42,,,52.74052439736469,25804.68140225751,1563.0300337055755,53.11386205909427,13683.855717981545,0.37333766172958516
