clipping_fraction,cumulative_runtime_seconds,differential_gradient_norm_mean,disco_gradient_norm_mean,disco_gradient_norm_min,disco_weight_norm,epoch,epoch_runtime_seconds,gpu_peak_allocated_mib,gpu_peak_reserved_mib,gradient_norm_after_clip_mean,gradient_norm_before_clip_max,gradient_norm_before_clip_mean,learning_rate_end,learning_rate_start,microbatches_seen,microbatches_this_epoch,nonfinite_count,optimizer_updates,optimizer_updates_this_epoch,spectral_gradient_norm_mean,train_loss_max,train_loss_mean,train_loss_min
1.0,29.912032515000192,131.40757671991983,1977.4245719001406,42.6208381652832,17.931875228881836,1,29.912032515000192,648.0830078125,906.0,0.9999999886467343,9203.7041015625,4467.687425340925,1.3333333333333335e-05,3.174603174603175e-07,168,168,0,42,42,585.5130564825876,3267.659423828125,431.09513578315574,1.376163125038147
1.0,58.863800798000284,98.0867242926643,1452.2637185596284,36.08448028564453,17.92792510986328,2,28.951768283000092,648.0830078125,906.0,0.9999999787126269,7062.18701171875,3289.5679977053687,2.666666666666667e-05,1.3650793650793652e-05,336,168,0,84,42,433.58075555165607,3200.41845703125,333.17216315368813,1.317111849784851
1.0,87.87895269399996,50.921041233198984,687.1735364596049,12.39191722869873,17.921295166015625,3,29.01515189599968,648.0830078125,906.0,0.9999999787126269,4429.07470703125,1601.193452063061,4e-05,2.6984126984126987e-05,504,168,0,126,42,212.53774214926221,2920.955078125,210.25335358792827,1.1749314069747925
1.0,116.88608792600007,20.029811095623742,172.7974632581075,6.398154258728027,17.909732818603516,4,29.00713523200011,648.0830078125,906.0,0.9999999772934687,1692.8604736328125,438.8757697968256,5.333333333333334e-05,4.031746031746032e-05,672,168,0,168,42,60.02799702258337,2772.155517578125,138.7139757765191,1.1211955547332764
1.0,145.85109171899967,8.55450687380064,34.75478255748749,3.78153133392334,17.892004013061523,5,28.965003792999596,648.0830078125,906.0,0.9999999645210448,445.45306396484375,93.56314518338158,6.666666666666667e-05,5.3650793650793654e-05,840,168,0,210,42,13.333831480571202,2655.070556640625,113.70877751956384,0.6951137781143188
1.0,174.87199670999962,6.7220756368977685,17.838439027468365,1.8211579322814941,17.874286651611328,6,29.020904990999952,648.0830078125,906.0,0.9999999446528298,399.7398681640625,43.95971663792928,8e-05,6.698412698412698e-05,1008,168,0,252,42,6.559137829712459,2640.2041015625,108.08044744815145,0.3706865608692169
1.0,204.01849264300017,7.589554576646714,15.7922093243826,0.7491819858551025,17.85833168029785,7,29.14649593300055,648.0830078125,906.0,0.9999998992397672,268.6551208496094,40.14517525831858,9.333333333333333e-05,8.031746031746032e-05,1176,168,0,294,42,5.692371704748699,2632.31103515625,106.18284976109862,0.2605594992637634
1.0,233.16813254500084,9.020489972971735,16.7057353527773,0.6679028868675232,17.845989227294922,8,29.149639902000672,648.0830078125,906.0,0.9999999006589254,274.73944091796875,44.7802110285986,0.00010666666666666668,9.365079365079364e-05,1344,168,0,336,42,5.73232829003107,2626.68798828125,104.51779655828362,0.21214096248149872
1.0,262.1400530260007,11.887761532550766,20.690373673325492,0.6351788640022278,17.834510803222656,9,28.97192048099987,648.0830078125,906.0,0.9999999034972418,248.90945434570312,60.22676893926802,0.00012,0.000106984126984127,1512,168,0,378,42,6.55107447717871,2615.32080078125,102.21493445310209,0.17143067717552185
1.0,290.9367034070001,15.150138202167692,26.29547843195143,1.5373042821884155,17.82374382019043,10,28.79665038099938,648.0830078125,906.0,0.999999924784615,519.050048828125,78.37016277086167,0.00013333333333333334,0.00012031746031746032,1680,168,0,420,42,7.8464250564575195,2620.43896484375,99.36576979296903,0.16405180096626282
