error_case,global_value_mean,model_state,per_channel_mean,per_direction_mean,reduction,relative_to_h0_mean,sample_count,split,variant
persistence_error,222.67852020263672,full_best,"{""Bcc1"": 0.8056690388359129, ""Bcc2"": 32.304538226127626, ""Bcc3"": 103.44344606399537, ""press"": 1.2492836762219668, ""rho"": 1.104485460370779, ""vel1"": 7.720216691493988, ""vel2"": 62.73871374130249, ""vel3"": 13.312162160873413}","{""phi"": 0.0002545114840302176, ""r"": 83.62386198043824, ""theta"": 139.05440521240234}",uniform,0.06517492652110365,5,train,H3_stored_logr
persistence_error,5.154811573028565,full_best,"{""Bcc1"": 0.01206908083986491, ""Bcc2"": 0.007822933071292937, ""Bcc3"": 0.07416095733642578, ""press"": 0.5904713889583946, ""rho"": 0.14362284857779742, ""vel1"": 3.20473063737154, ""vel2"": 0.9695611150935293, ""vel3"": 0.1523725673556328}","{""phi"": 1.1729074258281896e-05, ""r"": 2.327053615450859, ""theta"": 2.82774612903595}",volume_proxy,0.0020533931569010205,5,train,H3_stored_logr
persistence_error,158.96531600952147,full_best,"{""Bcc1"": 0.6397396003827452, ""Bcc2"": 22.670733201503754, ""Bcc3"": 78.61361842155456, ""press"": 0.748049861099571, ""rho"": 0.6035807827487588, ""vel1"": 5.070024703443051, ""vel2"": 41.14830341339111, ""vel3"": 9.471270179748535}","{""phi"": 0.0002545114840302176, ""r"": 19.910667330026627, ""theta"": 139.05440521240234}",uniform,0.04497997621371462,5,train,H3_stored_r
persistence_error,2.8287466168403625,full_best,"{""Bcc1"": 0.008424239128362387, ""Bcc2"": 0.0034823464971850625, ""Bcc3"": 0.05316509339027107, ""press"": 0.3355142518877983, ""rho"": 0.07951499707996845, ""vel1"": 1.688890372402966, ""vel2"": 0.5692018745467067, ""vel3"": 0.09055336713790893}","{""phi"": 1.1729074258281896e-05, ""r"": 0.0009885934327030555, ""theta"": 2.82774612903595}",volume_proxy,0.0011045255066543616,5,train,H3_stored_r
persistence_error,42.777253007888795,full_best,"{""Bcc1"": 0.03398930984840263, ""Bcc2"": 15.137238544225692, ""Bcc3"": 16.278494429588317, ""press"": 0.008584711271396372, ""rho"": 0.017202770098811014, ""vel1"": 0.05376391976606101, ""vel2"": 10.126535493135453, ""vel3"": 1.1214466273784638}","{""phi"": 4.730896430089615e-05, ""r"": 19.910667330026627, ""theta"": 22.866543292999268}",uniform,0.00974248714676519,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
persistence_error,0.0027278288151137533,full_best,"{""Bcc1"": 1.9707101165522546e-05, ""Bcc2"": 0.00010495850974621135, ""Bcc3"": 0.0012028038836433552, ""press"": 6.698723030922338e-05, ""rho"": 3.668990752885293e-05, ""vel1"": 0.00028705021513815155, ""vel2"": 0.0008575130690587684, ""vel3"": 0.00015211888603516854}","{""phi"": 1.3361261596630138e-07, ""r"": 0.0009885934327030555, ""theta"": 0.0017391018336638808}",volume_proxy,8.447563409494119e-07,5,train,H4_spherical_metric_proxy:all_channels_naive_proxy
persistence_error,0.025787484337342903,full_best,"{""press"": 0.008584711120056454, ""rho"": 0.017202773079043256}","{""phi"": 5.4979739605443004e-08, ""r"": 0.014144356828182936, ""theta"": 0.011643072069273331}",uniform,4.200733041867106e-06,5,train,H4_spherical_metric_proxy:scalar_channel_proxy_only
persistence_error,0.00010367713921368704,full_best,"{""press"": 6.698723030922338e-05, ""rho"": 3.6689908210973957e-05}","{""phi"": 3.0023486477490675e-09, ""r"": 4.51006468210835e-05, ""theta"": 5.857349028701719e-05}",volume_proxy,3.2119206474060204e-08,5,train,H4_spherical_metric_proxy:scalar_channel_proxy_only
target_field,16085.4337890625,full_best,"{""Bcc1"": 199.50058288574218, ""Bcc2"": 2090.6462158203126, ""Bcc3"": 6180.35166015625, ""press"": 306.6344970703125, ""rho"": 246.8684814453125, ""vel1"": 621.8291625976562, ""vel2"": 4138.273681640625, ""vel3"": 2301.3296875}","{""phi"": 0.008271513525687623, ""r"": 9437.6638671875, ""theta"": 6647.7615234375}",uniform,1.0,5,train,H0_current_upstream
target_field,3.9271078586578367,full_best,"{""Bcc1"": 0.0487061969935894, ""Bcc2"": 0.510411673784256, ""Bcc3"": 1.5088749170303344, ""press"": 0.07486193776130676, ""rho"": 0.0602706253528595, ""vel1"": 0.15181376039981842, ""vel2"": 1.0103207230567932, ""vel3"": 0.5618480682373047}","{""phi"": 2.01941248185733e-06, ""r"": 2.3041171550750734, ""theta"": 1.6229886531829834}",uniform,0.000244140625,5,train,H1_unit_index
target_field,16085.4337890625,full_best,"{""Bcc1"": 199.50058288574218, ""Bcc2"": 2090.6462158203126, ""Bcc3"": 6180.35166015625, ""press"": 306.6344970703125, ""rho"": 246.8684814453125, ""vel1"": 621.8291625976562, ""vel2"": 4138.273681640625, ""vel3"": 2301.3296875}","{""phi"": 0.008271513525687623, ""r"": 9437.6638671875, ""theta"": 6647.7615234375}",uniform,1.0,5,train,H2_normalized_axis
target_field,668.0621704101562,full_best,"{""Bcc1"": 6.9925994873046875, ""Bcc2"": 88.8244026184082, ""Bcc3"": 256.81923522949216, ""press"": 5.658509922027588, ""rho"": 10.806897926330567, ""vel1"": 16.25176067352295, ""vel2"": 221.37118835449218, ""vel3"": 61.33757858276367}","{""phi"": 0.00020951992621860428, ""r"": 174.19514923095704, ""theta"": 493.86680908203124}",uniform,0.039965746414258194,5,train,H3_stored_logr
target_field,60.629757690429685,full_best,"{""Bcc1"": 3.783951473236084, ""Bcc2"": 0.28655019104480745, ""Bcc3"": 1.503965187072754, ""press"": 13.01827335357666, ""rho"": 26.46603469848633, ""vel1"": 12.165851497650147, ""vel2"": 1.2541069984436035, ""vel3"": 2.1510265469551086}","{""phi"": 1.0412765839468239e-05, ""r"": 9.468365383148193, ""theta"": 51.16138458251953}",volume_proxy,0.004360064890830091,5,train,H3_stored_logr
target_field,536.7490600585937,full_best,"{""Bcc1"": 6.621681880950928, ""Bcc2"": 64.71891174316406, ""Bcc3"": 219.38142852783204, ""press"": 4.263548517227173, ""rho"": 8.356455039978027, ""vel1"": 11.452429962158202, ""vel2"": 178.05851135253906, ""vel3"": 43.89610719680786}","{""phi"": 0.00020951992621860428, ""r"": 42.88206148147583, ""theta"": 493.86680908203124}",uniform,0.03241697233745129,5,train,H3_stored_r
target_field,51.16372299194336,full_best,"{""Bcc1"": 3.5527511119842528, ""Bcc2"": 0.15375058203935624, ""Bcc3"": 1.1835818499326707, ""press"": 11.331050682067872, ""rho"": 24.211677169799806, ""vel1"": 8.146154499053955, ""vel2"": 0.7266635745763779, ""vel3"": 1.8580944865942002}","{""phi"": 1.0412765839468239e-05, ""r"": 0.0023299031890928745, ""theta"": 51.16138458251953}",volume_proxy,0.003637042220352655,5,train,H3_stored_r
